stock_code,qid_date,real_return,close,pclose,volume,real_date
300183,20161206,0.019684,26.42,25.91,3419643,20161207
300414,20161206,0.014219,37.09,36.57,1190198,20161207
300136,20161206,0.002454,28.6,28.53,8580007,20161207
300136,20161207,0.025874,29.34,28.6,12949255,20161208
300195,20161207,-0.00507,17.66,17.75,1999061,20161208
300246,20161207,-0.013405,36.8,37.3,981258,20161208
300512,20161207,-0.018314,39.13,39.86,2334145,20161208
300145,20161207,-0.020543,25.27,25.8,6131255,20161208
300548,20161207,-0.026246,92.01,94.49,1216369,20161208
300398,20161207,-0.029475,67.5,69.55,2716036,20161208
300299,20161207,-0.034345,24.18,25.04,7630846,20161208
300308,20161207,-0.03754,24.1,25.04,3780977,20161208
300082,20161207,-0.050781,9.72,10.24,31770638,20161208
300156,20161208,0.01074,25.41,25.14,6945045,20161209
300281,20161208,0.004215,19.06,18.98,1287656,20161209
300075,20161208,-0.006247,20.68,20.81,3704866,20161209
300367,20161208,-0.007637,22.09,22.26,4379798,20161209
300160,20161208,-0.032653,11.85,12.25,11649169,20161209
300015,20161208,-0.033324,32.78,33.91,6976232,20161209
300015,20161208,-0.033324,32.78,33.91,6976232,20161209
300015,20161208,-0.033324,32.78,33.91,6976232,20161209
300017,20161208,-0.042812,55,57.46,17123670,20161209
300136,20161208,-0.051466,27.83,29.34,23659900,20161209
300248,20161209,0.000791,25.3,25.28,12050875,20161212
300091,20161209,-0.038828,14.11,14.68,3329251,20161212
300091,20161209,-0.038828,14.11,14.68,3329251,20161212
300153,20161209,-0.040062,18.45,19.22,10496140,20161212
300366,20161209,-0.050317,41.9,44.12,6863834,20161212
300106,20161209,-0.058551,16.24,17.25,3997818,20161212
300285,20161209,-0.060171,37.33,39.72,2167821,20161212
300015,20161209,-0.069555,30.5,32.78,11098350,20161212
300015,20161209,-0.069555,30.5,32.78,11098350,20161212
300015,20161209,-0.069555,30.5,32.78,11098350,20161212
300015,20161209,-0.069555,30.5,32.78,11098350,20161212
300409,20161209,-0.093825,34.19,37.73,3757692,20161212
300246,20161209,-0.096127,32.91,36.41,3655441,20161212
300255,20161212,0.022459,8.65,8.46,17138736,20161213
300365,20161212,0.015124,39.6,39.01,1132583,20161213
300324,20161212,0.012146,20,19.76,3078685,20161213
300232,20161212,0.011252,14.38,14.22,6393871,20161213
300161,20161212,0.010714,25.47,25.2,3033894,20161213
300015,20161212,0.00918,30.78,30.5,6040093,20161213
300362,20161212,-0.002639,18.9,18.95,4611335,20161213
300230,20161212,-0.0075,31.76,32,3088400,20161213
300327,20161212,-0.011392,32.11,32.48,2915496,20161213
300188,20161212,-0.022904,21.33,21.83,7372604,20161213
300003,20161213,0.008864,18.21,18.05,5545435,20161214
300159,20161213,0.006277,16.03,15.93,4595162,20161214
300406,20161213,0.005851,22.35,22.22,2895094,20161214
300116,20161213,-0.001575,19.02,19.05,3231140,20161214
300070,20161213,-0.002814,17.72,17.77,21306665,20161214
300015,20161213,-0.004224,30.65,30.78,2522802,20161214
300015,20161213,-0.004224,30.65,30.78,2522802,20161214
300085,20161213,-0.013121,21.06,21.34,9305243,20161214
300301,20161213,-0.016298,8.45,8.59,4371542,20161214
300444,20161213,-0.020382,23.07,23.55,1238549,20161214
300365,20161213,-0.02702,38.53,39.6,559011,20161214
300362,20161213,-0.030159,18.33,18.9,3348092,20161214
300197,20161213,-0.034483,11.76,12.18,15803679,20161214
300334,20161214,0.043122,19.11,18.32,4412537,20161215
300353,20161214,0.028553,15.85,15.41,14225397,20161215
300319,20161214,0.017711,37.35,36.7,5492274,20161215
300319,20161214,0.017711,37.35,36.7,5492274,20161215
300318,20161214,0.017281,8.83,8.68,3853335,20161215
300318,20161214,0.017281,8.83,8.68,3853335,20161215
300403,20161214,0.015127,63.08,62.14,1084100,20161215
300462,20161214,0.013761,33.15,32.7,1298550,20161215
300387,20161214,0.013087,30.19,29.8,1277351,20161215
300197,20161214,0.012755,11.91,11.76,14746461,20161215
300412,20161214,0.010059,34.14,33.8,1075015,20161215
300287,20161214,0.008613,11.71,11.61,10724761,20161215
300433,20161214,0.005564,25.3,25.16,1637123,20161215
300145,20161214,0.000813,24.62,24.6,1546020,20161215
300294,20161214,-0.002778,53.85,54,1571265,20161215
300078,20161214,-0.009943,25.89,26.15,3530244,20161215
300232,20161215,0.031403,14.78,14.33,6568664,20161216
300377,20161215,0.028223,37.89,36.85,6576920,20161216
300143,20161215,0.028139,28.5,27.72,4861698,20161216
300143,20161215,0.028139,28.5,27.72,4861698,20161216
300299,20161215,0.005862,20.59,20.47,5685997,20161216
300200,20161215,0.005402,18.61,18.51,11578601,20161216
300002,20161215,-0.000927,10.78,10.79,20678376,20161216
300096,20161215,-0.005542,16.15,16.24,10466849,20161216
300433,20161216,0.013033,25.65,25.32,2439013,20161219
300438,20161216,-0.002359,33.83,33.91,2185521,20161219
300338,20161216,-0.004295,25.5,25.61,1152000,20161219
300326,20161216,-0.004472,11.13,11.18,3357368,20161219
300370,20161216,-0.010929,9.05,9.15,2355082,20161219
300070,20161216,-0.011014,17.06,17.25,9668306,20161219
300197,20161219,0.055833,12.67,12,31400970,20161220
300096,20161219,0.04,16.38,15.75,14283427,20161220
300096,20161219,0.04,16.38,15.75,14283427,20161220
300365,20161219,0.009582,41.09,40.7,483106,20161220
300158,20161219,0.006698,19.54,19.41,1227300,20161220
300318,20161219,0.004494,8.94,8.9,2499605,20161220
300338,20161219,0.003922,25.6,25.5,1353547,20161220
300219,20161219,0.002918,13.75,13.71,23840561,20161220
300370,20161219,0.00221,9.07,9.05,2794694,20161220
300281,20161219,0.001662,18.08,18.05,1443264,20161220
300275,20161219,0.000477,20.98,20.97,3100848,20161220
300444,20161219,-0.002985,23.38,23.45,890847,20161220
300129,20161219,-0.007042,8.46,8.52,6225924,20161220
300308,20161219,-0.00741,24.11,24.29,4086932,20161220
300182,20161219,-0.014532,10.85,11.01,10570891,20161220
300349,20161219,-0.06104,37.38,39.81,11245809,20161220
300120,20161220,0.033758,16.23,15.7,21074104,20161221
300401,20161220,0.02274,35.53,34.74,3518389,20161221
300070,20161220,0.014586,17.39,17.14,9539808,20161221
300456,20161220,0.014265,55.46,54.68,613684,20161221
300335,20161220,0.013714,17.74,17.5,2811420,20161221
300461,20161220,0.011129,67.23,66.49,1335349,20161221
300078,20161220,0.009819,26.74,26.48,1897171,20161221
300068,20161220,-0.001058,18.89,18.91,3581310,20161221
300054,20161220,-0.00182,21.94,21.98,2124664,20161221
300438,20161220,-0.004118,33.86,34,1480985,20161221
300269,20161220,-0.007077,22.45,22.61,2254167,20161221
300090,20161221,0.020942,11.7,11.46,32344203,20161222
300075,20161221,0.006857,19.09,18.96,3070089,20161222
300370,20161221,-0.001079,9.26,9.27,2204252,20161222
300528,20161221,-0.005294,33.82,34,2020100,20161222
300144,20161221,-0.010885,20.9,21.13,4700507,20161222
300144,20161221,-0.010885,20.9,21.13,4700507,20161222
300058,20161221,-0.013845,9.26,9.39,10488829,20161222
300339,20161221,-0.017434,29.87,30.4,1899576,20161222
300338,20161221,-0.074811,23.25,25.13,8908764,20161222
300427,20161222,0.02542,22.59,22.03,27800011,20161223
300309,20161222,0.00087,23.02,23,3696617,20161223
300426,20161222,0,27.9,27.9,1217358,20161223
300144,20161222,-0.004306,20.81,20.9,3782594,20161223
300144,20161222,-0.004306,20.81,20.9,3782594,20161223
300144,20161222,-0.004306,20.81,20.9,3782594,20161223
300410,20161222,-0.014808,51.23,52,2632604,20161223
300281,20161222,-0.02043,18.22,18.6,1600590,20161223
300281,20161222,-0.02043,18.22,18.6,1600590,20161223
300070,20161222,-0.021252,17.04,17.41,11691532,20161223
300236,20161222,-0.027599,37.7,38.77,2248204,20161223
300194,20161222,-0.054446,26.05,27.55,8859642,20161223
300080,20161223,0.100106,10.33,9.39,63763156,20161226
300300,20161223,0.042816,21.92,21.02,4605025,20161226
300410,20161223,0.035526,53.05,51.23,3316418,20161226
300410,20161223,0.035526,53.05,51.23,3316418,20161226
300144,20161223,0.001922,20.85,20.81,5126992,20161226
300196,20161223,-0.003209,37.28,37.4,1003025,20161226
300178,20161223,-0.003639,16.43,16.49,4734405,20161226
300017,20161223,-0.007662,53.1,53.51,8464346,20161226
300281,20161223,-0.017563,17.9,18.22,1427105,20161226
300072,20161223,-0.039796,47.05,49,15218650,20161226
300447,20161226,0.049418,51.39,48.97,5041348,20161227
300262,20161226,0.001746,17.21,17.18,5085947,20161227
300347,20161226,0.000747,26.81,26.79,1649199,20161227
300347,20161226,0.000747,26.81,26.79,1649199,20161227
300091,20161226,0,14.18,14.18,1413724,20161227
300041,20161226,-0.000808,12.36,12.37,2808799,20161227
300299,20161226,-0.005181,21.12,21.23,5627039,20161227
300230,20161226,-0.005437,31.1,31.27,1131696,20161227
300300,20161226,-0.007299,21.76,21.92,3363998,20161227
300301,20161226,-0.009217,8.6,8.68,5242659,20161227
300014,20161226,-0.017643,29.51,30.04,8658991,20161227
300451,20161226,-0.022862,38.04,38.93,2958555,20161227
300548,20161227,0.013951,79.95,78.85,1151596,20161228
300362,20161227,0.009615,19.95,19.76,2410668,20161228
300347,20161227,-0.000373,26.8,26.81,945750,20161228
300124,20161227,-0.002015,19.81,19.85,2900487,20161228
300115,20161227,-0.007663,25.9,26.1,3612867,20161228
300516,20161227,-0.008445,96.28,97.1,742973,20161228
300144,20161227,-0.009579,20.68,20.88,5370404,20161228
300370,20161227,-0.016269,9.07,9.22,3046897,20161228
300470,20161227,-0.01758,43.03,43.8,797832,20161228
300237,20161227,-0.026578,17.58,18.06,7833174,20161228
300335,20161227,-0.028571,17,17.5,2557321,20161228
300338,20161228,0.018616,25.17,24.71,2971757,20161229
300017,20161228,0.01784,53.63,52.69,5590487,20161229
300447,20161228,0.016008,53.95,53.1,4273654,20161229
300014,20161228,0.002395,29.3,29.23,5704294,20161229
300119,20161228,-0.002309,17.28,17.32,1010965,20161229
300129,20161228,-0.002309,8.64,8.66,4043442,20161229
300425,20161228,-0.014446,30.7,31.15,1678816,20161229
300425,20161228,-0.014446,30.7,31.15,1678816,20161229
300072,20161228,-0.015119,45.6,46.3,7140692,20161229
300090,20161228,-0.018349,11.77,11.99,55000229,20161229
300273,20161228,-0.045866,16.85,17.66,22783989,20161229
300145,20161229,0.012413,26.1,25.78,2506492,20161230
300226,20161229,0.00248,40.42,40.32,1144447,20161230
300232,20161229,0.002015,14.92,14.89,2711602,20161230
300398,20161229,-0.001543,58.24,58.33,521491,20161230
300161,20161229,-0.004594,26,26.12,1634293,20161230
300003,20161229,-0.005546,17.93,18.03,3763474,20161230
300362,20161229,-0.022924,19.18,19.63,2917174,20161230
300552,20161229,0.029691,56.92,57.8,674282,20161230
300014,20161229,-0.008904,29.2,29.3,6320981,20161230
300567,20170103,0.029195,101.88,98.99,2736049,20170104
300406,20170103,0.010835,22.39,22.15,2035272,20170104
300406,20170103,0.010835,22.39,22.15,2035272,20170104
300136,20170103,0.005738,26.29,26.14,16802461,20170104
300145,20170103,-0.014914,25.76,26.15,3467421,20170104
300406,20170104,0.006253,22.53,22.39,1770924,20170105
300070,20170104,0.001678,17.91,17.88,9297946,20170105
300343,20170104,-0.003861,25.8,25.9,9168641,20170105
300015,20170104,-0.007076,30.87,31.09,1583885,20170105
300015,20170104,-0.007076,30.87,31.09,1583885,20170105
300015,20170104,-0.007076,30.87,31.09,1583885,20170105
300334,20170104,-0.009595,18.58,18.76,3344741,20170105
300484,20170104,-0.017859,79.74,81.19,717992,20170105
300145,20170105,0.001567,25.57,25.53,2488418,20170106
300145,20170105,0.001567,25.57,25.53,2488418,20170106
300334,20170105,-0.004844,18.49,18.58,3891751,20170106
300068,20170105,-0.006796,20.46,20.6,3805323,20170106
300068,20170105,-0.006796,20.46,20.6,3805323,20170106
300184,20170105,-0.008197,15.73,15.86,25977666,20170106
300183,20170105,-0.010442,24.64,24.9,2777283,20170106
300014,20170105,-0.018212,29.65,30.2,8838965,20170106
300166,20170105,-0.020101,19.5,19.9,4361803,20170106
300336,20170105,-0.029,19.42,20,5755071,20170106
300480,20170105,-0.047872,23.27,24.44,15388521,20170106
300130,20170105,-0.052212,28.5,30.07,26634102,20170106
300068,20170106,0.003421,20.53,20.46,2656366,20170109
300385,20170106,0.002578,38.89,38.79,1236206,20170109
300120,20170106,0.000645,15.51,15.5,3325663,20170109
300197,20170106,-0.003968,12.55,12.6,12657878,20170109
300015,20170106,-0.005749,31.13,31.31,1942843,20170109
300262,20170106,-0.009275,17.09,17.25,5012036,20170109
300090,20170106,-0.0107,12.02,12.15,60275025,20170109
300548,20170106,-0.011493,79.13,80.05,1009990,20170109
300187,20170106,-0.015302,12.87,13.07,4378115,20170109
300379,20170106,-0.016966,69.53,70.73,1960828,20170109
300129,20170106,0.017084,8.93,8.78,11304972,20170109
300010,20170109,0.004624,17.38,17.3,10252662,20170110
300014,20170109,0.00066,30.34,30.32,8725669,20170110
300014,20170109,0.00066,30.34,30.32,8725669,20170110
300385,20170109,-0.000257,38.88,38.89,989689,20170110
300178,20170109,-0.007922,16.28,16.41,3485098,20170110
300363,20170109,-0.00996,19.88,20.08,2260233,20170110
300363,20170109,-0.00996,19.88,20.08,2260233,20170110
300078,20170109,-0.038966,24.17,25.15,8609102,20170110
300078,20170109,-0.038966,24.17,25.15,8609102,20170110
300103,20170110,0.013942,21.09,20.8,7209806,20170111
300337,20170110,-0.000972,10.28,10.29,2128089,20170111
300078,20170110,-0.004965,24.05,24.17,3913141,20170111
300068,20170110,-0.013126,20.3,20.57,3589330,20170111
300010,20170110,-0.01496,17.12,17.38,5355100,20170111
300242,20170110,-0.021892,12.51,12.79,10938039,20170111
300447,20170110,-0.060312,54.22,57.7,7285975,20170111
300130,20170110,-0.087366,28.1,30.79,23044962,20170111
300309,20170110,-0.096465,24.54,27.16,12200555,20170111
300068,20170111,0.011823,20.54,20.3,4787556,20170112
300068,20170111,0.011823,20.54,20.3,4787556,20170112
