trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,1000000,,,,
2017-12-06,2017-12-05,4027.123,4031.753,3964.809,4015.821,1092862.05,14411495.42,-0.6027,34,993973,993973,0,569033.6325,0.395850799
2017-12-07,2017-12-06,4003.583,4017.947,3955.994,3971.057,902540.45,11965120.15,-1.1147,42,982893.183,993973,11079.81703,,
2017-12-08,2017-12-07,3962.829,4014.139,3955.44,4003.379,892828.61,12437123.03,0.8139,26,990892.9506,993973,3080.049415,,
2017-12-11,2017-12-08,4006.878,4069.5,4005.269,4069.5,971489.46,14847658.85,1.6516,36,1007258.539,1007258.539,0,,
2017-12-12,2017-12-11,4068.505,4070.15,4015.455,4016.016,843387.18,12351518.32,-1.3143,60,994020.1396,1007258.539,13238.39897,,
2017-12-13,2017-12-12,4013.832,4052.688,4004.744,4050.093,775461.31,11500638.34,0.8485,28,1002454.4,1007258.539,4804.138088,,
2017-12-14,2017-12-13,4050.903,4057.625,4013.855,4026.152,807688.62,11508694.49,-0.5911,26,996528.8925,1007258.539,10729.64605,,
2017-12-15,2017-12-14,4018.731,4020.267,3974.928,3980.856,890443.89,11847414.42,-1.125,12,985317.9425,1007258.539,21940.59609,,
2017-12-18,2017-12-15,3983.297,4008.069,3967.934,3985.291,778533.75,11172434.99,0.1114,31,986415.5867,1007258.539,20842.9519,,
2017-12-19,2017-12-18,3985.823,4035.63,3985.823,4035.329,775289.85,11599820.43,1.2556,41,998801.0208,1007258.539,8457.517796,,
2017-12-20,2017-12-19,4036.019,4044.849,4015.629,4030.49,906045.03,12681287.81,-0.1199,31,997603.4583,1007258.539,9655.08022,,
2017-12-21,2017-12-20,4023.076,4080.781,4014.653,4067.849,968360.89,13781952.09,0.9269,29,1006850.245,1007258.539,408.2937644,,
2017-12-22,2017-12-21,4064.913,4076.803,4048.491,4054.598,734736.84,10442649.6,-0.3257,43,1003570.934,1007258.539,3687.605012,,
2017-12-25,2017-12-22,4057.417,4086.934,4026.45,4041.54,919269.62,12993883.92,-0.3221,42,1000338.432,1007258.539,6920.106989,,
2017-12-26,2017-12-25,4040.617,4056.855,4015.3,4053.622,911187.9,11972510.06,0.2989,56,1003328.443,1007258.539,3930.095417,,
2017-12-27,2017-12-26,4045.279,4047.737,3986.739,3991.208,1051535.77,14051690.71,-1.5397,29,987880.1951,1007258.539,19378.34346,,
2017-12-28,2017-12-27,3992.997,4036.698,3980.236,4018.897,1185428.86,15363669.58,0.6937,29,994733.12,1007258.539,12525.41854,,
2017-12-29,2017-12-28,4022.883,4043.14,4012.875,4030.855,904866.83,12125703.85,0.2975,59,997692.451,1007258.539,9566.08751,,
2018-01-02,2017-12-29,4045.209,4087.779,4045.209,4087.401,1469354.35,17840203.29,1.4028,0,1011688.081,1011688.081,0,,
2018-01-03,2018-01-02,4091.461,4140.054,4088.73,4111.393,1518522.18,20572688.96,0.587,37,1017626.69,1017626.69,0,,
2018-01-04,2018-01-03,4114.121,4137.642,4105.886,4128.812,1345437.94,17452355.61,0.4237,45,1021938.374,1021938.374,0,,
2018-01-05,2018-01-04,4133.344,4151.282,4123.282,4138.751,1490098.72,18520629.32,0.2407,50,1024398.18,1024398.18,0,,
