trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len
2010-01-04,2010-01-03,3592.47,3597.75,3535.23,3535.23,661010.8,9341983.89,-1.1313,0
2010-01-05,2010-01-04,3545.19,3577.53,3497.66,3564.04,858096.41,12830244.26,0.8149,3
2010-01-06,2010-01-05,3558.7,3588.83,3541.17,3541.73,784731.25,12104598.99,-0.626,9
2010-01-07,2010-01-06,3543.16,3558.56,3452.77,3471.46,803500.37,12043616.63,-1.9841,6
2010-01-08,2010-01-07,3456.91,3482.08,3426.7,3480.13,607902.53,9019096,0.2498,6
2010-01-11,2010-01-08,3593.11,3594.53,3465.32,3482.05,899801.72,13411400.11,0.0552,9
2010-01-12,2010-01-11,3477.84,3535.41,3437.66,3534.92,937432.78,13407141.64,1.5184,1
2010-01-13,2010-01-12,3448.29,3490.11,3415.69,3421.14,1124579.01,15986038.46,-3.2187,6
2010-01-14,2010-01-13,3433.47,3470.32,3411.81,3469.05,833532.52,11810787.01,1.4004,3
2010-01-15,2010-01-14,3472.52,3500.07,3448.66,3482.74,725431.02,10403517.58,0.3946,6
2010-01-18,2010-01-15,3471.78,3501.26,3458.04,3500.68,828543.07,11788425.85,0.5151,0
2010-01-19,2010-01-18,3506.81,3528.39,3497.09,3507.48,748832.32,10802352.55,0.1942,16
2010-01-20,2010-01-19,3512.25,3515.45,3387.82,3394.43,924951.46,12841616.46,-3.2231,1
2010-01-21,2010-01-20,3397.04,3425.18,3364.72,3408.57,705950.68,10007660.7,0.4166,5
2010-01-22,2010-01-21,3364.45,3390.8,3293.19,3366.2,889334.04,11919781.58,-1.243,16
2010-01-25,2010-01-22,3340.01,3372.43,3326.27,3328.01,568491.71,7662662.68,-1.1345,14
2010-01-26,2010-01-25,3328.11,3341.2,3222.14,3242.8,617522.31,8158605.92,-2.5604,1
2010-01-27,2010-01-26,3243.04,3255.12,3183.37,3198.57,526913.94,7054027.32,-1.3639,0
2010-01-28,2010-01-27,3195.29,3220.31,3168.46,3206.57,469907.16,6408211.57,0.2501,17
2010-01-29,2010-01-28,3190.32,3249.46,3176.92,3204.16,502626.13,6801811.87,-0.0752,16
2010-02-01,2010-01-29,3198.23,3198.31,3116.44,3152.71,570013.8,7598215.05,-1.6057,0
2010-02-02,2010-02-01,3170.78,3211.94,3143.09,3146.19,501300.33,6831841.24,-0.2068,5
2010-02-03,2010-02-02,3160.71,3231.1,3094.57,3230.72,647988.94,8753625,2.6867,8
2010-02-04,2010-02-03,3206.43,3242.52,3190.44,3218.8,589727.26,7546655.3,-0.369,5
2010-02-05,2010-02-04,3147.72,3177.42,3129.92,3153.09,591058.45,7369313.24,-2.0414,0
2010-02-08,2010-02-05,3152.25,3172.31,3133.81,3150.99,373559.51,4790242.93,-0.0666,2
2010-02-09,2010-02-08,3147.76,3178.95,3144.48,3169.19,359531.58,4522266.04,0.5776,25
2010-02-10,2010-02-09,3195.14,3214.46,3182.83,3214.13,342198.94,4815214.46,1.418,27
2010-02-11,2010-02-10,3216.69,3238.35,3207.17,3220.4,357910.52,4699971.3,0.1951,20
2010-02-12,2010-02-11,3232.88,3253.2,3228.74,3251.28,340582.38,4670322.06,0.9589,13
2010-02-22,2010-02-12,3248.95,3261.95,3232.78,3233.35,382837.72,4998133.37,-0.5515,0
2010-02-23,2010-02-22,3225.39,3225.39,3152.93,3198.63,427428.98,6238607.69,-1.0738,11
