trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len
2017/12/6,2017/12/5,1755.768,1784.822,1744.493,1784.315,133752.48,1995581.02,1.4628,10
2017/12/7,2017/12/6,1780.975,1791.055,1774.995,1776.99,113452.13,1736762.02,-0.4105,6
2017/12/8,2017/12/7,1776.265,1803.362,1776.265,1792.155,118325.05,1817082.68,0.8534,4
2017/12/11,2017/12/8,1800.133,1816.985,1800.133,1816.985,135396.79,2058577.98,1.3855,6
2017/12/12,2017/12/11,1818.409,1821.484,1798.691,1798.691,122781.4,2023301.73,-1.0068,17
2017/12/13,2017/12/12,1795.475,1806.188,1787.706,1806.09,103126.87,1721876.13,0.4114,6
2017/12/14,2017/12/13,1804.19,1809.671,1787.672,1794.344,107416.61,1705232.1,-0.6504,10
2017/12/15,2017/12/14,1793.24,1801.414,1780.267,1783.973,117484.64,1855696.11,-0.578,6
2017/12/18,2017/12/15,1784.415,1790.868,1773.319,1780.644,100092.26,1663987.4,-0.1866,5
2017/12/19,2017/12/18,1781.808,1802.577,1781.808,1798.502,109226.61,1814882.73,1.0029,11
2017/12/20,2017/12/19,1798.357,1799.365,1779.681,1782.413,106753.08,1721130.53,-0.8946,14
2017/12/21,2017/12/20,1776.452,1796.583,1762.979,1789.736,118994.57,1918075.06,0.4108,13
2017/12/22,2017/12/21,1788.657,1795.068,1778.609,1779.339,113820.35,1822312.42,-0.5809,12
2017/12/25,2017/12/22,1778.959,1780.517,1751.906,1755.806,123207.47,1840315.34,-1.3226,5
2017/12/26,2017/12/25,1755.144,1760.464,1742.258,1758.821,98696.96,1531781.12,0.1717,18
2017/12/27,2017/12/26,1756.036,1760.424,1743.773,1745.236,106332.47,1659393.04,-0.7724,13
2017/12/28,2017/12/27,1742.468,1759.104,1742.021,1745.017,110934.08,1661412.17,-0.0125,11
2017/12/29,2017/12/28,1745.948,1753.984,1741.001,1752.652,103161,1564273.54,0.4375,19
2018/1/2,2017/12/29,1759.02,1770.011,1748.531,1769.672,105783.6,1766783.97,0.9711,0
2018/1/3,2018/1/2,1770.035,1798.78,1766.337,1795.383,135877.03,2370885.3,1.4529,9
2018/1/4,2018/1/3,1790.653,1795.253,1788.537,1794.609,112938.01,2041056.09,-0.0431,11
2018/1/5,2018/1/4,1797.258,1804.878,1795.255,1801.419,123289.31,2267073.99,0.3795,16
2018/1/8,2018/1/5,1801.176,1806.156,1785.38,1806.156,144235.85,2516787.66,0.263,15
2018/1/9,2018/1/8,1803.364,1808.658,1799.419,1803.586,117124.44,2047292.72,-0.1423,20
2018/1/10,2018/1/9,1803.601,1804.727,1780.099,1791.084,128424.88,2250037.38,-0.6932,16
2018/1/11,2018/1/10,1787.385,1807.151,1776.008,1804.235,146313.91,2486359.78,0.7342,18
2018/1/12,2018/1/11,1800.886,1802.522,1785.608,1785.705,121839.15,2060201.62,-1.027,17
2018/1/15,2018/1/12,1778.794,1780.195,1727.005,1732.622,164561.35,2593084.23,-2.9727,19
2018/1/16,2018/1/15,1729.559,1740.845,1720.649,1729.597,133147.26,2201565.91,-0.1746,17
2018/1/17,2018/1/16,1722.451,1750.063,1697.624,1742.034,160896.27,2541076.02,0.7191,16
2018/1/18,2018/1/17,1735.459,1754.616,1734.775,1738.002,111418.85,1755359.35,-0.2315,21
2018/1/19,2018/1/18,1735.03,1745.592,1726.527,1728.14,134537.9,2196366.51,-0.5674,21
2018/1/22,2018/1/19,1726.317,1776.181,1715.428,1768.214,189120.29,3034635.5,2.3189,20
2018/1/23,2018/1/22,1767.33,1776.495,1760.339,1767.829,135885.38,2308295.98,-0.0218,16
2018/1/24,2018/1/23,1763.686,1817.084,1752.304,1813.275,274947.03,4477474.1,2.5707,16
2018/1/25,2018/1/24,1811.114,1852.226,1807.515,1810.835,295953.89,4619252.62,-0.1346,24
2018/1/26,2018/1/25,1809.131,1830.547,1809.131,1816.8,202047.9,3159297.04,0.3294,33
2018/1/29,2018/1/26,1811.542,1826.097,1791.578,1799.771,222639.45,3473572.38,-0.9373,31
2018/1/30,2018/1/29,1794.328,1808.011,1779.33,1782.399,177117.07,2686954.1,-0.9652,26
2018/1/31,2018/1/30,1766.767,1767.777,1732.98,1735.057,201138.92,3036853.36,-2.6561,24
2018/2/1,2018/1/31,1735.663,1746.545,1697.39,1697.39,190295.42,2863008.46,-2.1709,39
2018/2/2,2018/2/1,1683.179,1726.89,1676.243,1702.426,177172.54,2671522.25,0.2967,18
2018/2/5,2018/2/2,1678.187,1698.281,1674.975,1688.272,148973.09,2215885.67,-0.8314,23
2018/2/6,2018/2/5,1653.447,1675.563,1597.886,1598.116,202717.78,2940727.73,-5.3401,16
2018/2/7,2018/2/6,1632.872,1637.777,1571.47,1616.4,227020.03,3178359.31,1.1441,12
2018/2/8,2018/2/7,1608.729,1651.586,1608.631,1641.431,182603.89,2605706.85,1.5486,14
2018/2/9,2018/2/8,1598.475,1629.356,1576.886,1592.51,208764.6,2931604.98,-2.9804,12
2018/2/12,2018/2/9,1604.562,1654.654,1604.562,1648.072,167038.78,2455617.13,3.489,8
2018/2/13,2018/2/12,1657.128,1669.079,1644.866,1648.582,149151.67,2306287.2,0.0309,13
2018/2/14,2018/2/13,1649.573,1652.009,1633.762,1646.771,100243.78,1483708.78,-0.1099,11
2018/2/22,2018/2/14,1661.559,1679.794,1650.875,1677.765,140053.15,2105890.92,1.8821,0
2018/2/23,2018/2/22,1674.624,1681.245,1656.953,1668.834,125200.92,1916787.28,-0.5323,11
2018/2/26,2018/2/23,1683.146,1733.708,1673.954,1729.153,199213.65,3150592.79,3.6144,15
2018/2/27,2018/2/26,1729.937,1757.374,1728.311,1743.541,228407.52,3514517.3,0.8321,13
2018/2/28,2018/2/27,1730.152,1773.733,1723.395,1753.627,216407.63,3362771.29,0.5785,33
2018/3/1,2018/2/28,1744.341,1789.849,1741.028,1789.849,231927.66,3526065.22,2.0655,77
2018/3/2,2018/3/1,1777.458,1804.25,1767.901,1772.005,207223.31,3251957.67,-0.997,58
2018/3/5,2018/3/2,1780.822,1795.693,1768.881,1795.693,167113.4,2671280.93,1.3368,21
2018/3/6,2018/3/5,1798.035,1810.256,1790.543,1797.61,195313.45,3198300.76,0.1068,16
2018/3/7,2018/3/6,1795.174,1800.451,1780.296,1785.27,158201.99,2479558.47,-0.6865,9
2018/3/8,2018/3/7,1783.104,1795.817,1781.456,1793.222,139190.39,2271680.08,0.4454,11
2018/3/9,2018/3/8,1794.254,1858.028,1793.924,1856.455,279551.47,4362820.16,3.5262,15
2018/3/12,2018/3/9,1872.028,1901.151,1872.028,1882.409,278559.75,4681519.83,1.398,11
2018/3/13,2018/3/12,1879.626,1896.504,1863.16,1872.678,219716.05,3704630.64,-0.5169,13
2018/3/14,2018/3/13,1863.573,1874.153,1840.349,1841.289,176823.96,3020720.05,-1.6762,14
2018/3/15,2018/3/14,1833.77,1848.715,1812.481,1848.71,181107.18,2962275.3,0.403,14
2018/3/16,2018/3/15,1847.178,1857.15,1821.322,1821.322,177972.66,2919988.78,-1.4815,18
2018/3/19,2018/3/16,1822.603,1860.202,1818.62,1842.92,192350.59,3147223.37,1.1858,23
2018/3/20,2018/3/19,1828.006,1867.459,1825.675,1864.62,177391.47,2999727.79,1.1775,26
2018/3/21,2018/3/20,1866.81,1877.134,1829.913,1829.913,206482.7,3453147.06,-1.8613,27
2018/3/22,2018/3/21,1830.559,1841.403,1814.686,1817.228,180051.38,2858817.24,-0.6932,13
2018/3/23,2018/3/22,1751.743,1792.231,1710.403,1726.021,269285.79,4122904.16,-5.019,14
2018/3/26,2018/3/23,1704.355,1781.837,1693.735,1780.609,215410.44,3405300.5,3.1626,16
2018/3/27,2018/3/26,1799.147,1846.541,1797.087,1844.693,269612.31,4393111.06,3.599,19
2018/3/28,2018/3/27,1819.656,1856.885,1816.437,1835.154,243921.08,3995377.26,-0.5171,34
2018/3/29,2018/3/28,1843.442,1857.325,1825.968,1842.187,205282.28,3413324.01,0.3832,46
2018/3/30,2018/3/29,1850.201,1900.957,1849.247,1900.482,262340.21,4396493.27,3.1644,38
2018/4/2,2018/3/30,1911.566,1918.218,1891.958,1900.255,254128.54,4647122.56,-0.0119,38
2018/4/3,2018/4/2,1869.872,1886.975,1850.01,1872.47,210003.41,3689883.55,-1.4622,38
2018/4/4,2018/4/3,1880.329,1887.113,1834.674,1836.813,187450.65,3173175.7,-1.9043,42
2018/4/9,2018/4/4,1830.878,1862.966,1819.094,1841.653,176229.59,2925862.33,0.2635,0
2018/4/10,2018/4/9,1838.884,1842.22,1811.348,1835.52,190892.6,3156517.23,-0.333,24
2018/4/11,2018/4/10,1840.09,1857.917,1832.423,1834.626,170146.63,2863589.29,-0.0487,70
2018/4/12,2018/4/11,1830.908,1848.631,1826.692,1826.89,137858.63,2386548.96,-0.4217,43
2018/4/13,2018/4/12,1840.868,1848.916,1822.659,1824.594,140692.09,2378967.1,-0.1257,28
2018/4/16,2018/4/13,1818.253,1852.082,1816.323,1838.709,191307.35,3188351.79,0.7736,33
2018/4/17,2018/4/16,1843.747,1849.687,1783.741,1783.741,200546.49,3363982.63,-2.9895,20
2018/4/18,2018/4/17,1793.829,1832.987,1757.391,1822.264,228563.28,3833872.03,2.1597,34
2018/4/19,2018/4/18,1815.447,1839.127,1812.934,1820.281,188563.74,3114665.26,-0.1088,31
2018/4/20,2018/4/19,1813.754,1830.726,1781.215,1782.809,205177.48,3210918.06,-2.0586,24
2018/4/23,2018/4/20,1784.146,1794.682,1729.899,1753.048,192265.68,2999060.27,-1.6693,70
2018/4/24,2018/4/23,1753.643,1806.902,1749.179,1806.861,191664.51,3026708.21,3.0697,64
2018/4/25,2018/4/24,1798.002,1825.234,1795.787,1819.406,175774.67,3001551.33,0.6943,78
2018/4/26,2018/4/25,1818.694,1819.428,1780.616,1781.276,157374.41,2613344.36,-2.0957,103
2018/4/27,2018/4/26,1790.304,1813.569,1779.175,1805.596,169891.68,2847150.44,1.3653,146
2018/5/2,2018/4/27,1814.626,1833.27,1788.011,1801.571,158655.72,2671835.43,-0.2229,0
2018/5/3,2018/5/2,1797.117,1827.767,1767.604,1826.791,183209.07,2991356.71,1.3999,59
2018/5/4,2018/5/3,1821.022,1832.958,1812.069,1814.855,140256.35,2386726.91,-0.6534,19
2018/5/7,2018/5/4,1819.665,1854.303,1819.015,1852.336,161597.12,2765611.82,2.0652,26
2018/5/8,2018/5/7,1852.686,1857.947,1842.626,1856.868,153752.96,2628413.96,0.2447,14
2018/5/9,2018/5/8,1853.83,1861.936,1845.903,1855.809,133150.99,2271177.86,-0.057,16
2018/5/10,2018/5/9,1857.986,1866.815,1846.111,1865.359,151274.03,2627614.73,0.5146,9
2018/5/11,2018/5/10,1866.931,1870.004,1834.78,1834.78,157714.95,2731733.52,-1.6393,10
2018/5/14,2018/5/11,1835.696,1844.651,1825.695,1830.98,166658.5,2847165.49,-0.2071,12
2018/5/15,2018/5/14,1830.836,1858.986,1825.505,1858.011,153628.35,2598103.73,1.4763,5
2018/5/16,2018/5/15,1850.009,1862.288,1845.087,1846.675,133915.34,2426133.74,-0.6101,4
2018/5/17,2018/5/16,1845.278,1851.12,1826.232,1831.205,109800.08,1911643.89,-0.8377,6
2018/5/18,2018/5/17,1829.063,1839.001,1812.656,1836.754,121063.38,2069146.96,0.303,7
2018/5/21,2018/5/18,1845.764,1870.57,1845.764,1862.481,168154.01,2868369.33,1.4007,2
2018/5/22,2018/5/21,1860.631,1876.156,1858.114,1875.999,146025.67,2460598.51,0.7258,3
2018/5/23,2018/5/22,1869.5,1876.202,1845.81,1845.973,145700.25,2477246.74,-1.6005,7
2018/5/24,2018/5/23,1847.811,1855.988,1837.439,1838.403,136075.11,2205125.9,-0.4101,7
2018/5/25,2018/5/24,1835.415,1841.639,1804.549,1804.549,161116.11,2516232.44,-1.8415,12
2018/5/28,2018/5/25,1804.784,1815.221,1788.035,1796.913,140930.9,2305907.19,-0.4232,9
2018/5/29,2018/5/28,1795.724,1815.2,1773.623,1773.646,138309.4,2326923.44,-1.2948,9
2018/5/30,2018/5/29,1744.241,1758.866,1724.28,1726.219,166059.87,2581680.95,-2.674,2
2018/5/31,2018/5/30,1741.325,1748.528,1714.848,1743.743,141208.51,2214186.11,1.0152,9
2018/6/1,2018/5/31,1734.35,1744.011,1699.684,1709.548,121743.3,1923757.95,-1.961,8
2018/6/4,2018/6/1,1709.569,1715.415,1690.991,1702.93,123559.14,1914168.55,-0.3871,5
2018/6/5,2018/6/4,1702.367,1747.747,1702.367,1746.113,136959.47,2157190.23,2.5358,12
2018/6/6,2018/6/5,1744.166,1751.97,1735.374,1743.247,131963.66,2147343.92,-0.1641,16
2018/6/7,2018/6/6,1747.932,1750.506,1728.061,1730.375,123686.51,1871252.83,-0.7384,10
2018/6/8,2018/6/7,1726.303,1727.487,1698.246,1711.522,122927.9,1867883.92,-1.0895,9
2018/6/11,2018/6/8,1707.14,1708.205,1684.315,1688.618,108552.15,1721263.2,-1.3382,3
2018/6/12,2018/6/11,1692.668,1715.661,1680.996,1712.768,117536.23,1815599.67,1.4302,10
2018/6/13,2018/6/12,1711.53,1711.53,1685.895,1685.895,110632.57,1619181.19,-1.569,7
2018/6/14,2018/6/13,1682.836,1702.686,1669.381,1673.319,113464.22,1547728.22,-0.746,11
2018/6/15,2018/6/14,1673.904,1681.889,1636.698,1641.663,129139.23,1784636.74,-1.8918,18
2018/6/19,2018/6/15,1612.901,1626.868,1532.323,1547.145,174232.06,2363016.46,-5.7575,0
2018/6/20,2018/6/19,1540.61,1577.623,1525.285,1563.793,156917.33,2191280.06,1.076,13
2018/6/21,2018/6/20,1562.369,1570.598,1521.562,1521.676,150206.22,1989196.08,-2.6933,8
2018/6/22,2018/6/21,1514.042,1555.72,1506.617,1549.661,129824.88,1663654.54,1.8391,6
2018/6/25,2018/6/22,1563.744,1566.777,1537.27,1538.565,122624.67,1681528.87,-0.716,15
2018/6/26,2018/6/25,1518.5,1570.276,1515.268,1564.917,150409.45,1972973.28,1.7128,17
2018/6/27,2018/6/26,1564.287,1572.607,1542.516,1546.232,130842.02,1723907.08,-1.194,11
2018/6/28,2018/6/27,1544.645,1570.896,1540.89,1543.664,136390.19,1803517.82,-0.1661,19
2018/6/29,2018/6/28,1547.149,1609.735,1547.149,1606.715,169800.19,2354558.6,4.0845,9
2018/7/2,2018/6/29,1605.21,1614.341,1572.562,1588.374,149413.54,2243852.31,-1.1415,15
2018/7/3,2018/7/2,1589.499,1613.826,1558.001,1607.122,168241.67,2498757.08,1.1803,19
2018/7/4,2018/7/3,1595.888,1596.001,1557.542,1565.61,138196.54,2019585.97,-2.583,15
2018/7/5,2018/7/4,1560.976,1576.991,1532.429,1532.679,122017.38,1733582.57,-2.1034,6
2018/7/6,2018/7/5,1532.051,1571.016,1517.061,1541.314,166828.9,2368806.85,0.5634,15
2018/7/9,2018/7/6,1546.012,1582.532,1546.012,1581.93,145110.07,2183957.61,2.6352,12
2018/7/10,2018/7/9,1583.743,1594.001,1577.392,1592.976,134301.72,2018048.36,0.6983,14
2018/7/11,2018/7/10,1562.591,1577.172,1540.705,1563.008,164154.63,2357418.69,-1.8813,33
2018/7/12,2018/7/11,1563.788,1620.644,1563.788,1614.632,244180.03,3109294.06,3.3029,38
2018/7/13,2018/7/12,1612.188,1626.273,1608.604,1618.463,209297.48,2716569.15,0.2373,19
2018/7/16,2018/7/13,1614.562,1624.329,1605.212,1616.912,180786.72,2418121.95,-0.0958,56
2018/7/17,2018/7/16,1615.842,1622.085,1597.882,1621.632,182780.28,2290810.51,0.2919,55
2018/7/18,2018/7/17,1622.287,1635.907,1607.884,1607.884,194074.06,2691492.67,-0.8478,22
2018/7/19,2018/7/18,1607.929,1619.393,1582.966,1590.063,168026.6,2328793.93,-1.1084,11
2018/7/20,2018/7/19,1589.308,1615.058,1578.801,1609.548,170206.61,2446492.36,1.2254,13
2018/7/23,2018/7/20,1592.24,1621.174,1589.641,1620.973,193833.2,2835624.59,0.7098,7
2018/7/24,2018/7/23,1615.72,1641.968,1607.541,1629.61,220156.28,3272561.99,0.5328,12
2018/7/25,2018/7/24,1629.127,1645.445,1626.086,1632.32,197652.66,2949122.05,0.1663,7
2018/7/26,2018/7/25,1631.456,1635.053,1601.464,1606.115,210457.12,2633266.88,-1.6054,10
2018/7/27,2018/7/26,1601.269,1607.3,1590.43,1594.567,176331.49,2090759.39,-0.719,6
2018/7/30,2018/7/27,1593.604,1596.731,1554.038,1559.641,155198.07,2078051.09,-2.1903,11
2018/7/31,2018/7/30,1557.6,1571.874,1551.094,1561.258,136179.55,1909014.75,0.1037,15
2018/8/1,2018/7/31,1568.123,1580.835,1541.86,1541.86,142830.58,1996999.33,-1.2425,36
2018/8/2,2018/8/1,1538.284,1538.937,1484.481,1510.088,185209.16,2516021.9,-2.0606,20
2018/8/3,2018/8/2,1512.566,1523.244,1481.607,1481.607,125414.52,1787077.51,-1.886,9
2018/8/6,2018/8/3,1471.356,1485.852,1434.787,1440.795,144670.96,1964920.69,-2.7546,23
2018/8/7,2018/8/6,1445.617,1482.028,1435.093,1479.441,140656.12,1954613.27,2.6823,30
2018/8/8,2018/8/7,1475.323,1480.282,1446.814,1447.757,131151.53,1689666.2,-2.1416,19
2018/8/9,2018/8/8,1443.872,1509.868,1443.296,1497.606,169154.32,2264755.93,3.4432,23
2018/8/10,2018/8/9,1496.105,1514.508,1496.105,1511.707,126154.42,1731947.47,0.9416,30
2018/8/13,2018/8/10,1494.315,1534.123,1490.822,1531.34,141086.23,1972904.69,1.2987,25
2018/8/14,2018/8/13,1530.452,1533.071,1512.164,1518.491,122282.34,1541933.16,-0.8391,26
2018/8/15,2018/8/14,1518.284,1519.716,1472.441,1478.506,143177.73,1777331.76,-2.6332,26
2018/8/16,2018/8/15,1458.392,1489.337,1449.927,1463.872,140320.66,1801616.68,-0.9898,39
2018/8/17,2018/8/16,1475.887,1480.425,1432.063,1434.306,128447.74,1799931.13,-2.0197,57
2018/8/20,2018/8/17,1428.261,1444,1404.189,1435.69,138316.7,1892994.94,0.0965,35
2018/8/21,2018/8/20,1435.361,1461.381,1431.844,1456.972,130019.76,1841386.36,1.4824,60
2018/8/22,2018/8/21,1454.706,1457.785,1437.258,1439.552,111361.24,1452107.78,-1.1956,60
2018/8/23,2018/8/22,1439.659,1463.016,1438.278,1455.502,125722.9,1699567.67,1.108,48
2018/8/24,2018/8/23,1450.951,1460.653,1442.814,1450.091,108260.24,1395983.14,-0.3718,46
2018/8/27,2018/8/24,1455.656,1495.679,1454.28,1493.433,152346.62,2031413.18,2.9889,86
2018/8/28,2018/8/27,1495.903,1499.678,1485.536,1493.106,128112.47,1752656.92,-0.0219,87
