qid_date,万联证券,上海证券,东亚前海证券,东兴证券,东吴证券,东方证券,东方财富证券,东海证券,东莞证券,中原证券,中国银河,中航证券,中邮证券,中银证券,信达证券,光大证券,华安证券,华福证券,华西证券,华金证券,华鑫证券,南京证券,国信证券,国元证券,国开证券,国盛证券,国联证券,国金证券,天风证券,太平洋,安信证券,山西证券,川财证券,平安证券,开源证券,德邦证券,招银国际,方正证券,民生证券,浙商证券,海通国际,申港证券,红塔证券,群益证券,西南证券,西部证券,财信证券,长城国瑞证券,首创证券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/7,1,1,1,1,1.028045,1,0.994219,1,1,1,1,1,1,1,0.999671,1,1,1,1,1,1,1,1,1,1,1.076669,1,1.012227,1.098349,1,1.01275,1,1,1,1.016689,1,1,1.049114,1,1.007919,1,1,1,1,1,1,0.983661,1,1,0.010407,0.301069414,0.044179874,0.174490228,0.322147317,0.16864148,0.202304496,0,0.236903433,0.314642895,0.412855291,0.434759092,0.038261314,0.523248505,0.106006766,0.331905075,0.070567277,0.325722836,0.089280089,0.210557563,0.467737255,0.079066054,0.398370975,0.576058228,0.035033035,0.262793939,0.39118006,0.557822477,0.38403025,0.200487279,0.131424672,0.217940096,0.096003357,0.356816098,0.390068129,0,0,0.360806372,0.388206627,0.366660827,0.074383433,0.329818054,0.136349468,0.237704574,0.374733822,0.485875831,0.413748188,0.037535992,0.062232493
2021/12/8,1,1,1,1.01979,1.049758681,1,0.994219,1,1,1,1,0.954117,1,1.0383565,1.098038626,0.992031,1,1,1.012045,1,1,1,0.9990925,1,1,1.077495882,1,1.012227,1.098349,1.012002,1.027141178,1,1,1,1.051756637,1.009472,1,1.049114,1.0084,1.007919,1,1,0.983066,1,1,1,0.964289764,1,0.993945,0.010407,0.301069414,0.044179874,0.190510034,0.336168326,0.16864148,0.202304496,0,0.236903433,0.314642895,0.412855291,0.407576945,0.038261314,0.540859527,0.186095016,0.326538258,0.070567277,0.325722836,0.100119154,0.210557563,0.467737255,0.079066054,0.397824501,0.576058228,0.035033035,0.263359679,0.39118006,0.557822477,0.38403025,0.209969228,0.143594199,0.217940096,0.096003357,0.356816098,0.410404458,0.002908,0,0.360806372,0.393302883,0.366660827,0.074383433,0.329818054,0.121472483,0.237704574,0.374733822,0.485875831,0.401971207,0.037535992,0.05651972
2021/12/9,1,1,1,1.01979,1.07464461,1.0099345,0.994219,1,1,1,1,0.954117,1,1.0383565,1.112768815,0.992231142,0.983216,0.975754,1.005783478,1,0.999227,1,0.978921322,1,1,1.077495882,1,1.012227,1.099135418,1.066707792,1.017418259,1,1,1,1.051756637,1.009472,1,1.049114,1.002680355,1.026323433,1,1,0.983066,1,1,1,0.964289764,1,0.980779205,0.010407,0.301069414,0.044179874,0.190510034,0.351540914,0.176819368,0.202304496,0,0.236903433,0.314642895,0.412855291,0.407576945,0.038261314,0.540859527,0.196869019,0.326674102,0.054701385,0.308968076,0.09451693,0.210557563,0.467325498,0.079066054,0.385416364,0.576058228,0.035033035,0.263359679,0.39118006,0.557822477,0.384470969,0.250485722,0.13540999,0.217940096,0.096003357,0.356816098,0.410404458,0.002908,0,0.360806372,0.389842067,0.378018113,0.074383433,0.329818054,0.121472483,0.237704574,0.374733822,0.485875831,0.401971207,0.037535992,0.043854619
2021/12/10,1,1,1,1.01979,1.132054275,1.0099345,0.994219,1,1,1,1,0.954117,1,1.0383565,1.112768815,0.992231142,1.014745771,0.975754,1.005783478,0.988027,0.985752424,0.988745,0.978921322,1,1,1.070356394,1,1.010846322,1.125160746,1.055288685,1.08324166,1,1,1,1.039421635,1.006536455,1,1.049114,0.989104063,1.026323433,1,1,0.983066,1,1,1,0.964289764,1,0.980779205,0.010407,0.301069414,0.044179874,0.190510034,0.384426103,0.176819368,0.202304496,0,0.236903433,0.314642895,0.412855291,0.407576945,0.038261314,0.540859527,0.196869019,0.326674102,0.084073322,0.308968076,0.09451693,0.200991029,0.460044194,0.068582955,0.385416364,0.576058228,0.035033035,0.258446143,0.39118006,0.557218522,0.398708352,0.24237535,0.187946979,0.217940096,0.096003357,0.356816098,0.403407623,0,0,0.360806372,0.381467132,0.378018113,0.074383433,0.329818054,0.121472483,0.237704574,0.374733822,0.485875831,0.401971207,0.037535992,0.043854619
2021/12/13,1,1,1,1.01979,1.132054275,1.0099345,1.009579684,1,1,1,1,0.954117,1,1.0383565,1.138553894,0.997333195,1.000808745,0.959556484,0.998108595,0.988027,0.985752424,0.988745,0.984979866,1,1,1.051927711,0.975459,1.010846322,1.125160746,1.080652549,1.074795624,1,1,1,1.020551975,1.045461233,1,1.049114,0.993933858,1.045284964,1,1,0.983066,1,1,1,0.955570656,1,0.980779205,0.010407,0.301069414,0.044179874,0.190510034,0.384426103,0.176819368,0.214441377,0,0.236903433,0.314642895,0.412855291,0.407576945,0.038261314,0.540859527,0.215057702,0.330118632,0.071318344,0.297303311,0.087554285,0.200991029,0.460044194,0.068582955,0.389196626,0.576058228,0.035033035,0.245454888,0.375863117,0.557218522,0.398708352,0.260157465,0.181565645,0.217940096,0.096003357,0.356816098,0.392376832,0.0342671,0,0.360806372,0.384472751,0.389300901,0.074383433,0.329818054,0.121472483,0.237704574,0.374733822,0.485875831,0.396514491,0.037535992,0.043854619
2021/12/14,1,1,1,1.01979,1.132054275,1.024184676,1.009579684,1,1,1,1,0.954117,1,1.0383565,1.138553894,1.00619583,0.999207451,0.959556484,1.096927335,0.988027,0.985752424,0.988745,0.984979866,1,1,1.051927711,0.975459,1.010846322,1.131238865,1.080652549,1.074795624,1,1,1,1.020551975,1.045461233,1,1.049114,0.995365123,1.045284964,1,1,0.983066,1,1,1,0.955570656,1,0.980779205,0.010407,0.301069414,0.044179874,0.190510034,0.384426103,0.188272838,0.214441377,0,0.236903433,0.314642895,0.412855291,0.407576945,0.038261314,0.540859527,0.215057702,0.336018988,0.069830072,0.297303311,0.169753655,0.200991029,0.460044194,0.068582955,0.389196626,0.576058228,0.035033035,0.245454888,0.375863117,0.557218522,0.401939078,0.260157465,0.181565645,0.217940096,0.096003357,0.356816098,0.392376832,0.0342671,0,0.360806372,0.385357836,0.389300901,0.074383433,0.329818054,0.121472483,0.237704574,0.374733822,0.485875831,0.396514491,0.037535992,0.043854619
2021/12/15,1,1,1,1.077268424,1.115616092,1.019291121,1.009579684,1,1,1,0.96481,0.954117,1,1.0383565,1.16628622,1.00619583,0.999207451,0.959556484,1.107632249,0.988027,0.985752424,0.988745,0.984979866,1,1,1.051927711,0.975459,1.014517716,1.121329966,1.080652549,1.074795624,1,1,1,1.00774847,1.051995366,1,1.063344182,0.953691176,1.042410953,1,1.025849,0.983066,1,0.972684,1,0.955570656,1,0.980779205,0.010407,0.301069414,0.044179874,0.233700948,0.375355853,0.184375785,0.214441377,0,0.236903433,0.314642895,0.391440067,0.407576945,0.038261314,0.540859527,0.23372231,0.336018988,0.069830072,0.297303311,0.177777722,0.200991029,0.460044194,0.068582955,0.389196626,0.576058228,0.035033035,0.245454888,0.375863117,0.558820885,0.39665417,0.260157465,0.181565645,0.217940096,0.096003357,0.356816098,0.384656943,0.040265442,0,0.369360368,0.358499493,0.387617154,0.074383433,0.346705075,0.121472483,0.237704574,0.357174398,0.485875831,0.396514491,0.037535992,0.043854619
2021/12/16,1,1,1,1.058000401,1.115616092,1.019291121,1.009579684,1,1,1,0.96481,0.954117,1,1.000844833,1.163795421,0.996571567,0.999207451,0.959556484,1.111985613,0.988027,0.985752424,0.988745,0.965102972,1,1,1.051927711,0.940219568,1.014517716,1.121329966,1.080652549,1.074795624,1,1,1,0.989171131,1.051995366,1,1.063344182,0.953691176,1.039673581,1,1.025849,0.983066,0.963874,0.972684,0.963874,0.913462479,1,0.980779205,0.010407,0.301069414,0.044179874,0.219745313,0.375355853,0.184375785,0.214441377,0,0.236903433,0.314642895,0.391440067,0.407576945,0.038261314,0.52365094,0.232082294,0.329606676,0.069830072,0.297303311,0.180996678,0.200991029,0.460044194,0.068582955,0.376616752,0.576058228,0.035033035,0.245454888,0.352470465,0.558820885,0.39665417,0.260157465,0.181565645,0.217940096,0.096003357,0.356816098,0.373100362,0.040265442,0,0.369360368,0.358499493,0.386004802,0.074383433,0.346705075,0.121472483,0.209133739,0.357174398,0.466606456,0.368695423,0.037535992,0.043854619
2021/12/17,1,1,1,1.033032649,1.098363089,1.011644399,1.009579684,1,1,1,0.96481,0.954117,1,0.976908628,1.151438824,0.996571567,0.999207451,0.959556484,1.064254742,0.988027,0.939216038,0.988745,0.943214759,0.964563,1,1.05270193,0.980751494,1.014517716,1.09566785,1.080652549,1.074795624,1,1,1,0.9454102,1.058235802,1,1.035080494,0.953691176,1.029364958,1,1.025849,0.983066,0.961559739,0.972684,0.963874,0.913462479,1,0.980779205,0.010407,0.301069414,0.044179874,0.200887046,0.365543991,0.178210722,0.214441377,0,0.236903433,0.314642895,0.391440067,0.407576945,0.038261314,0.511979441,0.223841431,0.329606676,0.069830072,0.297303311,0.144265113,0.200991029,0.4332904,0.068582955,0.36215054,0.560483066,0.035033035,0.246009825,0.379231188,0.558820885,0.382522943,0.260157465,0.181565645,0.217940096,0.096003357,0.356816098,0.344082575,0.045925014,0,0.352140256,0.358499493,0.379855919,0.074383433,0.346705075,0.121472483,0.2072303,0.357174398,0.466606456,0.368695423,0.037535992,0.043854619
2021/12/20,1,1,1,1.033032649,1.073708133,0.964804252,1.009579684,1,1,1,0.96481,0.954117,1,0.976908628,1.151438824,1.012682143,1.063246656,0.959556484,1.097700012,0.988027,0.92230154,0.988745,0.908856746,0.964563,1,1.077628859,0.980751494,0.994194897,1.102098324,1.080652549,1.090468025,1,1,1,0.957364912,1.162342924,1,1.035080494,0.988890487,1.023948954,1,1.025849,0.983066,0.961559739,0.972684,0.963874,0.913462479,1,0.980779205,0.010407,0.301069414,0.044179874,0.200887046,0.350975334,0.138313789,0.214441377,0,0.236903433,0.314642895,0.391440067,0.407576945,0.038261314,0.511979441,0.223841431,0.340271842,0.125854083,0.297303311,0.17033807,0.200991029,0.422897261,0.068582955,0.338037565,0.560483066,0.035033035,0.263450579,0.379231188,0.549802529,0.386125771,0.260157465,0.19332833,0.217940096,0.096003357,0.356816098,0.352273082,0.131378282,0,0.352140256,0.381333544,0.376575772,0.074383433,0.346705075,0.121472483,0.2072303,0.357174398,0.466606456,0.368695423,0.037535992,0.043854619
