券商名字,ARR,MDR,CR,SR,WR,标准差
安信证券,0.106762944,0.272675813,0.391538006,0.795661331,0.494312306,0.109045068
财信证券,-0.289848827,0.413748188,-0.70054404,-2.999340381,0.5,0.103305657
川财证券,-0.020482224,0.118754953,-0.172474693,-1.298447567,0.576923077,0.031177403
德邦证券,0.008041333,0.238850308,0.033666831,-0.103884456,0.444444444,0.115115079
东方财富证券,-0.031335322,0.29177706,-0.107394742,-0.720727222,0.519736842,0.071227117
东方证券,-0.075284799,0.246111522,-0.305897093,-1.514493351,0.495104895,0.062915297
东莞证券,-0.178159208,0.283934333,-0.627466239,-2.035722679,0.503267974,0.097340964
东海证券,0.025399623,0.012861301,1.974887569,0.325612333,0.333333333,0.016582979
东吴证券,-0.166998834,0.384426103,-0.434410756,-1.671216507,0.488939741,0.111893841
东兴证券,0.032443589,0.246717375,0.13150103,0.221458963,0.442724458,0.05618914
东亚前海证券,0.506437733,0.146437522,3.458387765,2.148151695,0.559241706,0.226444778
方正证券,-0.178703891,0.369360368,-0.483819886,-1.832933121,0.458115183,0.108407606
光大证券,-0.149721681,0.363671034,-0.41169537,-1.877896558,0.490248823,0.09037861
国金证券,-0.387373878,0.558820885,-0.693198641,-2.355772604,0.516885553,0.172925807
国开证券,9.33494E-05,0.035033035,0.002664611,-1.642806103,0.2,0.012117468
国联证券,-0.320759847,0.395765885,-0.810478768,-2.57863381,0.453608247,0.132147436
国盛证券,-0.006728871,0.377769045,-0.017812129,-0.18252642,0.490939044,0.146438365
国信证券,-0.222159095,0.398370975,-0.557668879,-2.490750293,0.480424144,0.097223353
国元证券,-0.453404645,0.576058228,-0.787081276,-2.864853834,0.417910448,0.165245654
海通国际,0.156816117,0.24588497,0.637762109,1.931980127,0.525477707,0.070816524
红塔证券,-0.096969687,0.136349468,-0.711184931,-4.203091704,0.340425532,0.02782944
华安证券,0.180946314,0.245675355,0.736526111,0.983601927,0.487839771,0.163629523
华福证券,-0.248106883,0.325722836,-0.761711663,-2.818057554,0.396825397,0.095138896
华金证券,0.258043937,0.2606098,0.990154389,1.89280578,0.528089888,0.125762474
华西证券,0.145037501,0.339864799,0.426750583,1.004105245,0.483632524,0.12452629
华鑫证券,-0.222512992,0.467737255,-0.475722192,-2.544687438,0.465732087,0.095301682
开源证券,-0.15771873,0.440817329,-0.357787046,-1.27345217,0.494853523,0.139556659
民生证券,-0.282785872,0.393302883,-0.719002795,-3.175678134,0.485658409,0.095345265
南京证券,-0.065979259,0.079066054,-0.83448276,-3.59441653,0.518518519,0.023920227
平安证券,-0.268657703,0.385170637,-0.697503073,-2.341743843,0.491428571,0.123266131
群益证券,-0.167259838,0.237704574,-0.703645854,-3.879137534,0.462857143,0.048273575
山西证券,0.00819508,0.222819554,0.036778998,-0.187612248,0.486055777,0.062921905
上海证券,-0.202148496,0.350067871,-0.577455153,-1.818101451,0.47008547,0.122187073
申港证券,-0.221783025,0.361319365,-0.613814388,-2.550567266,0.5,0.094795784
首创证券,0.152564268,0.242058196,0.630279291,0.974057019,0.484460695,0.136094978
太平洋,0.034956218,0.318690361,0.109687089,0.185390277,0.501133787,0.080674232
天风证券,-0.236963582,0.408091403,-0.580663009,-2.096483791,0.463961559,0.122568838
万联证券,0.311032879,0.090500823,3.43679613,2.14670837,0.546218487,0.135571689
西部证券,-0.358741876,0.485875831,-0.738340648,-2.883464721,0.420911528,0.131349579
西南证券,-0.290243618,0.401864843,-0.722241875,-2.596580561,0.484220907,0.119481607
信达证券,0.407290977,0.301582111,1.350514377,2.713531379,0.448175182,0.142725815
长城国瑞证券,-0.030605916,0.127595055,-0.239867572,-1.085739872,0.6,0.046609614
招银国际,0.002445772,0.084969945,0.028783966,-0.814210214,0.529411765,0.021559823
浙商证券,-0.109074025,0.396906037,-0.274810698,-0.988074216,0.456886228,0.130631913
中国银河,-0.217598453,0.412855291,-0.527057441,-2.172042139,0.49822695,0.109389431
中航证券,-0.304674755,0.434759092,-0.700789841,-2.536696138,0.479591837,0.127991189
中银证券,-0.396611104,0.540859527,-0.733297806,-2.777565274,0.46038864,0.149991472
中邮证券,-0.021825338,0.182290781,-0.11972815,-0.797402705,0.421296296,0.052451964
中原证券,-0.222202077,0.314642895,-0.706204019,-2.565428071,0.481675393,0.094410005
