qid_date,万联证券,上海证券,东亚前海证券,东兴证券,东吴证券,东方证券,东方财富证券,东莞证券,中原证券,中国银河,中航证券,中邮证券,中银证券,信达证券,光大证券,华安证券,华福证券,华西证券,华金证券,华鑫证券,南京证券,国信证券,国元证券,国开证券,国盛证券,国联证券,国金证券,天风证券,太平洋,安信证券,山西证券,川财证券,平安证券,开源证券,德邦证券,招银国际,方正证券,民生证券,浙商证券,海通国际,申港证券,红塔证券,群益证券,英大证券,西南证券,西部证券,财信证券,长城国瑞证券,首创证券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/7,1,1,1,1,1,1.013057,0.990056,1,1,1,1,1,1.01942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0315,1,1,1,1,1.110599,1,1,1,1,0.986342,1,1,1,1,1,1,1,1,1,1,0.066843238,0.390197768,0.267750615,0.326463047,0.290348817,0.347425853,0.176197474,0.234563975,0.15050789,0.26477663,0.171512967,0.134646544,0.430718656,0.30766804,0.405889195,0.249414969,0.087731479,0.361890234,0.40392016,0.104049136,0.152279207,0.287858832,0.306007074,0.030952,0.447132679,0.494328771,0.565705282,0.465200649,0.26019941,0.461840842,0.147263073,0.006086818,0.381822068,0.545217297,0.170584408,0.006391247,0.578257281,0.176306878,0.688569934,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.435745982,0.447658303,0.202005497,0.020134297,0.267796804
2021/12/8,1,1,1,1,0.955665,1.01685799,0.990056,1,1,1,1,1,1.01942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0315,1,1,1,1,1.041668007,1,1,1,1,0.986342,1,1,1,1,1,1,1,1,1,1,0.066843238,0.390197768,0.267750615,0.326463047,0.257426836,0.349865159,0.176197474,0.234563975,0.15050789,0.26477663,0.171512967,0.134646544,0.430718656,0.30766804,0.405889195,0.249414969,0.087731479,0.361890234,0.40392016,0.104049136,0.152279207,0.287858832,0.306007074,0.030952,0.447132679,0.494328771,0.565705282,0.465200649,0.26019941,0.461840842,0.147263073,0.006086818,0.381822068,0.515122657,0.170584408,0.006391247,0.578257281,0.176306878,0.688569934,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.435745982,0.447658303,0.202005497,0.020134297,0.267796804
2021/12/9,1,1,1,1,0.955665,1.01685799,0.990056,1,1,1.033497,1,1,1.01942,1,1,1,1,1,1,1.056986,1,0.992746,1,1,1,1,1,1,0.998363578,1,1,1,1,1.044274261,1.100373,1,1,0.9739685,0.967835758,1,1,1,1,1,1,1,1,1,0.966055,0.066843238,0.390197768,0.267750615,0.326463047,0.257426836,0.349865159,0.176197474,0.234563975,0.15050789,0.288606189,0.171512967,0.134646544,0.430718656,0.30766804,0.405889195,0.249414969,0.087731479,0.361890234,0.40392016,0.15235314,0.152279207,0.282655213,0.306007074,0.030952,0.447132679,0.494328771,0.565705282,0.465200649,0.235644885,0.461840842,0.147263073,0.006086818,0.381822068,0.516332792,0.246241418,0.006391247,0.578257281,0.154291825,0.682614997,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.435745982,0.447658303,0.202005497,0.020134297,0.242068831
2021/12/10,1,1,1,1,0.933930629,1.01685799,0.990056,1,1,1.033497,1,1,1.01942,1,1,1,1,1,1,1.056986,1,0.992746,1.027276,1,1,1,1,1.006814,0.998363578,1,1,1,1,1.044274261,1.130965845,1,1,0.96841623,0.938738744,1,1,1,1,1,1,1,1,1,0.966055,0.066843238,0.390197768,0.267750615,0.326463047,0.240145723,0.349865159,0.176197474,0.234563975,0.15050789,0.288606189,0.171512967,0.134646544,0.430718656,0.30766804,0.405889195,0.249414969,0.087731479,0.361890234,0.40392016,0.15235314,0.152279207,0.282655213,0.324433817,0.030952,0.447132679,0.494328771,0.565705282,0.468820109,0.235644885,0.461840842,0.147263073,0.006086818,0.381822068,0.516332792,0.266630734,0.006391247,0.578257281,0.149443084,0.672777376,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.435745982,0.447658303,0.202005497,0.020134297,0.242068831
2021/12/13,1,1,1,1,0.899341575,0.941780314,0.990056,1,1,1.033497,1,1,1.01942,1,1,1.025045,1,1,1,1.058107462,1,0.992746,1.027276,1,0.998931,1.055588,1.001525,1.006814,0.998363578,1.010703,1.008323,1,1,1.044274261,1.130965845,1,0.998931,0.96841623,0.909475441,1,1,1,1,1,1,1,1,1,0.966055,0.066843238,0.390197768,0.267750615,0.326463047,0.210921408,0.298037134,0.176197474,0.234563975,0.15050789,0.288606189,0.171512967,0.134646544,0.430718656,0.30766804,0.405889195,0.267754069,0.087731479,0.361890234,0.40392016,0.15325154,0.152279207,0.282655213,0.324433817,0.030952,0.446541031,0.52095777,0.566366573,0.468820109,0.235644885,0.467539763,0.154301819,0.006086818,0.381822068,0.516332792,0.266630734,0.006391247,0.577805955,0.149443084,0.662248654,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.435745982,0.447658303,0.202005497,0.020134297,0.242068831
2021/12/14,1,1,1,1,0.899341575,0.941780314,0.990056,1,1,1.033497,1,1,1.01942,0.991062,1,1.04497905,1,1,1,1.058107462,1,0.992746,1.027276,1,0.998931,1.055588,1.001525,1.006814,0.998363578,1.010703,1.008323,1,1,1.044274261,1.130965845,1,0.998931,0.96841623,0.916825822,1,1,1,1,1,1,1,1,1,0.953334954,0.066843238,0.390197768,0.267750615,0.326463047,0.210921408,0.298037134,0.176197474,0.234563975,0.15050789,0.288606189,0.171512967,0.134646544,0.430718656,0.301424169,0.405889195,0.281722413,0.087731479,0.361890234,0.40392016,0.15325154,0.152279207,0.282655213,0.324433817,0.030952,0.446541031,0.52095777,0.566366573,0.468820109,0.235644885,0.467539763,0.154301819,0.006086818,0.381822068,0.516332792,0.266630734,0.006391247,0.577805955,0.149443084,0.664956475,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.435745982,0.447658303,0.202005497,0.020134297,0.231955995
2021/12/15,1,1,1,1,0.885735436,0.941780314,0.990056,1,1,1.033497,0.996104,1,1.01942,1.006855564,1.01598,1.104226227,1,1.01758,1.056367,1.058107462,1,0.992746,1.027276,1,0.998931,1.055588,1.001525,0.997828521,0.998363578,1.010703,1.008323,1,1,1.04941209,1.130965845,1,0.998931,0.96841623,0.916825822,1,1,1,1,1,1.05709,1.093741,1,1,0.953334954,0.066843238,0.390197768,0.267750615,0.326463047,0.198800054,0.298037134,0.176197474,0.234563975,0.15050789,0.288606189,0.168272557,0.134646544,0.430718656,0.312382049,0.415233759,0.320261544,0.087731479,0.372914399,0.435726561,0.15325154,0.152279207,0.282655213,0.324433817,0.030952,0.446541031,0.52095777,0.566366573,0.464036816,0.235644885,0.467539763,0.154301819,0.006086818,0.381822068,0.518700785,0.266630734,0.006391247,0.577805955,0.149443084,0.664956475,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.46621951,0.494997721,0.202005497,0.020134297,0.231955995
2021/12/16,1,1,1,1,0.885735436,0.941780314,0.990056,1,1,1.033497,0.996104,1,1.01942,0.9907348,1.014229466,1.104226227,1,1.01758,1.056367,1.058107462,1,0.992746,1.027276,1,1.006884489,1.055588,1.001525,0.997828521,0.976885783,1.010703,1.008323,1,1,1.003495064,1.101171681,1,0.998931,0.96841623,0.879616446,1,1,1,1,1,1.029102485,1.093741,1,1,0.953334954,0.066843238,0.390197768,0.267750615,0.326463047,0.198800054,0.298037134,0.176197474,0.234563975,0.15050789,0.288606189,0.168272557,0.134646544,0.430718656,0.301193457,0.414224468,0.320261544,0.087731479,0.372914399,0.435726561,0.15325154,0.152279207,0.282655213,0.324433817,0.030952,0.450912863,0.52095777,0.566366573,0.464036816,0.218839785,0.467539763,0.154301819,0.006086818,0.381822068,0.496677927,0.24678812,0.006391247,0.577805955,0.149443084,0.650783525,0.147378185,0.106259982,0.183617511,0.275270175,0.022666,0.451702794,0.494997721,0.202005497,0.020134297,0.231955995
2021/12/17,1,1,1,1,0.925911952,0.866061177,1.016620193,1,1,1.031308053,0.996104,1,1.01942,0.943789822,1.014229466,1.049939153,1,1.01758,1.056367,1.058107462,1,0.992746,0.963539688,1,0.987365026,1.055588,0.98374042,0.999931943,0.898344166,0.994219445,1.008323,1,1,0.932024138,1.101171681,1,0.998931,0.96841623,0.879616446,1,0.978993,1,1,1,0.946362645,1.093741,1,1,0.953334954,0.066843238,0.390197768,0.267750615,0.326463047,0.233565156,0.236665,0.197723359,0.234563975,0.15050789,0.287096259,0.168272557,0.134646544,0.430718656,0.266434174,0.414224468,0.285115687,0.087731479,0.372914399,0.435726561,0.15325154,0.152279207,0.282655213,0.279746403,0.030952,0.440057824,0.52095777,0.558527119,0.46516425,0.150543481,0.458711896,0.154301819,0.006086818,0.381822068,0.458081401,0.24678812,0.006391247,0.577805955,0.149443084,0.650783525,0.147378185,0.08708232,0.183617511,0.275270175,0.022666,0.403765543,0.494997721,0.202005497,0.020134297,0.231955995
2021/12/20,1,1.000108,1,1,0.94776116,0.866061177,1.016620193,1,1,1.031308053,0.996104,1,1.01942,0.943789822,1.035048555,1.049939153,1,1.01758,1.056367,1.058107462,1,1.016073546,0.963539688,1,1.033328843,1.055588,0.995282646,0.999931943,0.932001528,0.985523007,1.008323,1,1,0.920030852,1.101171681,1,0.998931,0.975108955,0.865051757,1,0.978993,1,1,1,0.959801941,1.093741,1,1,0.953334954,0.066843238,0.390263619,0.267750615,0.326463047,0.251234158,0.236665,0.197723359,0.234563975,0.15050789,0.287096259,0.168272557,0.134646544,0.430718656,0.266434174,0.426006826,0.285115687,0.087731479,0.372914399,0.435726561,0.15325154,0.152279207,0.299124388,0.279746403,0.030952,0.464964784,0.52095777,0.56364685,0.46516425,0.181219896,0.453935469,0.154301819,0.006086818,0.381822068,0.451017089,0.24678812,0.006391247,0.577805955,0.155280937,0.644903843,0.147378185,0.08708232,0.183617511,0.275270175,0.022666,0.412114111,0.494997721,0.202005497,0.020134297,0.231955995
