3068,,,,,,,60,,,,,,,,,,,,,,,,,,,
券商名字,ARR,MDR,CR,SR,WR,标准差,券商名字,ARR,MDR,CR,SR,WR,标准差,,,,,,,,,,,,,
安信证券,-0.152019018,0.467623273,-0.325088649,-1.324168297,0.437238494,0.129907217,安信证券,0.106762944,0.272675813,0.391538006,0.795661331,0.494312306,0.109045068,,,,,,,,,,,,,
财信证券,0.03731237,0.202005497,0.184709678,0.206743135,0.577464789,0.08373855,财信证券,-0.289848827,0.413748188,-0.70054404,-2.999340381,0.5,0.103305657,,,,,,,,,,,,,
川财证券,0.088636861,0.026612638,3.330630423,1.33814137,0.666666667,0.051292683,川财证券,-0.020482224,0.118754953,-0.172474693,-1.298447567,0.576923077,0.031177403,,,,,,,,,,,,,
德邦证券,-0.012661477,0.268217064,-0.047206082,-0.521713629,0.51627907,0.062604224,德邦证券,0.008041333,0.238850308,0.033666831,-0.103884456,0.444444444,0.115115079,,,,,,,,,,,,,
东方财富证券,-0.035128925,0.261316538,-0.134430547,-1.138551773,0.451086957,0.048420218,东方财富证券,-0.031335322,0.29177706,-0.107394742,-0.720727222,0.519736842,0.071227117,,,,,,,,,,,,,
东方证券,-0.139681262,0.349865159,-0.399243134,-2.509222988,0.458874459,0.063637733,东方证券,-0.075284799,0.246111522,-0.305897093,-1.514493351,0.495104895,0.062915297,,,,,,,,,,,,,
东莞证券,-0.096755112,0.234563975,-0.412489224,-2.101912312,0.421052632,0.05554709,东莞证券,-0.178159208,0.283934333,-0.627466239,-2.035722679,0.503267974,0.097340964,,,,,,,,,,,,,
东吴证券,-0.059425947,0.358010261,-0.165989507,-1.013007072,0.485465116,0.078406113,东海证券,0.025399623,0.012861301,1.974887569,0.325612333,0.333333333,0.016582979,,,,,,,,,,,,,
东兴证券,-0.178598354,0.326463047,-0.54707066,-2.436660339,0.433333333,0.081504324,东吴证券,-0.166998834,0.384426103,-0.434410756,-1.671216507,0.488939741,0.111893841,,,,,,,,,,,,,
东亚前海证券,-0.214121667,0.339811305,-0.630119316,-2.048187869,0.47826087,0.114306735,东兴证券,0.032443589,0.246717375,0.13150103,0.221458963,0.442724458,0.05618914,,,,,,,,,,,,,
方正证券,-0.484215439,0.578257281,-0.837370242,-3.096411242,0.451612903,0.162838654,东亚前海证券,0.506437733,0.146437522,3.458387765,2.148151695,0.559241706,0.226444778,,,,,,,,,,,,,
光大证券,-0.30262652,0.457855687,-0.660964859,-2.281517336,0.476076555,0.141408752,方正证券,-0.178703891,0.369360368,-0.483819886,-1.832933121,0.458115183,0.108407606,,,,,,,,,,,,,
国金证券,-0.411482292,0.629672989,-0.653485697,-1.911367512,0.428301887,0.225745331,光大证券,-0.149721681,0.363671034,-0.41169537,-1.877896558,0.490248823,0.09037861,,,,,,,,,,,,,
国开证券,0.03339337,0.030952,1.078876013,0.478179179,0.666666667,0.028009104,国金证券,-0.387373878,0.558820885,-0.693198641,-2.355772604,0.516885553,0.172925807,,,,,,,,,,,,,
国联证券,-0.330323866,0.529642416,-0.623673362,-2.005986921,0.408805031,0.174639158,国开证券,9.33E-05,0.035033035,0.002664611,-1.642806103,0.2,0.012117468,,,,,,,,,,,,,
