group,ARR,MDR×10,CR,SR,WR×10
ChiNext,0.079986259,0.74801607,1.069312042,6.655189688,6
ChiNext,0.302552819,1.94420591,1.556176832,6.312295948,5.125448029
ChiNext,0.817348202,2.78520102,2.93461117,6.6136631,5.284837862
ChiNext,1.378699156,3.00735148,4.584429745,7.076291001,5.246078962
Main Board,0.131866559,1.32078166,0.998397861,7.856434654,5.592417062
Main Board,0.094252173,0.74780758,1.260380023,7.830362902,5.428571429
Main Board,0.030891933,0.74703563,0.413526905,7.37894909,5.526315789
Main Board,0.555474171,2.14999685,2.583604583,7.344888736,5.126903553
Main Board,1.558126422,3.26071901,4.778474985,7.261726632,5.36285648
Main Board,1.573280943,2.37690244,6.619038775,6.912234823,5.361621714
ChiNext,0.065860713,0.76488524,0.861053526,6.906003929,5.68627451
Main Board,0.023612402,0.10233,2.307475981,6.855712694,7.857142857
Main Board,1.229394913,3.02076106,4.06981846,6.822963022,5.383557877
ChiNext,1.232976574,4.13444805,2.982203568,6.659088361,5.166516652
ChiNext,0.661178359,4.93212415,1.340554982,6.460988397,5.111308994
ChiNext,0.897844552,4.07645506,2.202513064,5.93844902,4.91025641
Main Board,1.638349885,3.82263739,4.285914978,5.740313925,5.143945334
ChiNext,0.551988754,4.88549181,1.129852992,5.70582611,5.131474104
Main Board,0.225833016,1.94715372,1.159810928,5.698225466,5.237068966
ChiNext,1.109514223,3.01373611,3.68152414,5.633322967,5.343137255
Main Board,0.836188368,2.35031161,3.55777661,5.517529691,5.311335817
ChiNext,1.357455662,5.24039142,2.590370745,5.45794809,5.248764415
Main Board,1.272700317,4.21084842,3.022432041,5.197849883,5.054133013
Main Board,0.028489953,0.13892333,2.050768011,4.930196037,6.071428571
Main Board,0.778506541,2.73924984,2.842042847,4.910539813,5.05736715
Main Board,0.653114628,3.46577481,1.884469315,4.768830784,5.215128383
Main Board,1.085198232,3.37806405,3.212485657,4.733295574,4.966768916
ChiNext,0.724422974,5.24749055,1.380513157,4.479544983,5.374692875
Main Board,0.685232562,2.88087349,2.37855832,4.289343771,5.157865326
Main Board,0.465557669,1.96769007,2.36601118,4.262874747,5.15867657
ChiNext,0.160931531,2.58415598,0.62276245,4.122193362,5.358974359
Main Board,0.079110256,2.17279121,0.364095067,4.103717408,5.238095238
ChiNext,0.033733848,0.56011,0.60227184,4.0757326,5.384615385
ChiNext,0.585107931,2.60322509,2.247627121,4.024715342,4.970906068
ChiNext,0.357815434,3.88261595,0.921583382,4.021749263,5.169147497
Main Board,0.717901662,2.28333863,3.144087582,4.021016591,5.096540628
ChiNext,0.191932029,2.76954443,0.693009386,3.986283147,5.597964377
ChiNext,0.052672396,1.76740411,0.298021236,3.843549131,5.487804878
Main Board,0.822028619,2.66921208,3.079667686,3.77327051,5.236311239
Main Board,0.05715495,0.88768489,0.643865305,3.687763358,4.912280702
ChiNext,0.102410652,3.10754346,0.329555011,3.583970721,5.164835165
Main Board,0.270117238,3.08445051,0.875738605,3.542733278,5.282714055
Main Board,0.395121455,3.06341176,1.289808508,3.344658194,5.125874126
ChiNext,0.466934932,3.52992469,1.322790067,3.222945719,4.9626401
ChiNext,0.037687821,1.28695977,0.29284382,3.180648767,5.970149254
ChiNext,0.001519714,0.22112,0.06872803,3.14738546,5
ChiNext,0.475447286,6.25892258,0.759631198,3.100197272,5.075
Main Board,0.703711235,2.57357376,2.734373682,3.099464078,5.325047801
Main Board,0.048767658,1.22388311,0.398466631,3.056444377,4.666666667
Main Board,0.35721255,4.90699973,0.727965293,3.042127206,4.856081708
