qid_date,CSI 300 Index,Baseline portfolio,day_return,trade_date,,
2017/Q4,993973,992421.3002,-0.0075787,2017/12/6,,
,982893.183,1002044.804,0.009696994,2017/12/7,,
,990892.9506,1018048.26,0.0159708,2017/12/8,,
,1007258.539,1013189.695,-0.004772431,2017/12/11,,
,994020.1396,1018484.776,0.00522615,2017/12/12,,
,1002454.4,1016185.26,-0.002257781,2017/12/13,,
,996528.8925,1010575.094,-0.005520811,2017/12/14,,
,985317.9425,996569.0634,-0.013859466,2017/12/15,,
,986415.5867,1011038.799,0.014519552,2017/12/18,,
,998801.0208,1007806.485,-0.003197023,2017/12/19,,
,997603.4583,1012644.882,0.004800918,2017/12/20,,
,1006850.245,1015241.889,0.002564579,2017/12/21,,
,1003570.934,1013129.569,-0.002080608,2017/12/22,,
,1000338.432,1019815.984,0.006599762,2017/12/25,,
,1003328.443,1010658.872,-0.00897918,2017/12/26,,
,987880.1951,1011370.992,0.00070461,2017/12/27,,
,994733.12,1021958.625,0.010468594,2017/12/28,,
,997692.451,1030716.803,0.008569993,2017/12/29,,
,1011688.081,1036864.459,0.005964447,2018/1/2,,
,1017626.69,1050011.048,0.012679178,2018/1/3,,
,1021938.374,1055088.739,0.004835845,2018/1/4,,
,1024398.18,1059084.278,0.003786923,2018/1/5,,
,1029697.392,1057877.534,-0.001139422,2018/1/8,,
,1036909.392,1052857.665,-0.004745227,2018/1/9,,
,1041492.532,1051262.873,-0.001514727,2018/1/10,,
,1040941.582,1047911.119,-0.003188311,2018/1/11,,
,1045746.568,1032328.866,-0.014869824,2018/1/12,,
,1045805.13,1036181.662,0.00373214,2018/1/15,,
,1054031.433,1040321.675,0.003995452,2018/1/16,,
,1051468.029,1051590.707,0.010832257,2018/1/17,,
,1057235.331,1054409.747,0.002680739,2018/1/18,,
,1060694.605,1067342.721,0.012265605,2018/1/19,,
2018/Q1,1073367.784,1077442.876,0.009462899,2018/1/22,,
,1084757.29,1081730.53,0.003979472,2018/1/23,,
,1086556.902,1082875.727,0.001058671,2018/1/24,,
,1080416.769,1085258.054,0.002200001,2018/1/25,,
,1084431.598,1080930.268,-0.003987794,2018/1/26,,
,1064807.724,1077999.89,-0.002710978,2018/1/29,,
,1053443.031,1069568.044,-0.00782175,2018/1/30,,
,1058342.594,1046924.153,-0.021171062,2018/1/31,,
,1050917.263,1067509.758,0.019662938,2018/2/1,,
,1057188.086,1070576.478,0.00287278,2018/2/2,,
,1057909.088,1021870.754,-0.045494858,2018/2/5,,
,1026906.004,1004154.612,-0.017336969,2018/2/6,,
,1002552.929,1004273.926,0.00011882,2018/2/7,,
,993035.6936,971683.0397,-0.032452188,2018/2/8,,
,950613.2088,998765.943,0.027872158,2018/2/9,,
,962853.3044,1004672.377,0.005913732,2018/2/12,,
,974121.5766,1009810.235,0.005113963,2018/2/13,,
,981875.5844,1023096.073,0.013156767,2018/2/14,,
,1003105.698,1036702.752,0.013299513,2018/2/22,,
,1007648.764,1060127.598,0.022595528,2018/2/23,,
,1019363.689,1054612.442,-0.005202352,2018/2/26,,
,1004652.232,1054084.605,-0.000500503,2018/2/27,,
,995905.7294,1062666.856,0.008141899,2018/2/28,,
,1002203.837,1055157.012,-0.007066979,2018/3/1,,
,994129.081,1056636.311,0.001401971,2018/3/2,,
,994533.6915,1071002.675,0.013596319,2018/3/5,,
,1006529.757,1069281.558,-0.001607015,2018/3/6,,
,999126.7305,1076083.543,0.006361267,2018/3/7,,
,1009261.872,1084845.912,0.008142833,2018/3/8,,
,1017000.892,1101662.892,0.015501723,2018/3/9,,
,1021654.688,1095381.413,-0.005701816,2018/3/12,,
,1012641.651,1085133.757,-0.009355331,2018/3/13,,
,1008209.318,1082441.739,-0.002480817,2018/3/14,,
,1013857.307,1079846.541,-0.002397541,2018/3/15,,
,1004020.863,1077521.204,-0.002153396,2018/3/16,,
,1008432.531,1085722.74,0.007611484,2018/3/19,,
,1009287.681,1077623.329,-0.007459926,2018/3/20,,
,1005165.751,1065844.917,-0.01092999,2018/3/21,,
,995091.9795,1021202.669,-0.041884375,2018/3/22,,
,966525.874,1030751.106,0.009350188,2018/3/23,,
,960327.5436,1045784.132,0.014584536,2018/3/26,,
,968588.2811,1034236.466,-0.011042112,2018/3/27,,
,951125.603,1038886.153,0.004495767,2018/3/28,,
,963831.6899,1052164.421,0.012781254,2018/3/29,,
,964932.3857,1054921.329,0.002620226,2018/3/30,,
2018/Q2,962066.5365,1050350.389,-0.004332967,2018/4/2,,
,956018.0242,1042826.337,-0.007163373,2018/4/3,,
,954132.7567,1049754.431,0.006643574,2018/4/4,,
,953653.782,1053912.386,0.003960883,2018/4/9,,
,972029.7367,1060880.911,0.006612054,2018/4/10,,
,974794.1893,1062087.352,0.001137207,2018/4/11,,
,964966.3143,1062718.213,0.000593982,2018/4/12,,
,958162.3368,1056112.307,-0.006216046,2018/4/13,,
,942746.463,1043903.079,-0.01156054,2018/4/16,,
,927840.6986,1050025.64,0.005865067,2018/4/17,,
,932207.117,1054566.782,0.004324791,2018/4/18,,
,943484.0265,1037764.752,-0.015932637,2018/4/19,,
,930863.9841,1034086.641,-0.003544263,2018/4/20,,
,932218.3912,1054277.067,0.019524887,2018/4/23,,
,951317.6816,1056579.863,0.002184243,2018/4/24,,
,947657.9625,1043092.825,-0.012764808,2018/4/25,,
,929537.7946,1045096.589,0.001920984,2018/4/26,,
,929879.8645,1049338.676,0.004059038,2018/4/27,,
,931555.508,1053325.774,0.00379963,2018/5/2,,
,938820.7094,1052199.919,-0.001068857,2018/5/3,,
,934265.5514,1068155.224,0.015163758,2018/5/4,,
,949014.8016,1073008.232,0.004543355,2018/5/7,,
,960026.2204,1069358.766,-0.003401154,2018/5/8,,
,958278.0126,1069329.2,-2.76E-05,2018/5/9,,
,963584.9562,1057271.173,-0.011276254,2018/5/10,,
,958580.096,1062696.285,0.00513124,2018/5/11,,
,967603.2104,1072831.621,0.009537377,2018/5/14,,
,971267.5238,1073535.738,0.000656316,2018/5/15,,
,963531.378,1069032.307,-0.004194952,2018/5/16,,
,956405.0999,1076640.198,0.007116615,2018/5/17,,
,966060.9658,1090293.141,0.012681063,2018/5/18,,
,970559.9117,1106450.975,0.014819716,2018/5/21,,
,966838.785,1096929.864,-0.008605091,2018/5/22,,
,954061.0436,1100609.418,0.003354412,2018/5/23,,
,947287.2102,1085388.804,-0.01382926,2018/5/24,,
,944633.8587,1098644.146,0.012212529,2018/5/25,,
,948782.6906,1089694.607,-0.008145985,2018/5/28,,
,941542.5299,1055308.399,-0.031555822,2018/5/29,,
,921583.7114,1074598.314,0.018278936,2018/5/30,,
,941137.8746,1064364.625,-0.009523269,2018/5/31,,
,933269.9619,1056640.509,-0.007257021,2018/6/1,,
,942425.3402,1092333.797,0.033779973,2018/6/4,,
,951765.7178,1093225.022,0.00081589,2018/6/5,,
,949794.611,1099247.756,0.005509144,2018/6/6,,
,948225.5503,1092456.369,-0.006178213,2018/6/7,,
,935504.1563,1097401.67,0.004526771,2018/6/8,,
,935594.9002,1111935.733,0.013244069,2018/6/11,,
,946973.6054,1089802.499,-0.019905138,2018/6/12,,
,937663.9079,1081738.189,-0.00739979,2018/6/13,,
,933958.2601,1064826.384,-0.015633917,2018/6/14,,
,929025.0926,999153.9407,-0.06167432,2018/6/15,,
,896275.1,1010076.02,0.010931328,2018/6/19,,
,899821.6606,996297.5993,-0.013640974,2018/6/20,,
,889307.2445,1022350.741,0.026149959,2018/6/21,,
,893252.2114,1006659.232,-0.015348459,2018/6/22,,
,881265.66,1009962.329,0.003281246,2018/6/25,,
,873996.9808,1008194.616,-0.001750277,2018/6/26,,
,856213.7643,992503.2226,-0.015563853,2018/6/27,,
,847368.2199,1021588.642,0.029305113,2018/6/28,,
,869015.0884,1006261.129,-0.015003605,2018/6/29,,
2018/Q3,843516.4477,1012199.108,0.005901032,2018/7/2,,
,843842.045,998238.5163,-0.013792337,2018/7/3,,
,832571.6907,975219.6719,-0.023059463,2018/7/4,,
,827297.349,987066.4663,0.012147821,2018/7/5,,
,832912.2161,1024948.714,0.038378619,2018/7/6,,
,856193.7784,1028568.083,0.003531268,2018/7/9,,
,858256.3492,1021936.659,-0.006447239,2018/7/10,,
,843409.3726,1036866.911,0.014609763,2018/7/11,,
,861608.4601,1049085.575,0.011784217,2018/7/12,,
,864487.9555,1054041.104,0.004723666,2018/7/13,,
,859388.3411,1054009.16,-3.03E-05,2018/7/16,,
,853767.9413,1051917.242,-0.001984725,2018/7/17,,
,849299.3199,1038603.112,-0.012657013,2018/7/18,,
,848562.1281,1047606.142,0.008668403,2018/7/19,,
,864539.7044,1053809.021,0.005921003,2018/7/20,,
,872672.4294,1064199.517,0.009859942,2018/7/23,,
,886522.6136,1062814.153,-0.00130179,2018/7/24,,
,885543.8926,1054409.922,-0.007907526,2018/7/25,,
