qid_date,ChiNext Index,Baseline portfolio,day_return,qid_date,,
2017/Q4,1010462.952,984715.6266,-0.001702354,2017/12/6,,
,1019086.243,1007124.31,0.022756502,2017/12/7,0.008534,0.279039045
,1033205.683,988921.0909,-0.018074451,2017/12/8,0.013855,
,1022803.368,990061.4084,0.001153093,2017/12/11,-0.010068,
,1027011.181,987392.8406,-0.002695356,2017/12/12,0.004114,
,1020331.5,974119.0948,-0.013443227,2017/12/13,-0.006504,
,1014433.984,967035.6916,-0.007271599,2017/12/14,-0.00578,
,1012541.05,995189.3668,0.029113378,2017/12/15,-0.001866,
,1022695.825,981893.3686,-0.01336027,2017/12/18,0.010029001,
,1013546.788,1000026.834,0.018467856,2017/12/19,-0.008946,
,1017710.438,991866.8452,-0.00815977,2017/12/20,0.004108,
,1011798.558,969141.3139,-0.022911877,2017/12/21,-0.005809,
,998416.5103,980375.4509,0.011591846,2017/12/22,-0.013226,
,1000130.791,978279.8398,-0.00213756,2017/12/25,0.001717,
,992405.7812,982326.5641,0.004136571,2017/12/26,-0.007724,
,992281.7305,990978.0738,0.008807163,2017/12/27,-0.000125,
,996622.9631,998315.7823,0.007404511,2017/12/28,0.004375,
,1006301.169,1012108.203,0.013815689,2017/12/29,0.009711,
,1020921.718,1042513.647,0.030041693,2018/1/2,0.014528999,
,1020481.701,1048698.034,0.005932189,2018/1/3,-0.000431,
,1024354.429,1058239.172,0.009098079,2018/1/4,0.003795,
,1027048.481,1062405.252,0.003936803,2018/1/5,0.00263,
,1025586.991,1056030.22,-0.006000565,2018/1/8,-0.001423,
,1018477.622,1060425.08,0.00416168,2018/1/9,-0.006932,
,1025955.285,1061660.192,0.001164733,2018/1/10,0.007342,
,1015418.724,1050376.034,-0.010628785,2018/1/11,-0.01027,
,985233.3718,1036885.323,-0.012843697,2018/1/12,-0.029727,
,983513.1543,1051245.004,0.013848861,2018/1/15,-0.001746,
,990585.5974,1053142.996,0.001805471,2018/1/16,0.007191,
,988292.3918,1051947.148,-0.001135503,2018/1/17,-0.002315,
,982684.8207,1072441.079,0.019481901,2018/1/18,-0.005674,
,1005472.299,1058166.495,-0.013310367,2018/1/19,0.023189,
2018/Q1,1005253.106,1084417.552,0.024808059,2018/1/22,-0.000218,
,1031095.148,1086388.055,0.001817107,2018/1/23,0.025707,
,1029707.294,1089539.099,0.002900477,2018/1/24,-0.001346,
,1033099.149,1076515.656,-0.011953167,2018/1/25,0.003293999,
,1023415.911,1073445.108,-0.002852302,2018/1/26,-0.009373,
,1013537.901,1058003.622,-0.01438498,2018/1/29,-0.009652,
,986617.3205,1027564.997,-0.028769869,2018/1/30,-0.026561,
,965198.8451,1044640.311,0.01661726,2018/1/31,-0.021709,
,968062.5901,1023462.796,-0.020272542,2018/2/1,0.002967,
,960014.1177,1001487.909,-0.021471115,2018/2/2,-0.008314,
,908748.4038,1011454.924,0.009952207,2018/2/5,-0.053401,
,919145.3943,1037114.539,0.025369015,2018/2/6,0.011441,
,933379.2799,1024977.785,-0.011702424,2018/2/7,0.015486,
,905560.8438,1057718.184,0.031942545,2018/2/8,-0.029804,
,937155.8617,1081102.857,0.022108604,2018/2/9,0.03489,
,937445.4428,1087129.5,0.005574532,2018/2/12,0.000309,
,936415.1903,1128335.423,0.037903417,2018/2/13,-0.001099,
,954039.4606,1132192.766,0.003418614,2018/2/14,0.018821,
,948961.1085,1157367.867,0.022235702,2018/2/22,-0.005323,
,983260.3589,1172093.013,0.012722961,2018/2/23,0.036144,
,991442.0683,1178850.759,0.005765537,2018/2/26,0.008321,
,997177.5607,1201711.112,0.019392067,2018/2/27,0.005785,
,1017774.263,1195996.401,-0.004755478,2018/2/28,0.020655,
,1007627.054,1216887.655,0.017467657,2018/3/1,-0.00997,
,1021097.012,1221429.768,0.003732566,2018/3/2,0.013368,
,1022187.544,1215668.44,-0.004716872,2018/3/5,0.001068,
,1015170.226,1215383.445,-0.000234435,2018/3/6,-0.006865,
,1019691.795,1277500.392,0.051108929,2018/3/7,0.004454001,
,1055648.167,1290619.697,0.010269512,2018/3/8,0.035262,
,1070406.128,1289094.206,-0.001181984,2018/3/9,0.01398,
,1064873.199,1267662.713,-0.016625234,2018/3/12,-0.005169,
,1047023.794,1272646.374,0.003931378,2018/3/13,-0.016762,
,1051243.3,1248797.18,-0.018739843,2018/3/14,0.00403,
,1035669.131,1281693.929,0.026342748,2018/3/15,-0.014815,
,1047950.095,1300868.619,0.014960428,2018/3/16,0.011857999,
,1060289.707,1287898.703,-0.009970197,2018/3/19,0.011775,
,1040554.535,1274400.995,-0.010480411,2018/3/20,-0.018613,
,1033341.411,1200653.526,-0.057868339,2018/3/21,-0.006932,
,981478.0057,1266640.171,0.05495894,2018/3/22,-0.05019,
,1012518.229,1308077.448,0.032714324,2018/3/23,0.031626,
,1048958.76,1304900.07,-0.002429044,2018/3/26,0.03599,
,1043534.594,1311874.094,0.005344489,2018/3/27,-0.005171,
,1047533.419,1372717.294,0.046378841,2018/3/28,0.003832,
,1080681.566,1397436.347,0.018007388,2018/3/29,0.031644,
,1080552.965,1390910.633,-0.004669776,2018/3/30,-0.000119,
2018/Q2,1064753.12,1370878.995,-0.014401816,2018/4/2,-0.014622,
,1044477.026,1367404.262,-0.002534675,2018/4/3,-0.019043,
,1047229.223,1370164.98,0.002018947,2018/4/4,0.002635,
,1043741.95,1371694.475,0.001116286,2018/4/9,-0.00333,
,1043233.648,1367880.828,-0.002780245,2018/4/10,-0.000487,
,1038834.331,1378757.894,0.007951764,2018/4/11,-0.004217001,
,1037528.517,1404483.21,0.018658327,2018/4/12,-0.001256999,
,1045554.837,1348710.719,-0.039710329,2018/4/13,0.007735999,
,1014297.975,1375035.635,0.019518578,2018/4/16,-0.029895,
,1036203.769,1370810.615,-0.003072662,2018/4/17,0.021597001,
,1035076.379,1334343.098,-0.026602884,2018/4/18,-0.001088,
,1013768.297,1322865.953,-0.008601345,2018/4/19,-0.020586,
,996845.4624,1364026.245,0.031114485,2018/4/20,-0.016693,
,1027445.628,1375094.323,0.008114271,2018/4/23,0.030697,
