stock_code,年份,公司名称,评级日期,WindESG评级,ESG,管理实践得分,争议事件得分,E,S,治理得分,证监会行业,Wind行业
1,2021,平安银行,2021/2/9,A,6.85,5.1,1.74,5.02,7.48,7.81,货币金融服务,商业银行
2,2021,万科,2021/4/7,AA,8.59,5.82,2.78,8.48,7.23,9.06,房地产业,房地产管理和开发
4,2021,国华网安,2021/8/1,BBB,6.51,3.6,2.91,0,3.3,8.31,软件和信息技术服务业,互联网软件与服务Ⅲ
5,2021,世纪星源,2021/8/1,B,4.48,1.73,2.75,0,2.68,4.52,生态保护和环境治理业,商业服务与用品
6,2021,深振业,2021/4/7,BB,5.46,2.51,2.95,1.01,1.18,6.74,房地产业,房地产管理和开发
7,2021,全新好,2021/8/1,B,3.9,1.5,2.4,0,0.66,4.37,房地产业,专营零售
8,2021,神州高铁,2021/8/1,BB,5.29,2.42,2.87,0.23,3.62,5.19,铁路、船舶、航空航天和其他运输设备制造业,机械
9,2021,宝安集团,2021/4/3,BBB,6.18,3.25,2.93,0.94,3.86,7.84,综合,综合类Ⅲ
10,2021,美丽生态,2021/8/1,BB,5.43,2.53,2.89,1.14,3.19,6.17,土木工程建筑业,建筑与工程Ⅲ
11,2021,深物业集团,2021/8/1,B,4.77,1.79,2.97,0,1.4,4.74,房地产业,房地产管理和开发
12,2021,南玻集团,2021/4/22,BBB,6.13,3.14,2.98,2.29,3.98,6.94,非金属矿物制品业,建材Ⅲ
14,2021,沙河股份,2021/8/1,B,4.73,1.85,2.87,0,0.22,5.89,房地产业,房地产管理和开发
16,2021,康佳集团,2021/8/1,BB,5.16,2.28,2.89,0,1.68,6.44,计算机、通信和其他电子设备制造业,家庭耐用消费品
17,2021,深中华,2021/8/1,B,4.66,1.67,3,0,0.92,4.6,铁路、船舶、航空航天和其他运输设备制造业,休闲设备与用品
19,2021,深粮控股,2021/9/17,AA,8.03,5.03,3,2.55,7.38,8.24,批发业,贸易公司与工业品经销商Ⅲ
20,2021,深华发,2021/8/1,B,4.46,1.65,2.81,0,0.36,5.66,计算机、通信和其他电子设备制造业,家庭耐用消费品
21,2021,深科技,2021/5/7,A,7.83,4.86,2.97,10,5.4,8.32,计算机、通信和其他电子设备制造业,电脑与外围设备
23,2021,深天地,2021/8/1,BB,5.51,2.54,2.97,4.37,0.34,5.92,非金属矿物制品业,建材Ⅲ
25,2021,特力A,2021/8/1,B,4.83,1.84,2.99,0,0.35,5.73,批发业,专营零售
26,2021,飞亚达公司,2021/3/17,BBB,6.17,3.17,3,4.31,2.44,6.38,零售业,纺织品、服装与奢侈品
27,2021,深圳能源,2021/4/27,A,7.19,4.31,2.88,3.19,7.03,7.23,电力、热力生产和供应业,电力Ⅲ
28,2021,国药一致,2021/4/9,BBB,6.64,3.72,2.92,4.01,5.09,6.18,批发业,医疗保健提供商与服务
29,2021,深房集团,2021/8/1,BB,5.48,2.5,2.98,0,2.05,6.54,房地产业,房地产管理和开发
30,2021,富奥股份,2021/8/1,BBB,6.07,3.09,2.98,0.54,4.04,6.44,汽车制造业,汽车零配件
31,2021,大悦城控股,2021/4/3,BB,5.4,2.61,2.79,2.34,1.83,5.91,房地产业,房地产管理和开发
32,2021,深桑达,2021/4/30,BBB,6.42,3.51,2.9,1.58,6.03,6.65,建筑安装业,建筑与工程Ⅲ
34,2021,神州数码,2021/8/1,BB,5.56,2.7,2.86,0,2.55,6.73,批发业,电子设备、仪器和元件
35,2021,中国天楹,2021/5/7,BB,5.79,2.88,2.91,3.96,3.62,4.78,生态保护和环境治理业,商业服务与用品
36,2021,华联控股,2021/8/1,BB,5.87,2.92,2.95,0.38,3.62,6.5,房地产业,房地产管理和开发
37,2021,深南电,2021/8/1,BBB,6.14,3.14,3,2.53,3.62,6.22,电力、热力生产和供应业,电力Ⅲ
38,2021,深大通,2021/8/1,BB,5.48,2.55,2.93,0,3.5,4.42,商务服务业,媒体Ⅲ
39,2021,中集集团,2021/4/6,AA,8.12,5.25,2.86,8.13,5.67,9.32,金属制品业,机械
40,2021,东旭蓝天,2021/8/1,BB,5.02,2.2,2.82,0,3.48,4.66,电力、热力生产和供应业,独立电力生产商与能源贸易商Ⅲ
42,2021,中洲控股,2021/8/1,BB,5.24,2.25,2.99,0,0.9,6.63,房地产业,房地产管理和开发
45,2021,深纺织,2021/8/1,BB,5.69,2.69,3,3.2,3.55,4.41,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
46,2021,泛海控股,2021/5/7,B,4.62,2.17,2.45,1.32,1.19,5.16,其他金融业,多元金融服务
48,2021,京基智农,2021/8/1,BB,5.49,2.54,2.95,2.04,1.25,6.46,农副食品加工业,食品
49,2021,德赛电池,2021/8/1,BB,5.04,2.1,2.94,0,1.74,7.13,电气机械和器材制造业,电气设备
50,2021,天马,2021/3/20,AA,7.93,5.23,2.7,6.5,6.34,9.18,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
55,2021,方大集团,2021/3/30,BB,5.53,2.68,2.85,1.2,4.08,5.7,金属制品业,建筑产品Ⅲ
56,2021,皇庭国际,2021/8/1,B,4.31,1.47,2.84,0,0.93,5.2,商务服务业,商业服务与用品
58,2021,深赛格,2021/8/1,BB,5.25,2.34,2.9,0,1.63,6.37,商务服务业,房地产管理和开发
59,2021,华锦股份,2021/8/1,BB,4.84,2.04,2.79,1.75,1.09,5.12,石油加工、炼焦和核燃料加工业,石油、天然气与供消费用燃料
60,2021,中金岭南,2021/4/7,BB,5.59,2.7,2.89,2.05,3.42,5.83,有色金属冶炼和压延加工业,金属、非金属与采矿
61,2021,农产品,2021/5/6,BBB,6.77,4,2.77,1.11,4.42,8.55,商务服务业,食品与主要用品零售Ⅲ
62,2021,深圳华强,2021/8/1,BB,5.6,2.62,2.98,0,2.67,6.32,批发业,电子设备、仪器和元件
63,2021,中兴通讯,2021/3/24,AA,8.94,6.08,2.85,6.07,9.58,7.9,计算机、通信和其他电子设备制造业,通信设备Ⅲ
65,2021,北方国际,2021/4/7,BBB,6.29,3.32,2.96,1.39,5.98,6.05,土木工程建筑业,建筑与工程Ⅲ
66,2021,中国长城,2021/5/7,AA,8.75,5.81,2.94,10,8.5,7.42,计算机、通信和其他电子设备制造业,电脑与外围设备
68,2021,华控赛格,2021/8/1,BB,5.1,2.11,2.99,0,2.28,5.01,专业技术服务业,专业服务
69,2021,华侨城,2021/4/6,A,7.58,4.78,2.8,0.92,8.06,6.79,房地产业,房地产管理和开发
70,2021,特发信息,2021/8/1,BB,5.53,2.72,2.81,0,2.67,6.63,电气机械和器材制造业,通信设备Ⅲ
78,2021,海王生物,2021/8/1,BBB,5.91,3.12,2.79,1.01,2.77,7.61,零售业,医疗保健提供商与服务
88,2021,盐田港,2021/4/24,BB,5.49,2.51,2.98,0.67,3.86,5.88,道路运输业,交通基础设施
89,2021,深圳机场,2021/8/1,BB,5.94,3.01,2.92,1.04,4.26,7.18,航空运输业,交通基础设施
90,2021,天健集团,2021/4/20,BBB,6.54,3.75,2.79,4.6,4.91,6.52,土木工程建筑业,建筑与工程Ⅲ
96,2021,广聚能源,2021/8/1,B,4.44,1.43,3,0,0.47,4.82,批发业,石油、天然气与供消费用燃料
99,2021,中信海直,2021/8/1,B,4.85,1.9,2.95,0,0.87,6.39,航空运输业,航空Ⅲ
100,2021,TCL科技,2021/3/18,A,7.25,4.3,2.95,3.87,5.65,7.5,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
150,2021,宜华健康,2021/8/1,B,4.44,1.92,2.51,0,0.95,5.67,卫生,医疗保健提供商与服务
151,2021,中成股份,2021/8/1,BBB,6.35,3.75,2.6,1.47,6.07,5.38,批发业,贸易公司与工业品经销商Ⅲ
153,2021,丰原药业,2021/8/1,BB,5.59,2.61,2.98,1.85,2.38,6.21,医药制造业,制药
155,2021,川能动力,2021/8/1,BBB,6.38,3.46,2.91,0,6.13,6.76,电力、热力生产和供应业,独立电力生产商与能源贸易商Ⅲ
156,2021,华数传媒,2021/5/7,BBB,6.12,3.19,2.92,0.71,2.3,7.84,广播、电视、电影和影视录音制作业,媒体Ⅲ
157,2021,中联重科,2021/4/7,BBB,6.11,4.07,2.03,1.35,5.36,9.05,专用设备制造业,机械
158,2021,常山北明,2021/8/1,BB,5.86,3.09,2.77,5.86,1.65,8.06,软件和信息技术服务业,互联网软件与服务Ⅲ
159,2021,国际实业,2021/8/1,BB,5.36,2.44,2.92,0,3.96,6.08,批发业,石油、天然气与供消费用燃料
166,2021,申万宏源,2021/4/7,A,7.33,4.51,2.81,7.63,4.75,7.63,资本市场服务,资本市场
301,2021,东方盛虹,2021/4/22,BB,5.45,2.56,2.89,1.39,1.99,7.2,化学纤维制造业,化工
333,2021,美的集团,2021/5/7,A,7.76,4.93,2.82,10,5.1,8.01,电气机械和器材制造业,家庭耐用消费品
338,2021,潍柴动力,2021/4/7,A,7.44,4.74,2.7,6.71,7.43,6.01,汽车制造业,机械
400,2021,许继电气,2021/4/16,BB,5.01,2.53,2.48,0.26,4.81,5.45,电气机械和器材制造业,电气设备
401,2021,冀东水泥,2021/3/24,BB,5.35,2.46,2.88,1.35,2.22,6.64,非金属矿物制品业,建材Ⅲ
402,2021,金融街,2021/4/7,BB,5.72,2.87,2.85,1.44,2.46,6.72,房地产业,房地产管理和开发
403,2021,派林生物,2021/8/1,BBB,5.97,3.16,2.81,0,2.73,8.31,医药制造业,生物科技Ⅲ
404,2021,长虹华意,2021/8/1,BBB,6.4,3.48,2.92,2.15,4.82,6.84,通用设备制造业,机械
407,2021,胜利股份,2021/5/5,BB,5.83,2.85,2.98,0,5.26,6.3,燃气生产和供应业,燃气Ⅲ
408,2021,藏格矿业,2021/8/1,BB,5.15,2.37,2.79,1.95,1.56,6.3,化学原料和化学制品制造业,化工
409,2021,云鼎科技,2021/8/1,BB,5.53,2.62,2.91,0,2.1,6.89,软件和信息技术服务业,信息技术服务
410,2021,沈阳机床,2021/8/1,BB,5.52,2.83,2.69,0.52,3.4,6.93,通用设备制造业,机械
411,2021,英特集团,2021/8/1,BB,5.49,2.62,2.87,0,2.33,6.83,批发业,医疗保健提供商与服务
413,2021,东旭光电,2021/8/1,BB,5.22,2.65,2.56,4.41,2.63,5,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
415,2021,渤海租赁,2021/5/7,BB,5.1,2.28,2.82,0.69,1.09,5.7,租赁业,多元金融服务
