,ts_code,trade_date,trade_date1,qid_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,399300.SZ,20240119,2024/1/19,2024/1/18,3269.7763,3261.2393,3286.9415,3251.8136,3274.7286,-4.9523,-0.1512,118501408,191261807.1
1,399300.SZ,20240118,2024/1/18,2024/1/17,3274.7286,3214.2844,3279.2538,3171.6329,3229.082,45.6466,1.4136,174909168,256784536.8
2,399300.SZ,20240117,2024/1/17,2024/1/16,3229.082,3291.1392,3291.1392,3229.082,3300.8762,-71.7942,-2.175,108769728,173516385.2
3,399300.SZ,20240116,2024/1/16,2024/1/15,3300.8762,3272.571,3300.8762,3260.4362,3280.9195,19.9567,0.6083,113276665,175650587.5
4,399300.SZ,20240115,2024/1/15,2024/1/12,3280.9195,3270.1029,3306.9217,3261.2687,3284.1667,-3.2472,-0.0989,88851530,144331722.4
5,399300.SZ,20240112,2024/1/12,2024/1/11,3284.1667,3284.358,3310.4704,3279.6987,3295.6717,-11.505,-0.3491,96853555,156536022.3
6,399300.SZ,20240111,2024/1/11,2024/1/10,3295.6717,3275.3086,3311.1137,3266.7911,3277.129,18.5427,0.5658,108789735,180978533.6
7,399300.SZ,20240110,2024/1/10,2024/1/9,3277.129,3281.6692,3312.9161,3268.2471,3292.4994,-15.3704,-0.4668,94199366,159777649.8
8,399300.SZ,20240109,2024/1/9,2024/1/8,3292.4994,3286.7083,3304.6008,3273.8431,3286.0564,6.443,0.1961,109330465,172276323
9,399300.SZ,20240108,2024/1/8,2024/1/5,3286.0564,3322.6051,3333.516,3283.3421,3329.1114,-43.055,-1.2933,117429485,170761644.9
10,399300.SZ,20240105,2024/1/5,2024/1/4,3329.1114,3341.3061,3372.5444,3313.5542,3347.0519,-17.9405,-0.536,126400574,182251664.9
11,399300.SZ,20240104,2024/1/4,2024/1/3,3347.0519,3375.0207,3375.0207,3323.8647,3378.2971,-31.2452,-0.9249,106721013,165512262.7
12,399300.SZ,20240103,2024/1/3,2024/1/2,3378.2971,3379.7501,3392.8504,3362.6617,3386.3522,-8.0551,-0.2379,105613851,165099018.6
13,399300.SZ,20240102,2024/1/2,2023/12/29,3386.3522,3426.2684,3426.2684,3386.3522,3431.1099,-44.7577,-1.3045,116180726,184096097.4
14,399300.SZ,20231229,2023/12/29,2023/12/28,3431.1099,3411.1094,3432.5412,3409.5795,3414.5403,16.5696,0.4853,114928932,193573180.5
15,399300.SZ,20231228,2023/12/28,2023/12/27,3414.5403,3335.5572,3423.4018,3331.2082,3336.3572,78.1831,2.3434,148064851,245855634.5
16,399300.SZ,20231227,2023/12/27,2023/12/26,3336.3572,3326.9267,3341.2659,3309.6731,3324.7902,11.567,0.3479,94403928,140924923.7
17,399300.SZ,20231226,2023/12/26,2023/12/25,3324.7902,3345.3952,3345.4171,3315.937,3347.4508,-22.6606,-0.677,74732935,121689997.4
18,399300.SZ,20231225,2023/12/25,2023/12/22,3347.4508,3330.3333,3348.882,3330.3333,3337.2281,10.2227,0.3063,74542693,121838327.1
19,399300.SZ,20231222,2023/12/22,2023/12/21,3337.2281,3329.4668,3359.0601,3315.8976,3330.8698,6.3583,0.1909,105220133,167336342.3
20,399300.SZ,20231221,2023/12/21,2023/12/20,3330.8698,3285.6049,3339.3552,3283.9883,3297.5022,33.3676,1.0119,102546198,171120780.6
21,399300.SZ,20231220,2023/12/20,2023/12/19,3297.5022,3334.332,3338.5434,3297.3652,3334.0412,-36.539,-1.0959,92412868,141290542.8
22,399300.SZ,20231219,2023/12/19,2023/12/18,3334.0412,3325.6596,3345.7795,3313.1874,3329.3657,4.6755,0.1404,83808118,135293655.4
23,399300.SZ,20231218,2023/12/18,2023/12/15,3329.3657,3329.191,3352.3458,3314.9095,3341.5517,-12.186,-0.3647,90526826,142303319.4
24,399300.SZ,20231215,2023/12/15,2023/12/14,3341.5517,3365.9388,3388.5047,3339.519,3351.9639,-10.4122,-0.3106,97787783,164907019.4
25,399300.SZ,20231214,2023/12/14,2023/12/13,3351.9639,3387.3847,3399.1394,3350.7648,3369.605,-17.6411,-0.5235,83655135,150245775.7
