trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2021/12/6,2021/12/3,3460.961,3479.862,3403.159,3405.935,192668.64,7448538.18,-0.020908,11,979092
2021/12/7,2021/12/6,3429.765,3429.84,3338.005,3368.784,181050.94,7617411.76,-0.010908,10,968412.0645
2021/12/8,2021/12/7,3388.318,3428.228,3378.281,3424.704,175528.02,6817837.22,0.016599,6,984486.7363
2021/12/9,2021/12/8,3422.379,3463.652,3400.381,3459.319,224100.91,9172655.65,0.010107,4,994436.9438
2021/12/10,2021/12/9,3431.289,3485.08,3429.572,3466.797,218267.24,9382435.63,0.002162,12,996586.9164
2021/12/13,2021/12/10,3473.389,3508.192,3457.544,3496.962,223595.25,9312792.64,0.008701,15,1005258.219
2021/12/14,2021/12/13,3491.822,3507.272,3486.913,3495.06,194079.3,7655856.59,-0.000544,12,1004711.359
2021/12/15,2021/12/14,3492.581,3520.466,3462.506,3464.758,192997.72,7804444.07,-0.00867,4,996000.5112
2021/12/16,2021/12/15,3479.184,3491.183,3467.734,3490.449,186188.67,7144069.78,0.007415,16,1003385.855
2021/12/17,2021/12/16,3480.513,3486.236,3427.016,3434.339,191604.51,7985892.26,-0.016075,8,987256.4274
2021/12/20,2021/12/17,3420.862,3434.091,3327.79,3332.606,178317.81,8058332.31,-0.029622,19,958011.9175
2021/12/21,2021/12/20,3328.895,3354.925,3306.962,3350.429,152772.31,6675725.68,0.005348,13,963135.3653
2021/12/22,2021/12/21,3360.283,3379.08,3354.382,3368.699,191154.06,6550678.99,0.005453,8,968387.3424
2021/12/23,2021/12/22,3379.808,3389.854,3358.916,3373.703,162021.32,6259731.85,0.001485,6,969825.3976
2021/12/24,2021/12/23,3381.545,3384.293,3280.937,3297.106,156475.43,7445930.77,-0.022704,15,947806.4818
2021/12/27,2021/12/24,3296.408,3315.753,3273.815,3293.811,145637.62,5894930.38,-0.000999,9,946859.6231
2021/12/28,2021/12/27,3300.311,3331.316,3280.067,3328.559,164165.03,6487999.5,0.010549,15,956848.0453
2021/12/29,2021/12/28,3326.076,3326.212,3281.897,3281.897,147739.41,6176961.58,-0.014019,17,943433.9925
2021/12/30,2021/12/29,3285.769,3339.654,3280.308,3322.795,165860.59,6479335.18,0.012462,11,955191.0669
2021/12/31,2021/12/30,3342.187,3353.567,3315.073,3322.673,147838.02,6487701.37,-0.000037,24,955155.7249
2022/1/4,2021/12/31,3348.128,3349.455,3238.245,3250.159,236234.06,9419097.84,-0.021824,0,934310.4063
2022/1/5,2022/1/4,3242.435,3245.758,3145.047,3161.507,239315.72,9143728.84,-0.027276,16,908826.1557
2022/1/6,2022/1/5,3133.046,3150.113,3093.039,3127.48,197547.56,8065001.22,-0.010763,14,899044.4598
2022/1/7,2022/1/6,3137.075,3147.227,3093.207,3096.881,187167.97,7835958.01,-0.009784,10,890248.2088
2022/1/10,2022/1/7,3082.781,3115.47,3051.531,3095.689,183526.32,7609199.84,-0.000385,17,889905.4632
2022/1/11,2022/1/10,3094.703,3103.827,3050.586,3056.153,177933.02,7080582.59,-0.012771,19,878540.4805
2022/1/12,2022/1/11,3091.669,3139.38,3088.781,3136.685,181855.66,8577413.74,0.026351,18,901690.9008
2022/1/13,2022/1/12,3145.02,3145.02,3083.141,3083.141,180708.1,7464606.94,-0.01707,21,886299.0371
2022/1/14,2022/1/13,3059.143,3128.251,3057.94,3119.408,204122.49,8276913.38,0.011763,17,896724.5726
2022/1/17,2022/1/14,3124.628,3176.242,3113.977,3170.408,223233.25,8762998.49,0.016349,34,911385.1227
2022/1/18,2022/1/17,3168.786,3177.822,3136.251,3144.334,201336.06,7558310.5,-0.008224,40,903889.8914
2022/1/19,2022/1/18,3139.23,3141.281,3052.645,3075.977,187333.36,7364328.89,-0.02174,48,884239.3252
2022/1/20,2022/1/19,3072.388,3102.306,3056.959,3065.994,192214.98,7068936.11,-0.003245,28,881369.9686
2022/1/21,2022/1/20,3052.977,3069.881,3020.3,3034.68,164434.53,6381890.2,-0.010213,25,872368.5371
2022/1/24,2022/1/21,3011.628,3071.058,3010.204,3056.434,154183.35,6166352.39,0.007168,64,878621.6748
2022/1/25,2022/1/24,3035.824,3055.877,2974.955,2974.955,180153.06,6117002.82,-0.026658,38,855199.3782
2022/1/26,2022/1/25,2993.157,3008.383,2952.908,3004.412,136795.39,5514133.08,0.009902,59,863667.5624
2022/1/27,2022/1/26,2993.995,3001.549,2904.715,2906.763,146715.95,6237280.78,-0.032502,60,835596.6393
2022/1/28,2022/1/27,2945.718,2962.769,2882.674,2908.945,137452.73,6419979.23,0.000751,90,836224.1724
2022/2/7,2022/1/28,2972.194,2987.498,2905.249,2917.864,149582.36,5930672.85,0.003066,0,838788.0357
2022/2/8,2022/2/7,2913.319,2913.319,2782.277,2846.482,145233.67,6449965.25,-0.024464,54,818267.9252
2022/2/9,2022/2/8,2844.838,2887.731,2818.393,2883.597,150260.27,5840573.19,0.013039,12,828937.3207
2022/2/10,2022/2/9,2891.3,2891.3,2796.901,2826.517,147892.87,6762443.06,-0.019795,20,812528.5064
2022/2/11,2022/2/10,2800.749,2811.777,2742.514,2746.383,163943.65,6697129.59,-0.028351,22,789492.5107
2022/2/14,2022/2/11,2723.51,2776.233,2710.884,2732.01,175061.6,6986519.86,-0.005233,0,785361.0964
2022/2/15,2022/2/14,2744.385,2817.807,2739.42,2816.444,153230.98,6719974.09,0.030905,0,809632.6811
2022/2/16,2022/2/15,2829.652,2841.326,2808.265,2818.397,133349.65,5300653.71,0.000693,0,810193.7565
2022/2/17,2022/2/16,2813.48,2861.967,2804.887,2839.825,137986.11,5755509.05,0.007603,14,816353.6597
2022/2/18,2022/2/17,2819.548,2829.825,2803.237,2826.813,128264.28,4939425.39,-0.004582,6,812613.1272
2022/2/21,2022/2/18,2830.601,2836.279,2794.259,2804.598,179077.43,6146247.55,-0.007859,10,806226.8006
2022/2/22,2022/2/21,2783.283,2783.283,2741.971,2765.91,179694.9,6132403.99,-0.013794,11,795105.7081
2022/2/23,2022/2/22,2770.214,2845.082,2770.214,2843.866,172602.92,7017521.16,0.028185,18,817515.7625
2022/2/24,2022/2/23,2817.796,2852.721,2746.62,2783.899,212971.8,7891706.32,-0.021086,24,800277.6252
2022/2/25,2022/2/24,2827.829,2882.073,2827.829,2855.803,169877.44,7404722.58,0.025829,22,820947.9959
2022/2/28,2022/2/25,2844.823,2881.307,2834.544,2881.307,140472.28,6012547.49,0.008931,64,828279.8825
2022/3/1,2022/2/28,2895.388,2905.128,2865.884,2885.786,146851.14,6204957.91,0.001555,84,829567.8577
2022/3/2,2022/3/1,2866.69,2866.69,2811.118,2834.636,114406.29,5083540.92,-0.017725,53,814863.7674
2022/3/3,2022/3/2,2850.669,2853.474,2789.515,2791.949,127716.45,5092618.39,-0.015059,37,802592.734
2022/3/4,2022/3/3,2763.062,2797.82,2737.474,2748.638,145771,6001709.64,-0.015513,22,790142.1129
2022/3/7,2022/3/4,2718.444,2720.783,2620.829,2630.371,161808.15,6772033.11,-0.043027,32,756144.6682
2022/3/8,2022/3/7,2645.109,2654.639,2567.91,2582.986,174500.92,7156575.12,-0.018015,20,742522.722
2022/3/9,2022/3/8,2594.962,2608.208,2462.17,2566.719,198984.99,7708923.78,-0.006298,27,737846.3139
2022/3/10,2022/3/9,2645.363,2664.58,2625.601,2635.194,179713.88,7791675.52,0.026678,22,757530.5778
2022/3/11,2022/3/10,2589.696,2668.242,2566.031,2665.462,191744.76,7793033.4,0.011486,34,766231.5741
2022/3/14,2022/3/11,2638.49,2647.255,2570.28,2570.447,181727.81,7335762.87,-0.035647,77,738917.7171
2022/3/15,2022/3/14,2547.717,2615.708,2504.783,2504.783,219328.1,8289251.2,-0.025546,23,720041.3251
2022/3/16,2022/3/15,2549.153,2639.927,2478.438,2635.083,263763.42,10372936.41,0.05202,23,757497.8749
2022/3/17,2022/3/16,2684.841,2764.249,2684.037,2710.726,260077.04,11193940.23,0.028706,21,779242.6089
2022/3/18,2022/3/17,2693.154,2725.69,2668.935,2713.795,161226.83,6948769.98,0.001132,27,780124.7115
2022/3/21,2022/3/18,2730.209,2756.351,2702.177,2726.18,166915.81,6906430.29,0.004564,47,783685.2007
2022/3/22,2022/3/21,2718.002,2718.002,2676.837,2688.234,133139.36,5331482.31,-0.013919,37,772777.0864
2022/3/23,2022/3/22,2707.565,2725.557,2682.132,2715.954,127257.23,5249515.03,0.010312,26,780745.9637
2022/3/24,2022/3/23,2697.425,2725.284,2655.918,2706.215,136800.24,5668980.06,-0.003586,33,777946.2087
2022/3/25,2022/3/24,2702.653,2714.151,2637.944,2637.944,126651.99,5077363.14,-0.025227,37,758320.9597
2022/3/28,2022/3/25,2622.468,2622.588,2576.233,2594.128,122596.76,4944658.41,-0.01661,60,745725.2485
2022/3/29,2022/3/28,2603.425,2633.449,2581.379,2592.666,123694.7,4673613,-0.000564,50,745304.6595
2022/3/30,2022/3/29,2612.715,2696.826,2610.407,2696.826,162127.87,6583420.9,0.040175,56,775247.2742
2022/3/31,2022/3/30,2683.195,2686.277,2646.241,2659.493,135515.98,5450442.93,-0.013843,74,764515.5262
2022/4/1,2022/3/31,2641.752,2687.153,2632.975,2666.97,150411.62,5186220.79,0.002811,124,766664.5793
2022/4/6,2022/4/1,2662.281,2662.622,2615.923,2633.91,135380.73,4940290.25,-0.012396,0,757161.0052
2022/4/7,2022/4/6,2611.979,2632.097,2576.534,2578.533,141794.94,4733876.27,-0.021025,46,741241.695
2022/4/8,2022/4/7,2578.736,2609.347,2546.515,2569.911,143365.46,4849979.94,-0.003344,24,738762.9828
2022/4/11,2022/4/8,2536.149,2536.149,2455.455,2462.044,153766.69,5936199.67,-0.041973,68,707754.8841
2022/4/12,2022/4/11,2461.595,2523.694,2459.262,2523.694,149708.7,5395088.9,0.02504,55,725477.0664
2022/4/13,2022/4/12,2499.191,2513.475,2466.841,2466.841,129361.13,4721487.64,-0.022528,55,709133.5191
2022/4/14,2022/4/13,2495.165,2498.805,2443.151,2466.293,150638.19,6290255.45,-0.000222,62,708976.0914
2022/4/15,2022/4/14,2443.355,2483.746,2416.704,2460.362,138639.89,5718561.73,-0.002405,40,707271.0039
2022/4/18,2022/4/15,2435.851,2491.596,2410.857,2487.774,122710.62,4981677.26,0.011141,107,715150.7102
2022/4/19,2022/4/18,2484.516,2510.406,2444.593,2453.545,118227.02,4886852.23,-0.013759,97,705310.9516
2022/4/20,2022/4/19,2440.295,2443.31,2357.913,2363.653,143644.57,5938497.65,-0.036638,64,679469.7689
2022/4/21,2022/4/20,2352.215,2378.341,2298.745,2312.456,157861.03,5648941.95,-0.02166,102,664752.4537
2022/4/22,2022/4/21,2299.156,2321.14,2279.778,2296.595,148577.01,5213256.77,-0.006859,76,660192.9167
2022/4/25,2022/4/22,2240.041,2262.767,2168.897,2169.004,204571.92,6278255.69,-0.055557,212,623514.5788
2022/4/26,2022/4/25,2172.799,2218.562,2149.596,2150.513,189627.48,6050061.14,-0.008525,155,618199.117
2022/4/27,2022/4/26,2122.318,2271.171,2122.318,2269.171,216301.34,7455321.78,0.055177,217,652309.4897
2022/4/28,2022/4/27,2249.513,2266.433,2206.956,2227.655,180592.65,6341076.94,-0.018296,220,640374.8353
2022/4/29,2022/4/28,2247.696,2322.97,2221.993,2319.137,236512.83,8044913.42,0.041067,415,666673.1086
2022/5/5,2022/4/29,2263.92,2317.166,2242.955,2288.404,172241.14,7427323.22,-0.013252,0,657838.3566
