,qid_date,stock_code,real_return,close,pclose,volume,prediction
10557,20181206,300137,0.033708,9.2,8.9,20697026,0.73016715
10558,20181206,300252,0.031111,9.28,9.0,10794971,1.0034058
10559,20181206,300483,0.018062,31.0,30.45,668541,0.7920512
10560,20181206,300483,0.018062,31.0,30.45,668541,0.71765816
10561,20181206,300662,0.013386,28.01,27.64,2791185,0.56185657
10562,20181206,300001,0.004113,17.09,17.02,6657160,0.4530891
10563,20181206,300537,0.000989,10.12,10.11,2229773,0.5878947
10564,20181206,300133,-0.00904,8.77,8.85,8758416,0.35006452
10565,20181206,300760,-0.010318,114.14,115.33,5067642,0.51518744
10566,20181206,300309,-0.011351,8.71,8.81,3122753,0.53899914
10567,20181206,300602,-0.021917,33.47,34.22,5078261,0.5431311
10568,20181207,300673,0.029276,44.65,43.38,1056694,0.45656976
10569,20181207,300395,0.014013,15.92,15.7,2252671,0.4924344
10570,20181207,300454,0.003332,84.32,84.04,594589,0.6035481
10571,20181207,300454,0.003332,84.32,84.04,594589,0.6408739
10572,20181207,300474,0.000258,38.84,38.83,780368,0.47479624
10573,20181207,300087,0.0,9.69,9.69,843939,0.6169587
10574,20181207,300388,-0.029189,8.98,9.25,2818721,0.44505256
10575,20181207,300114,-0.0338,8.29,8.58,4898665,0.39433846
10576,20181207,300261,0.0,5.39,5.39,5097988,0.44119295
10577,20181207,300203,-0.013677,25.24,25.59,2383392,0.6142845
10578,20181210,300252,0.090625,10.47,9.6,25179617,0.75577533
10579,20181210,300347,0.052146,49.03,46.6,4874032,0.85076267
10580,20181210,300070,0.013172,9.23,9.11,15270004,0.5114002
10581,20181210,300059,0.00625,12.88,12.8,51701974,0.33506274
10582,20181210,300595,0.000254,39.42,39.41,1768394,0.5005292
10583,20181210,300261,-0.007421,5.35,5.39,4009409,0.6184233
10584,20181210,300649,-0.0121,22.86,23.14,1135000,0.38539815
10585,20181211,300703,0.017845,14.83,14.57,2072176,0.67337906
10586,20181211,300009,-0.002653,15.04,15.08,4501099,0.62620187
10587,20181211,300458,-0.004267,21.0,21.09,3869568,0.64880496
10588,20181211,300082,-0.008375,5.92,5.97,2645052,0.4081387
10589,20181211,300578,-0.038608,15.19,15.8,4265285,0.5276627
10590,20181212,300146,0.031175,21.5,20.85,15973830,0.8187618
10591,20181212,300091,0.026596,3.86,3.76,26830014,0.5103605
10592,20181212,300308,0.022313,44.9,43.92,5251773,0.43512255
10593,20181212,300168,0.009427,12.85,12.73,15308579,0.40116724
10594,20181213,300546,-0.009077,25.11,25.34,1157943,0.55177414
10595,20181213,300604,-0.021764,33.71,34.46,2447112,0.60009795
10596,20181213,300729,-0.024412,22.38,22.94,732298,0.467772
10597,20181213,300566,-0.045485,14.06,14.73,1186167,0.5864671
10598,20181213,300760,-0.072203,107.81,116.2,7269624,0.3629709
10599,20181214,300604,-0.013646,33.25,33.71,1464450,0.54622805
10600,20181214,300604,-0.013646,33.25,33.71,1464450,0.60502553
10601,20181214,300725,-0.023866,57.26,58.66,1273273,0.49681976
10602,20181217,300604,0.013233,33.69,33.25,1755230,0.7212778
10603,20181217,300014,0.012731,15.91,15.71,19486644,0.50573456
10604,20181217,300398,0.009473,17.05,16.89,5027563,0.50337553
10605,20181217,300531,0.007018,17.22,17.1,5707854,0.53898245
10606,20181217,300294,-0.0098,28.29,28.57,1956777,0.58842427
10607,20181217,300137,-0.031638,8.57,8.85,11636305,0.40719312
10608,20181217,300568,-0.034534,26.0,26.93,6017989,0.43660098
10609,20181217,300568,-0.034534,26.0,26.93,6017989,0.49415827
10610,20181218,300699,-0.00353,36.7,36.83,1532286,0.651698
10611,20181218,300408,-0.004802,16.58,16.66,5251030,0.5965509
10612,20181218,300724,-0.008909,26.7,26.94,3304613,0.5749291
10613,20181218,300724,-0.008909,26.7,26.94,3304613,0.59945416
10614,20181218,300568,-0.009615,25.75,26.0,4234883,0.48344946
10615,20181218,300308,-0.017708,41.05,41.79,2387928,0.5448521
10616,20181218,300567,-0.020706,51.08,52.16,404892,0.6945832
10617,20181218,300685,-0.028439,42.02,43.25,753535,0.20770858
10618,20181219,300137,0.013018,8.56,8.45,5939124,0.89139885
10619,20181219,300448,0.000978,10.24,10.23,1749591,0.7492889
10620,20181219,300037,-0.002028,24.61,24.66,5024791,0.3795076
10621,20181219,300037,-0.002028,24.61,24.66,5024791,0.34688964
10622,20181219,300132,-0.021115,11.59,11.84,4674930,0.41418955
10623,20181220,300170,0.001982,10.11,10.09,11690872,0.6821383
10624,20181220,300170,0.001982,10.11,10.09,11690872,0.5771898
10625,20181220,300375,-0.023891,5.72,5.86,2178742,0.47831768
10626,20181220,300347,-0.030836,42.43,43.78,4814574,0.23688768
10627,20181221,300724,0.056714,28.88,27.33,6021868,0.6485155
10628,20181221,300570,0.045586,18.12,17.33,8363926,0.8145569
10629,20181221,300365,0.043022,19.88,19.06,5076283,0.8321447
10630,20181221,300082,0.024955,5.75,5.61,2918174,0.4764138
10631,20181221,300082,0.024955,5.75,5.61,2918174,0.6355505
10632,20181221,300251,0.017812,8.0,7.86,23748082,0.7637168
10633,20181221,300567,0.011585,52.39,51.79,885599,0.30641496
10634,20181221,300037,-0.004446,24.63,24.74,5672110,0.45194995
10635,20181221,300750,-0.005987,78.03,78.5,5938803,0.17976587
10636,20181221,300012,0.014354,6.36,6.27,10621673,0.6257479
10637,20181221,300037,-0.004446,24.63,24.74,5672110,0.36036742
10638,20181224,300037,0.015428,25.01,24.63,4623492,0.9090181
10639,20181224,300346,0.009879,9.2,9.11,4533029,0.6384959
10640,20181224,300457,0.000359,27.89,27.88,2685750,0.9478197
10641,20181224,300596,0.000347,28.8,28.79,1024195,0.39556307
10642,20181224,300596,0.000347,28.8,28.79,1024195,0.60579747
10643,20181224,300596,0.000347,28.8,28.79,1024195,0.38717622
10644,20181224,300596,0.000347,28.8,28.79,1024195,0.5459984
10645,20181224,300750,-0.010637,77.2,78.03,6588306,0.1875535
10646,20181224,300124,-0.02587,20.71,21.26,8085278,0.43728948
10647,20181224,300124,-0.02587,20.71,21.26,8085278,0.37776333
10648,20181225,300691,0.050816,22.54,21.45,1787530,0.73897314
10649,20181225,300082,0.007005,5.75,5.71,2235763,0.44346243
10650,20181225,300451,0.003686,19.06,18.99,14119545,0.55703384
10651,20181225,300498,0.002301,26.14,26.08,12454879,0.55398333
10652,20181225,300413,-0.024665,36.38,37.3,4260069,0.28197223
10653,20181225,300476,-0.02803,11.79,12.13,5094429,0.36395937
10654,20181226,300413,0.017042,37.0,36.38,5101585,0.56273603
10655,20181226,300014,0.016578,15.33,15.08,17546884,0.7772204
10656,20181226,300451,-0.006821,18.93,19.06,10940352,0.49705338
10657,20181226,300451,-0.006821,18.93,19.06,10940352,0.45301938
10658,20181226,300009,-0.013245,13.41,13.59,4292828,0.20545134
10659,20181226,300285,-0.014002,16.9,17.14,2282047,0.5132195
10660,20181226,300685,-0.014354,41.2,41.8,632506,0.34811932
10661,20181227,300001,0.055388,17.53,16.61,12639804,0.7905393
10662,20181227,300037,0.027778,24.05,23.4,4618338,0.72327054
10663,20181227,300429,0.022951,31.2,30.5,2114109,0.4985164
10664,20181227,300144,0.02251,21.35,20.88,9199766,0.6882385
10665,20181227,300604,0.01932,30.6,30.02,2309756,0.56427467
10666,20181227,300017,0.010323,7.83,7.75,42163669,0.5735216
10667,20181227,300724,0.008499,28.48,28.24,2360795,0.6631534
10668,20181227,300567,0.00658,50.48,50.15,874631,0.35220927
10669,20181227,300474,-0.0104,36.16,36.54,783900,0.4238818
10670,20181227,300450,-0.015646,28.94,29.4,8300877,0.30864012
10671,20181227,300450,-0.015646,28.94,29.4,8300877,0.18496427
10672,20181227,300450,-0.015646,28.94,29.4,8300877,0.20298113
10673,20181227,300450,-0.015646,28.94,29.4,8300877,0.38119996
10674,20181227,300450,-0.015646,28.94,29.4,8300877,0.20214893
10675,20181227,300316,-0.015717,10.02,10.18,16823177,0.36363655
10676,20181227,300740,-0.023206,18.1,18.53,4012469,0.28412196
10677,20181227,300373,-0.028917,14.44,14.87,5972742,-0.7098262
10678,20181228,300623,0.00937,23.7,23.48,1783304,0.63109386
10679,20181228,300136,0.008329,21.79,21.61,26562063,0.41553405
10680,20181228,300450,-0.000691,28.92,28.94,5939562,0.6293911
10681,20181228,300451,-0.002089,19.11,19.15,9011907,0.3976751
10682,20181228,300558,-0.05036,30.36,31.97,2423330,0.26438344
10683,20181228,300232,-0.056604,9.0,9.54,7552668,0.32608938
10684,20181228,300144,-0.085714,19.52,21.35,13742603,-0.5901599
10685,20190102,300244,0.015884,15.35,15.11,4952778,0.8412945
10686,20190102,300014,0.008799,16.05,15.91,18594224,0.68923455
10687,20190102,300623,-0.004219,23.6,23.7,1738441,1.0608088
10688,20190102,300577,-0.009804,30.3,30.6,546893,0.76569355
10689,20190102,300144,-0.026639,19.0,19.52,11691459,0.7211196
10690,20190102,300144,-0.026639,19.0,19.52,11691459,0.9675442
10691,20190102,300621,-0.026721,9.47,9.73,1870000,0.43248636
10692,20190102,300571,-0.049568,41.8,43.98,1546438,0.4333083
10693,20190103,300098,0.041854,6.97,6.69,26156834,1.0118039
10694,20190103,300001,0.03066,17.48,16.96,10668765,0.39229652
10695,20190103,300212,0.029028,21.27,20.67,4469364,0.5249366
10696,20190103,300021,0.021951,4.19,4.1,6189551,0.5530496
10697,20190103,300124,0.017017,20.32,19.98,9095106,0.38711202
10698,20190103,300483,0.014608,31.95,31.49,249000,0.625135
10699,20190103,300178,0.012687,8.78,8.67,9387950,0.27996826
10700,20190103,300476,0.012579,11.27,11.13,6133725,0.5685358
10701,20190103,300529,0.004634,41.19,41.0,1242965,0.6186798
10702,20190103,300571,-0.000957,41.76,41.8,2940929,0.415434
10703,20190103,300577,-0.011551,29.95,30.3,942636,0.38794288
10704,20190104,300124,0.050689,21.35,20.32,15234471,0.76721925
10705,20190104,300575,0.047506,44.1,42.1,1163131,0.5720467
10706,20190104,300070,0.0125,8.1,8.0,29326532,0.7466303
10707,20190104,300017,0.004762,8.44,8.4,56062934,0.7819056
10708,20190104,300347,-0.024457,39.09,40.07,6218458,0.5111789
10709,20190104,300347,-0.024457,39.09,40.07,6218458,0.020196222
10710,20190104,300347,-0.024457,39.09,40.07,6218458,0.56219876
10711,20190104,300347,-0.024457,39.09,40.07,6218458,0.44028902
10712,20190104,300347,-0.024457,39.09,40.07,6218458,0.5428002
10713,20190107,300623,0.001987,25.21,25.16,2650619,0.8837204
10714,20190107,300408,-0.00827,15.59,15.72,7868789,0.5697517
10715,20190107,300408,-0.00827,15.59,15.72,7868789,0.20514132
10716,20190107,300487,-0.013037,25.74,26.08,1823350,0.45819646
10717,20190107,300498,-0.015124,27.35,27.77,17795696,0.18905964
10718,20190108,300258,0.040309,12.13,11.66,3178316,0.67658633
10719,20190108,300258,0.040309,12.13,11.66,3178316,0.6206164
10720,20190108,300498,0.007678,27.56,27.35,23233189,1.1678424
10721,20190108,300347,0.002552,39.29,39.19,4968703,0.63143784
10722,20190108,300319,-0.001613,6.19,6.2,28750684,0.5826671
10723,20190108,300053,-0.00344,8.69,8.72,9893111,0.62559175
10724,20190108,300271,-0.007002,15.6,15.71,7460446,0.5225099
10725,20190108,300271,-0.007002,15.6,15.71,7460446,0.28791147
10726,20190108,300628,-0.022426,76.72,78.48,1286084,0.6049446
10727,20190108,300735,-0.023256,16.8,17.2,9661432,0.6307036
10728,20190108,300207,-0.040481,8.77,9.14,19737212,0.5393859
10729,20190108,300073,-0.047786,27.1,28.46,18232245,0.6746966
10730,20190108,300073,-0.047786,27.1,28.46,18232245,0.40016264
10731,20190108,300073,-0.047786,27.1,28.46,18232245,0.196914
10732,20190108,300248,-0.052696,7.73,8.16,20892008,0.42365578
10733,20190109,300413,0.009526,38.15,37.79,2389441,0.75125045
10734,20190109,300408,0.006369,15.8,15.7,6638249,0.50292253
10735,20190109,300271,-0.000641,15.59,15.6,5589893,0.42188388
10736,20190109,300271,-0.000641,15.59,15.6,5589893,0.70103955
10737,20190109,300271,-0.000641,15.59,15.6,5589893,0.48670113
10738,20190109,300450,-0.001818,27.45,27.5,9209735,0.78509367
10739,20190109,300149,-0.008655,14.89,15.02,1255737,0.6181044
10740,20190109,300637,-0.013196,26.92,27.28,4317083,0.52489847
10741,20190110,300066,0.038567,3.77,3.63,27336429,1.0432653
10742,20190110,300496,0.0102,25.75,25.49,10268180,0.53999627
10743,20190110,300207,0.009164,8.81,8.73,6502307,0.56179905
10744,20190110,300073,-0.000371,26.95,26.96,4353370,0.5846862
10745,20190110,300685,-0.001867,37.43,37.5,1095212,0.40298235
10746,20190110,300637,-0.004829,26.79,26.92,2575900,0.42837533
10747,20190110,300487,-0.006319,25.16,25.32,1230500,0.33521497
10748,20190110,300316,-0.009671,10.24,10.34,11977398,0.45855576
10749,20190110,300017,-0.016089,7.95,8.08,47952991,0.516728
10750,20190110,300470,-0.017051,21.33,21.7,1028218,0.5407949
10751,20190110,300529,-0.017535,40.34,41.06,1072669,0.4456281
10752,20190111,300637,0.100037,29.47,26.79,14327323,0.48134655
10753,20190111,300470,0.010314,21.55,21.33,838007,0.51239884
10754,20190111,300438,0.001763,17.05,17.02,1973381,0.524203
10755,20190111,300760,-0.007721,104.1,104.91,1950428,0.5230418
10756,20190111,300699,-0.010616,37.28,37.68,1526695,0.45338354
10757,20190111,300456,-0.012146,24.4,24.7,3736821,0.73203135
10758,20190111,300747,-0.01233,130.57,132.2,2040284,0.39186
10759,20190111,300457,0.013523,27.73,27.36,4001636,0.53849643
10760,20190111,300241,-0.05303,5.0,5.28,13894432,0.4388399
10761,20190114,300437,0.1,14.52,13.2,6721211,0.7712902
10762,20190114,300623,0.027038,25.45,24.78,3187818,0.9063922
10763,20190114,300327,0.013277,19.08,18.83,1600787,0.72138816
10764,20190114,300685,0.010207,37.61,37.23,815663,0.59548414
10765,20190114,300070,-0.033582,7.77,8.04,58306573,0.24787709
10766,20190114,300070,-0.033582,7.77,8.04,58306573,0.0187752
10767,20190115,300661,0.047744,71.98,68.7,1010540,0.5999095
10768,20190115,300595,0.030423,38.95,37.8,2155081,0.5208965
10769,20190115,300457,0.013343,28.86,28.48,4333071,0.574178
10770,20190115,300457,0.013343,28.86,28.48,4333071,0.6563454
10771,20190115,300457,0.013343,28.86,28.48,4333071,0.45814252
