qid_date,stock_code,Unnamed: 0,real_return,prediction,close,pclose,new_close
20181206,2643,105744,0.038622,-0.7167129,9.95,9.58,9.95
20181206,603501,105745,0.033559,-0.6249433,35.11,33.97,35.11
20181206,600011,105746,0.027933,-1.3909646,7.36,7.16,7.36
20181206,2304,105747,0.023619,-2.6362824,102.28,99.92,102.28
20181206,600570,105748,0.022715,-1.6720897,55.38,54.15,55.38
20181206,600340,105749,0.018315,-4.433739,27.8,27.3,27.8
20181206,600406,105750,0.014992,-1.9305007,18.28,18.01,18.28
20181206,600406,105751,0.014992,-2.5291653,18.28,18.01,18.28
20181206,726,105752,0.012725,0.67391133,9.55,9.43,9.55
20181206,601155,105753,0.012308,-3.5373468,26.32,26.0,26.32
20181206,601155,105754,0.012308,-1.9746208,26.32,26.0,26.32
20181206,2,105755,0.009562,-0.3771029,25.34,25.1,25.34
20181206,2,105756,0.009562,-3.1319592,25.34,25.1,25.34
20181206,603826,105757,0.006658,1.346223,15.12,15.02,15.12
20181206,600039,105758,0.0059,-3.4155884,3.41,3.39,3.41
20181206,603566,105759,0.005255,-1.0065143,13.39,13.32,13.39
20181206,2138,105760,0.004909,-1.7068537,14.33,14.26,14.33
20181206,961,105761,0.004785,-4.572925,6.3,6.27,6.3
20181206,2428,105762,0.001812,-0.76204807,5.53,5.52,5.53
20181206,671,105763,0.0,-2.420292,5.6,5.6,5.6
20181206,651,105764,-0.000548,-2.9996822,36.48,36.5,36.48
20181206,600754,105765,-0.006119,-1.9137337,22.74,22.88,22.74
20181206,600114,105766,-0.010189,-0.14837243,6.8,6.87,6.8
20181206,603799,105767,-0.020419,-2.359355,35.5,36.24,35.5
20181206,600675,105768,-0.022337,-2.6482358,5.69,5.82,5.69
20181206,601933,105769,-0.024129,-3.5254912,7.28,7.46,7.28
20181206,601933,105770,-0.024129,-2.9982212,7.28,7.46,7.28
20181206,603788,105771,-0.025205,-0.19223057,15.47,15.87,15.47
20181206,2422,105772,-0.067248,-2.9578924,22.47,24.09,22.47
20181207,2191,105773,0.024161,-0.9591299,7.63,7.45,7.63
20181207,603826,105774,0.02381,0.123778775,15.48,15.12,15.48
20181207,600055,105775,0.021209,-0.19074611,9.63,9.43,9.63
20181207,600612,105776,0.015056,0.7976684,40.45,39.85,40.45
20181207,2838,105777,0.007743,0.26158547,18.22,18.08,18.22
20181207,600990,105778,0.004146,-1.4071681,36.33,36.18,36.33
20181207,2382,105779,0.000617,-1.2892522,16.21,16.2,16.21
20181207,2007,105780,-0.000794,-2.2444067,37.75,37.78,37.75
20181207,600869,105781,-0.004228,0.11591871,4.71,4.73,4.71
20181207,2621,105782,-0.0048,-1.1767981,18.66,18.75,18.66
20181207,2621,105783,-0.0048,-0.9697453,18.66,18.75,18.66
20181207,600763,105784,-0.004961,-0.089771554,52.15,52.41,52.15
20181207,603588,105785,-0.007034,-2.4649765,8.47,8.53,8.47
20181207,2341,105786,-0.009931,-1.6096925,12.96,13.09,12.96
20181207,603515,105787,-0.011773,-0.23392403,27.7,28.03,27.7
20181207,560,105788,-0.012915,-2.0685165,5.35,5.42,5.35
20181207,2511,105789,-0.013483,-1.3342676,8.78,8.9,8.78
20181207,600258,105790,-0.013833,-2.4191482,17.11,17.35,17.11
20181207,603486,105791,-0.0143,-1.9688013,51.01,51.75,51.01
20181207,600030,105792,-0.016422,-1.8887119,16.77,17.05,16.77
20181207,600519,105793,-0.016644,-2.69294,577.23,587.0,577.23
20181207,2080,105794,-0.017157,-1.114317,8.02,8.16,8.02
20181207,2415,105795,-0.019407,-1.7781949,26.78,27.31,26.78
20181207,2594,105796,-0.026367,-1.1073314,55.39,56.89,55.39
20181207,2594,105797,-0.026367,-0.3136181,55.39,56.89,55.39
20181207,671,105798,-0.026786,0.75294363,5.45,5.6,5.45
20181207,603877,105799,-0.042661,-1.7063141,18.85,19.69,18.85
20181207,2867,105800,-0.075987,-1.2308637,28.09,30.4,28.09
20181207,989,105801,-0.000885,0.6116255,11.29,11.3,11.29
20181207,2142,105802,-0.025045,-3.0849493,16.35,16.77,16.35
