,qid_date,stock_code,real_return,close,pclose,volume,prediction
37938,20181206,2643,0.038622,9.95,9.58,10391453,0.2373818
37939,20181206,603501,0.033559,35.11,33.97,4362374,1.5196034
37940,20181206,600011,0.027933,7.36,7.16,14121164,1.6769992
37941,20181206,2304,0.023619,102.28,99.92,3812824,-1.3251722
37942,20181206,600570,0.022715,55.38,54.15,6328788,1.3729712
37943,20181206,600340,0.018315,27.8,27.3,19301513,-0.96193737
37944,20181206,600406,0.014992,18.28,18.01,11014861,0.015632575
37945,20181206,600406,0.014992,18.28,18.01,11014861,-0.3724886
37946,20181206,726,0.012725,9.55,9.43,1187203,2.3793616
37947,20181206,601155,0.012308,26.32,26.0,9998452,-0.52610177
37948,20181206,601155,0.012308,26.32,26.0,9998452,-0.87988317
37949,20181206,2,0.009562,25.34,25.1,27527878,-0.28135234
37950,20181206,2,0.009562,25.34,25.1,27527878,0.26354587
37951,20181206,603826,0.006658,15.12,15.02,3129870,2.7372484
37952,20181206,600039,0.0059,3.41,3.39,12595133,1.0583326
37953,20181206,603566,0.005255,13.39,13.32,446200,0.562054
37954,20181206,2138,0.004909,14.33,14.26,3862760,0.35764515
37955,20181206,961,0.004785,6.3,6.27,10547115,-1.0225762
37956,20181206,2428,0.001812,5.53,5.52,8146196,1.9938949
37957,20181206,671,0.0,5.6,5.6,5589470,-1.5083952
37958,20181206,651,-0.000548,36.48,36.5,24497130,-1.7359627
37959,20181206,600754,-0.006119,22.74,22.88,1363489,-1.4048482
37960,20181206,600114,-0.010189,6.8,6.87,4597172,-0.15246165
37961,20181206,603799,-0.020419,35.5,36.24,22171482,-0.34131828
37962,20181206,600675,-0.022337,5.69,5.82,3369128,-1.8514636
37963,20181206,601933,-0.024129,7.28,7.46,39773212,-0.2746306
37964,20181206,601933,-0.024129,7.28,7.46,39773212,-0.69450295
37965,20181206,603788,-0.025205,15.47,15.87,2442910,-0.93589115
37966,20181206,2422,-0.067248,22.47,24.09,28223692,-0.4790274
37967,20181207,2191,0.024161,7.63,7.45,16640907,1.7599201
37968,20181207,603826,0.02381,15.48,15.12,5093858,3.0016959
37969,20181207,600055,0.021209,9.63,9.43,6889289,2.4586499
37970,20181207,600612,0.015056,40.45,39.85,867006,1.3639095
37971,20181207,2838,0.007743,18.22,18.08,447000,1.5276617
37972,20181207,600990,0.004146,36.33,36.18,609284,1.0219524
37973,20181207,2382,0.000617,16.21,16.2,1643883,0.6777179
37974,20181207,2007,-0.000794,37.75,37.78,11890359,-1.3567125
37975,20181207,600869,-0.004228,4.71,4.73,9299509,-0.35632414
37976,20181207,2621,-0.0048,18.66,18.75,448300,-1.2628914
37977,20181207,2621,-0.0048,18.66,18.75,448300,0.7357221
37978,20181207,600763,-0.004961,52.15,52.41,1903558,-1.5372297
37979,20181207,603588,-0.007034,8.47,8.53,2668940,-2.707134
37980,20181207,2341,-0.009931,12.96,13.09,11361765,-1.0515012
37981,20181207,603515,-0.011773,27.7,28.03,1168316,-0.9850318
37982,20181207,560,-0.012915,5.35,5.42,4347813,-0.81919557
37983,20181207,2511,-0.013483,8.78,8.9,10734984,0.7632928
37984,20181207,600258,-0.013833,17.11,17.35,2308050,-2.5685134
37985,20181207,603486,-0.0143,51.01,51.75,1317300,-0.2121125
37986,20181207,600030,-0.016422,16.77,17.05,69550486,-0.24613923
37987,20181207,600519,-0.016644,577.23,587.0,2464068,-0.33722356
37988,20181207,2080,-0.017157,8.02,8.16,2705300,0.41953224
37989,20181207,2415,-0.019407,26.78,27.31,31758236,-0.059195336
37990,20181207,2594,-0.026367,55.39,56.89,11549923,-0.5593013
37991,20181207,2594,-0.026367,55.39,56.89,11549923,-0.8065291
37992,20181207,671,-0.026786,5.45,5.6,28354686,-0.49834523
37993,20181207,603877,-0.042661,18.85,19.69,2357890,-1.4395841
37994,20181207,2867,-0.075987,28.09,30.4,4372994,-0.46742043
37995,20181207,989,-0.000885,11.29,11.3,9883290,-0.027633844
37996,20181207,2142,-0.025045,16.35,16.77,23413460,-0.58971685
37997,20181210,603444,0.046416,154.88,148.01,2365458,0.4977451
37998,20181210,601155,0.037328,26.4,25.45,10626638,-0.28679016
37999,20181210,600699,0.036441,24.46,23.6,7782576,1.6220194
38000,20181210,35,0.031068,5.31,5.15,37810832,1.2417898
38001,20181210,600547,0.02745,29.57,28.78,25022161,0.54940695
38002,20181210,600547,0.02745,29.57,28.78,25022161,0.08999549
38003,20181210,603043,0.024361,25.65,25.04,1123081,0.028075393
38004,20181210,2661,0.017282,12.95,12.73,2682222,0.49795866
38005,20181210,2301,0.016888,8.43,8.29,5899667,1.0288538
38006,20181210,601888,0.01222,59.64,58.92,5141174,1.0602968
38007,20181210,601238,0.01069,10.4,10.29,4244752,0.018877488
38008,20181210,601238,0.01069,10.4,10.29,4244752,0.9733114
38009,20181210,601238,0.01069,10.4,10.29,4244752,-1.2902492
38010,20181210,2602,0.009425,20.35,20.16,4522526,1.6934597
38011,20181210,600438,0.006711,9.0,8.94,18110737,2.1581671
38012,20181210,600104,0.006584,24.46,24.3,6824494,0.20409207
38013,20181210,768,0.006307,14.36,14.27,5575115,1.7162138
38014,20181210,603337,0.006094,37.97,37.74,1235252,-1.1110046
38015,20181210,600282,0.0059,3.41,3.39,14999804,0.4867574
38016,20181210,2152,0.005282,5.71,5.68,3883701,2.47688
38017,20181210,603486,0.003921,51.21,51.01,1052280,-0.8535596
38018,20181210,600323,0.003652,13.74,13.69,2648259,0.017459553
38019,20181210,603588,0.003542,8.5,8.47,3020902,0.2722455
38020,20181210,601689,0.002762,14.52,14.48,874071,0.25578946
38021,20181210,2007,0.002649,37.85,37.75,9220616,2.890889
38022,20181210,603113,0.001669,12.0,11.98,4253700,1.0077846
38023,20181210,600703,0.0,14.36,14.36,9958647,0.023857523
38024,20181210,2382,-0.000617,16.2,16.21,1538637,-0.9415356
38025,20181210,601006,-0.001253,7.97,7.98,14423376,0.18537797
38026,20181210,2567,-0.005263,5.67,5.7,7523107,0.1258163
38027,20181210,2142,-0.005505,16.26,16.35,11489722,0.50072056
38028,20181210,2310,-0.007389,8.06,8.12,37259176,0.0059643327
38029,20181210,932,-0.009419,6.31,6.37,36551950,0.39239323
38030,20181210,603305,-0.016344,32.5,33.04,3636381,0.37429455
38031,20181210,603806,-0.020137,27.25,27.81,520476,0.35101476
38032,20181211,601965,0.038352,7.31,7.04,5866665,0.69811314
38033,20181211,2074,0.036244,12.58,12.14,16639204,0.15413918
38034,20181211,603160,0.02595,79.07,77.07,1022336,2.284498
38035,20181211,932,0.023772,6.46,6.31,48470956,1.2893546
38036,20181211,603985,0.014536,20.24,19.95,523169,2.5104854
38037,20181211,603305,0.009846,32.82,32.5,2823386,0.8365212
38038,20181211,2126,0.009115,7.75,7.68,11272089,1.0615224
38039,20181211,2126,0.009115,7.75,7.68,11272089,-0.36276275
38040,20181211,601336,0.007418,43.46,43.14,5405066,1.4756845
38041,20181211,600583,0.00738,5.46,5.42,6624461,0.4344355
38042,20181211,600048,0.007031,12.89,12.8,71541726,-0.5886225
38043,20181211,100,0.004132,2.43,2.42,46570521,1.9365253
38044,20181211,601238,0.003846,10.44,10.4,3924255,3.5343711
38045,20181211,601006,0.001255,7.98,7.97,11414525,-0.23727079
38046,20181211,603218,0.000579,17.27,17.26,435572,0.72846156
38047,20181211,600548,0.0,8.72,8.72,2963928,-0.22283886
38048,20181211,2376,-0.005275,16.97,17.06,4646999,-0.5451589
38049,20181211,2538,-0.005976,4.99,5.02,5184132,-0.17617616
38050,20181211,603558,-0.007722,10.28,10.36,852875,-0.7819405
38051,20181211,600019,-0.008708,6.83,6.89,21153538,-0.43970162
38052,20181211,603711,-0.028704,20.98,21.6,4258355,-0.18804476
38053,20181211,600405,-0.034765,4.72,4.89,22989635,-1.2289102
38054,20181212,603859,0.050661,19.08,18.16,2516037,1.2724336
38055,20181212,2705,0.049451,9.55,9.1,5373919,2.7692223
38056,20181212,600004,0.045149,10.88,10.41,24829408,0.6417532
38057,20181212,2242,0.034777,15.77,15.24,5183881,0.20552236
38058,20181212,600340,0.027636,28.26,27.5,21200346,-0.69725657
38059,20181212,600340,0.027636,28.26,27.5,21200346,-0.7255744
38060,20181212,600340,0.027636,28.26,27.5,21200346,-1.5761647
38061,20181212,600502,0.025253,4.06,3.96,27510001,0.7485377
38062,20181212,600398,0.024447,8.8,8.59,12964962,0.1579582
38063,20181212,600699,0.020945,24.86,24.35,7045832,0.52321285
38064,20181212,889,0.019298,11.62,11.4,994151,-0.21224415
38065,20181212,600887,0.016957,23.39,23.0,35989109,0.62895405
38066,20181212,601117,0.015762,5.8,5.71,36211924,-0.6831974
38067,20181212,603899,0.011583,28.82,28.49,1446641,2.9263325
38068,20181212,2024,0.00932,10.83,10.73,26803592,-0.035199955
38069,20181212,2100,0.006173,4.89,4.86,4993500,1.4331841
38070,20181212,603558,0.003891,10.32,10.28,1517500,-0.29728398
38071,20181212,2594,0.002575,58.4,58.25,10106504,0.33010313
38072,20181212,2126,0.00129,7.76,7.75,8595848,0.9395743
38073,20181212,2126,0.00129,7.76,7.75,8595848,-0.5425531
38074,20181212,681,0.0,26.4,26.4,2845538,-1.7925601
38075,20181212,2727,0.0,22.56,22.56,4010585,-1.5713837
38076,20181212,601933,0.0,7.8,7.8,36228461,-2.4492934
38077,20181212,600489,-0.005896,8.43,8.48,26022584,0.24432057
38078,20181212,603966,-0.005946,10.03,10.09,4001690,-0.753557
38079,20181213,2414,0.034483,21.0,20.3,14507239,2.8535922
38080,20181213,100,0.004098,2.45,2.44,61370625,2.216227
38081,20181213,601668,0.0,6.17,6.17,246339457,-1.7979481
38082,20181213,600398,-0.001136,8.79,8.8,14464441,-0.31514195
38083,20181213,2573,-0.003667,8.15,8.18,16147118,-0.33587188
38084,20181213,601229,-0.004263,11.68,11.73,14377280,-0.3895925
38085,20181213,2389,-0.005636,12.35,12.42,6781366,-1.0448605
38086,20181213,2589,-0.006188,8.03,8.08,15399676,-0.17067912
38087,20181213,603313,-0.014337,19.25,19.53,600723,-0.27099508
38088,20181213,598,-0.016355,4.21,4.28,9503940,0.027581666
38089,20181213,401,-0.017844,13.21,13.45,37517058,0.9398837
38090,20181213,601828,-0.018229,11.31,11.52,4167207,0.9550279
38091,20181213,568,-0.018851,43.2,44.03,6389152,-0.059864324
38092,20181213,2074,-0.01992,12.3,12.55,17256874,-1.2050568
38093,20181213,2352,-0.024513,35.02,35.9,3508225,-1.0675665
38094,20181213,603518,-0.02737,14.57,14.98,601000,-0.53821623
38095,20181213,603859,-0.031447,18.48,19.08,1432748,-1.4263028
38096,20181213,603859,-0.031447,18.48,19.08,1432748,0.08666502
38097,20181213,2456,-0.033686,10.04,10.39,63758784,0.096758
38098,20181213,600260,-0.036939,18.25,18.95,14712754,0.39148313
