trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len,total_profit
2021/12/6,2021/12/3,4909.429,4943.903,4888.693,4892.621,1736156.83,33340579.1,-0.001713,26,998287
2021/12/7,2021/12/6,4930.826,4934.097,4895.218,4922.102,1790534.6,34061776.62,0.006026,19,1004302.677
2021/12/8,2021/12/7,4934.406,4995.93,4915.79,4995.93,1574905.59,32906483.12,0.014999,13,1019366.213
2021/12/9,2021/12/8,5000.687,5114.501,4999.41,5078.69,2205687.76,42568095.88,0.016565,26,1036252.015
2021/12/10,2021/12/9,5046.268,5060.055,5035.809,5055.117,1936951.54,35691762.54,-0.004642,36,1031441.733
2021/12/13,2021/12/10,5090.021,5143.841,5079.728,5083.801,2118015.96,42637653.25,0.005674,20,1037294.133
2021/12/14,2021/12/13,5066.35,5075.214,5038.858,5049.695,1591077.9,31868553.81,-0.006709,29,1030334.927
2021/12/15,2021/12/14,5036.284,5060.368,5003.778,5005.899,1505297.52,29107256.88,-0.008673,10,1021398.832
2021/12/16,2021/12/15,5006.611,5034.732,4987.225,5034.732,1440538.67,29147476.69,0.00576,24,1027282.089
2021/12/17,2021/12/16,5021.339,5022.107,4954.759,4954.76,1490053.99,29794331.12,-0.015884,17,1010964.741
2021/12/20,2021/12/17,4934.966,4971.673,4872.685,4880.418,1696756.9,31753691.94,-0.015004,35,995796.2256
2021/12/21,2021/12/20,4876.514,4917.799,4872.949,4913.485,1433398.98,25902317.73,0.006775,27,1002542.745
2021/12/22,2021/12/21,4924.577,4936.673,4903.165,4914.454,1332567.4,24464245.05,0.000197,24,1002740.246
2021/12/23,2021/12/22,4924.291,4948.739,4906.747,4948.739,1395554.06,26335975.48,0.006976,29,1009735.362
2021/12/24,2021/12/23,4953.062,4964.906,4905.979,4921.345,1426733.23,29048366.35,-0.005536,30,1004145.467
2021/12/27,2021/12/24,4918.146,4939.689,4894.16,4919.324,1241009.52,25442152.52,-0.000411,23,1003732.763
2021/12/28,2021/12/27,4923.692,4959.145,4913.598,4955.964,1304577.57,27631673.22,0.007448,28,1011208.565
2021/12/29,2021/12/28,4958.646,4958.646,4883.48,4883.48,1135870.02,27322546.71,-0.014626,30,996418.6283
2021/12/30,2021/12/29,4882.156,4940.178,4878.648,4921.511,1216171.78,26802247.73,0.007788,26,1004178.737
2021/12/31,2021/12/30,4937.463,4950.364,4923.139,4940.373,1213137.37,26697538.87,0.003833,56,1008027.754
2022/1/4,2021/12/31,4957.984,4961.453,4874.534,4917.765,1515347.76,33651696.16,-0.004576,0,1003415.019
2022/1/5,2022/1/4,4907.935,4916.282,4851.984,4868.12,1788161,36394452.88,-0.010095,34,993285.5441
2022/1/6,2022/1/5,4842.156,4857.56,4786.433,4818.232,1576658.26,32175007.65,-0.010248,35,983106.3538
2022/1/7,2022/1/6,4824.318,4856.652,4818.193,4822.369,1871394.13,33221895.07,0.000859,28,983950.8422
2022/1/10,2022/1/7,4812.23,4844.393,4780.819,4844.045,1562116.96,30503381.68,0.004495,40,988373.7012
2022/1/11,2022/1/10,4840.009,4850.879,4791.885,4797.774,1469280.04,28644575.6,-0.009552,45,978932.7556
2022/1/12,2022/1/11,4818.89,4852.731,4810.919,4845.579,1432002.04,29315304.28,0.009964,52,988686.8416
