name,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20
T6M5_DQN,206232353,199038225,266626707,293927269,373897776,1475701306,1441215557,57154534,1382236470,405520300,1154720961,1624073271,1613278763,29446143,1567733573,1334194821,1550374758,1013530255,1230915076,1881778125
T6M6_DQN,321014601,90843299,1407606596,248988073,2137296655,454067855,285798786,825079857,1091773373,370138491,864655436,958472621,2003246367,878068006,230686750,559570462,1080031362,235690372,1287790002,2124426311
T6M7_DQN,1522229069,1789115312,2031404069,1509349384,1813985867,766888195,133263334,1953242642,200206105,246679472,1543400231,68606694,1279552063,1962903217,1365885036,538703809,35779246,249402762,682220389,1396296137
T6M8_DQN,327812728,638516930,2017324498,1933412357,1920267035,360715776,1260086534,1152516921,1816851658,343958328,565272497,382592157,46084156,1217089870,520837481,530486995,2124231360,1556872554,173371597,65316188
T6M9_DQN,1284621583,952962062,1084436676,1750704041,840847168,556577867,569280259,9795449,986298332,631912030,410660040,1481186546,1537575354,357658174,628604109,795144549,1783839301,171962506,1884262612,275813463
T6C5_DQN,1370134292,1002649107,1964215710,1165368502,308104437,1016970410,1560978608,1512791264,1151822198,1393071684,1159912687,1216631962,2041065228,715834519,1439929252,1852334621,127626911,95259990,694807112,1928971597
T6C6_DQN,971280515,1301183155,1336006421,849540145,652713711,1696980497,1566945636,1957872861,1007287494,216032310,863565867,433847147,1583449470,1516734726,1363972009,51476323,1641487949,433736619,539407268,945174813
T6C7_DQN,1343595262,450502690,840837013,1093588959,2008424875,1124365122,1270563896,565326908,2021469740,96178945,1864354817,1742357770,1349445697,1130102130,1402299898,245925417,1261640456,2100513438,716036393,287022841
T6C8_DQN,2139072398,766766795,1470414819,485206351,461584368,633485918,2011802943,1447564488,117542725,1305035113,471932459,1707810288,163678163,1008432661,427505193,821113132,872516818,240450821,908436826,342214061
T6C9_DQN,2050595345,969234552,649861206,1817289368,1856360926,1119199883,839386805,1634312020,630576426,966090901,372144024,1589265830,1225031073,413671463,87832608,1271333263,1718781317,958132131,86744630,303402147
