name,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20
T6M5_1,7,12,13,25,27,34,58,63,65,74,77,78,80,86,92,96,97,102,106,115
T6M5_2,5,11,12,29,41,42,44,45,47,50,55,56,61,62,66,76,78,82,93,97
T6M6_1,14,26,30,32,34,53,62,65,73,86,93,95,98,99,110,116,127,129,130,132
T6M6_2,1,8,12,18,25,29,31,40,44,55,58,59,62,64,72,77,79,81,98,107
T6M7_1,6,12,15,21,22,28,37,38,39,41,44,45,47,49,59,69,79,81,85,88
T6M7_2,5,9,13,19,24,25,31,38,39,40,42,48,60,65,79,88,96,100,117,122
T6M8_1,2,6,9,13,23,24,29,38,43,46,55,56,58,68,70,81,95,99,100,101
T6M8_2,20,27,40,54,71,114,132,140,148,150,155,161,167,180,181,197,203,204,222,227
T6M9_1,2,18,23,28,36,62,72,79,82,84,99,104,109,110,123,125,129,131,137,144
T6M9_2,36,132,142,193,197,204,237,289,295,340,398,434,510,516,1018,1021,1027,1038,1050,1076
T6C5_1,14,15,20,27,52,59,61,64,71,74,78,88,89,90,101,107,108,112,123,130
T6C5_2,12,19,21,23,32,34,36,39,44,47,51,53,76,77,94,96,100,101,105,131
T6C6_1,2,4,14,15,16,27,35,37,39,42,43,44,56,59,73,91,95,102,103,107
T6C6_2,3,11,16,19,22,27,30,31,37,38,40,42,47,48,53,60,61,75,90,94
T6C7_1,7,18,20,25,26,42,47,51,54,55,58,61,62,72,83,91,105,107,108,109
T6C7_2,3,8,16,18,23,37,39,69,70,72,75,77,79,90,93,94,100,102,106,108
T6C8_1,3,15,20,22,23,29,30,33,39,45,65,71,75,77,81,85,95,101,105,109
T6C8_2,2,14,18,21,22,33,46,55,56,65,74,76,77,83,87,92,94,98,102,103
T6C9_1,5,10,18,24,25,38,40,49,50,51,53,62,70,74,93,106,117,119,127,145
T6C9_2,8,19,21,32,33,34,36,37,51,60,64,67,69,72,77,79,80,96,101,104
