qid_date,stock_code,Unnamed: 0,real_return,prediction,close,pclose,new_close
20191206,796,125066,0.016189,-0.8911406,8.16,8.03,8.16
20191206,2683,125067,0.00918,0.4192826,15.39,15.25,15.39
20191206,603881,125068,0.008861,0.020517439,38.71,38.37,38.71
20191206,603505,125069,0.007932,-0.8639728,19.06,18.91,19.06
20191206,600882,125070,-0.002941,-0.6499388,13.56,13.6,13.56
20191206,2838,125071,-0.005576,-1.4586262,10.7,10.76,10.7
20191206,603496,125072,-0.01629,-0.703928,21.74,22.1,21.74
20191206,625,125073,-0.018116,-1.9522519,8.13,8.28,8.13
20191206,603160,125074,0.075612,2.8860438,213.95,198.91,213.95
20191206,2156,125075,0.070045,3.701246,14.36,13.42,14.36
20191206,2157,125076,0.049553,-1.914817,15.25,14.53,15.25
20191206,600782,125077,0.029046,-1.2660799,4.96,4.82,4.96
20191206,600887,125078,0.019835,-2.8567414,30.85,30.25,30.85
20191206,600176,125079,0.017112,-2.5937042,9.51,9.35,9.51
20191206,601636,125080,0.013699,-2.1472456,4.44,4.38,4.44
20191206,2396,125081,0.012871,-1.5443757,36.2,35.74,36.2
20191206,2957,125082,0.008012,-0.3854507,32.71,32.45,32.71
20191206,600271,125083,0.003321,-1.3134446,21.15,21.08,21.15
20191206,600104,125084,-0.003077,-1.287283,22.68,22.75,22.68
20191206,2594,125085,-0.00755,-1.0681642,43.38,43.71,43.38
20191206,603879,125086,-0.017544,0.070545375,11.76,11.97,11.76
20191209,2449,125087,0.069364,2.7022185,12.95,12.11,12.95
20191209,603501,125088,0.059235,3.084932,154.5,145.86,154.5
20191209,603313,125089,0.034848,-2.4834783,20.49,19.8,20.49
20191209,600570,125090,0.034325,-1.8874165,76.84,74.29,76.84
20191209,600409,125091,0.028319,-2.6825464,5.81,5.65,5.81
20191209,603662,125092,0.022406,-2.156225,47.0,45.97,47.0
20191209,2695,125093,0.017912,-2.3776655,16.48,16.19,16.48
20191209,601155,125094,0.010929,-1.6281645,37.0,36.6,37.0
20191209,2254,125095,0.010387,-2.1714308,10.7,10.59,10.7
20191209,977,125096,0.010361,-1.4903662,32.18,31.85,32.18
20191209,2216,125097,0.010161,0.49548364,11.93,11.81,11.93
20191209,2938,125098,0.007842,-2.0267618,50.12,49.73,50.12
20191209,2014,125099,0.006881,-1.082589,8.78,8.72,8.78
20191209,603722,125100,0.006692,-0.48358077,24.07,23.91,24.07
20191209,601615,125101,0.006499,-1.5246944,12.39,12.31,12.39
