qid_date,stock_code,Unnamed: 0,real_return,prediction,close,pclose,new_close
20181206,300137,25958,0.033708,0.17623475,9.2,8.9,9.2
20181206,300252,25959,0.031111,0.5745184,9.28,9.0,9.28
20181206,300483,25960,0.018062,0.1743305,31.0,30.45,31.0
20181206,300483,25961,0.018062,0.47601163,31.0,30.45,31.0
20181206,300662,25962,0.013386,0.016081126,28.01,27.64,28.01
20181206,300001,25963,0.004113,-0.2386497,17.09,17.02,17.09
20181206,300537,25964,0.000989,-0.29641512,10.12,10.11,10.12
20181206,300133,25965,-0.00904,0.1842657,8.77,8.85,8.77
20181206,300760,25966,-0.010318,0.64477736,114.14,115.33,114.14
20181206,300309,25967,-0.011351,0.042740487,8.71,8.81,8.71
20181206,300602,25968,-0.021917,0.25803798,33.47,34.22,33.47
20181207,300673,25969,0.029276,0.14124718,44.65,43.38,44.65
20181207,300395,25970,0.014013,-0.2985909,15.92,15.7,15.92
20181207,300454,25971,0.003332,0.042740487,84.32,84.04,84.32
20181207,300454,25972,0.003332,0.62192816,84.32,84.04,84.32
20181207,300474,25973,0.000258,0.03527134,38.84,38.83,38.84
20181207,300087,25974,0.0,0.6138972,9.69,9.69,9.69
20181207,300388,25975,-0.029189,0.6138972,8.98,9.25,8.98
20181207,300114,25976,-0.0338,-0.06323537,8.29,8.58,8.29
20181207,300261,25977,0.0,-0.41909447,5.39,5.39,5.39
20181207,300203,25978,-0.013677,0.37545928,25.24,25.59,25.24
20181210,300252,25979,0.090625,0.3193165,10.47,9.6,10.47
20181210,300347,25980,0.052146,-0.06323537,49.03,46.6,49.03
20181210,300070,25981,0.013172,-0.1456752,9.23,9.11,9.23
20181210,300059,25982,0.00625,-0.39653584,12.88,12.8,12.88
20181210,300595,25983,0.000254,-0.40239102,39.42,39.41,39.42
20181210,300261,25984,-0.007421,-0.39653584,5.35,5.39,5.35
20181210,300649,25985,-0.0121,0.17623475,22.86,23.14,22.86
20181211,300703,25986,0.017845,-0.07184787,14.83,14.57,14.83
20181211,300009,25987,-0.002653,0.03309562,15.04,15.08,15.04
20181211,300458,25988,-0.004267,0.1842657,21.0,21.09,21.0
20181211,300082,25989,-0.008375,-0.055204418,5.92,5.97,5.92
20181211,300578,25990,-0.038608,0.02724042,15.19,15.8,15.19
20181212,300146,25991,0.031175,0.20493922,21.5,20.85,21.5
20181212,300091,25992,0.026596,0.13321623,3.86,3.76,3.86
20181212,300308,25993,0.022313,0.26919726,44.9,43.92,44.9
20181212,300168,25994,0.009427,-0.16043407,12.85,12.73,12.85
20181213,300546,25995,-0.009077,0.704373,25.11,25.34,25.11
20181213,300604,25996,-0.021764,0.13907143,33.71,34.46,33.71
20181213,300729,25997,-0.024412,-0.39653584,22.38,22.94,22.38
20181213,300566,25998,-0.045485,0.1842657,14.06,14.73,14.06
20181213,300760,25999,-0.072203,0.6138972,107.81,116.2,107.81
20181214,300604,26000,-0.013646,0.17872152,33.25,33.71,33.25
20181214,300604,26001,-0.013646,0.03309562,33.25,33.71,33.25
20181214,300725,26002,-0.023866,-0.39653584,57.26,58.66,57.26
20181217,300604,26003,0.013233,0.17623475,33.69,33.25,33.69
20181217,300014,26004,0.012731,0.1842657,15.91,15.71,15.91
20181217,300398,26005,0.009473,-0.5008977,17.05,16.89,17.05
20181217,300531,26006,0.007018,0.03309562,17.22,17.1,17.22
20181217,300294,26007,-0.0098,0.71825916,28.29,28.57,28.29
20181217,300137,26008,-0.031638,0.3193165,8.57,8.85,8.57
20181217,300568,26009,-0.034534,-0.2985909,26.0,26.93,26.0
20181217,300568,26010,-0.034534,-0.16043407,26.0,26.93,26.0
20181218,300699,26011,-0.00353,-0.5008977,36.7,36.83,36.7
20181218,300408,26012,-0.004802,0.27966645,16.58,16.66,16.58
20181218,300724,26013,-0.008909,0.35685575,26.7,26.94,26.7
20181218,300724,26014,-0.008909,0.17623475,26.7,26.94,26.7
20181218,300568,26015,-0.009615,-0.2698269,25.75,26.0,25.75
20181218,300308,26016,-0.017708,0.2445179,41.05,41.79,41.05
20181218,300567,26017,-0.020706,-0.39653584,51.08,52.16,51.08
20181218,300685,26018,-0.028439,-0.019839054,42.02,43.25,42.02
20181219,300137,26019,0.013018,0.27474144,8.56,8.45,8.56
20181219,300448,26020,0.000978,0.3780668,10.24,10.23,10.24
20181219,300037,26021,-0.002028,0.27474144,24.61,24.66,24.61
20181219,300037,26022,-0.002028,0.53363305,24.61,24.66,24.61
20181219,300132,26023,-0.021115,-0.2985909,11.59,11.84,11.59
20181220,300170,26024,0.001982,-0.027869998,10.11,10.09,10.11
20181220,300170,26025,0.001982,0.5825686,10.11,10.09,10.11
20181220,300375,26026,-0.023891,0.1913664,5.72,5.86,5.72
20181220,300347,26027,-0.030836,0.27474144,42.43,43.78,42.43
20181221,300724,26028,0.056714,-0.055204418,28.88,27.33,28.88
20181221,300570,26029,0.045586,-0.11134117,18.12,17.33,18.12
20181221,300365,26030,0.043022,-0.23279452,19.88,19.06,19.88
20181221,300082,26031,0.024955,0.34302458,5.75,5.61,5.75
20181221,300082,26032,0.024955,0.62192816,5.75,5.61,5.75
20181221,300251,26033,0.017812,-0.22476357,8.0,7.86,8.0
20181221,300567,26034,0.011585,-0.027869998,52.39,51.79,52.39
20181221,300037,26035,-0.004446,-0.31409097,24.63,24.74,24.63
20181221,300750,26036,-0.005987,-0.30606002,78.03,78.5,78.03
20181221,300012,26037,0.014354,0.04112654,6.36,6.27,6.36
20181221,300037,26038,-0.004446,0.2772282,24.63,24.74,24.63
20181224,300037,26039,0.015428,-0.30606002,25.01,24.63,25.01
20181224,300346,26040,0.009879,0.27066147,9.2,9.11,9.2
20181224,300457,26041,0.000359,-0.13764425,27.89,27.88,27.89
20181224,300596,26042,0.000347,0.704373,28.8,28.79,28.8
20181224,300596,26043,0.000347,0.13907143,28.8,28.79,28.8
20181224,300596,26044,0.000347,-0.16385102,28.8,28.79,28.8
20181224,300596,26045,0.000347,-0.102668636,28.8,28.79,28.8
20181224,300750,26046,-0.010637,-0.019839054,77.2,78.03,77.2
20181224,300124,26047,-0.02587,-0.3227635,20.71,21.26,20.71
20181224,300124,26048,-0.02587,0.32734743,20.71,21.26,20.71
20181225,300691,26049,0.050816,0.03309562,22.54,21.45,22.54
20181225,300082,26050,0.007005,0.14124718,5.75,5.71,5.75
20181225,300451,26051,0.003686,-0.29055998,19.06,18.99,19.06
20181225,300498,26052,0.002301,-0.31409097,26.14,26.08,26.14
20181225,300413,26053,-0.024665,0.17623475,36.38,37.3,36.38
20181225,300476,26054,-0.02803,0.6138972,11.79,12.13,11.79
20181226,300413,26055,0.017042,-0.38689095,37.0,36.38,37.0
20181226,300014,26056,0.016578,-0.31409097,15.33,15.08,15.33
20181226,300451,26057,-0.006821,0.17484,18.93,19.06,18.93
20181226,300451,26058,-0.006821,-0.3291255,18.93,19.06,18.93
20181226,300009,26059,-0.013245,0.02724042,13.41,13.59,13.41
20181226,300285,26060,-0.014002,0.010591954,16.9,17.14,16.9
20181226,300685,26061,-0.014354,0.704373,41.2,41.8,41.2
20181227,300001,26062,0.055388,0.26671055,17.53,16.61,17.53
20181227,300037,26063,0.027778,0.55430156,24.05,23.4,24.05
20181227,300429,26064,0.022951,-0.40456676,31.2,30.5,31.2
20181227,300144,26065,0.02251,0.34084883,21.35,20.88,21.35
20181227,300604,26066,0.01932,-0.06323537,30.6,30.02,30.6
20181227,300017,26067,0.010323,0.22954717,7.83,7.75,7.83
20181227,300724,26068,0.008499,0.11656777,28.48,28.24,28.48
20181227,300567,26069,0.00658,0.13321623,50.48,50.15,50.48
20181227,300474,26070,-0.0104,-0.2985909,36.16,36.54,36.16
20181227,300450,26071,-0.015646,0.053933278,98.4354,100.0,
20181227,300450,26072,-0.015646,-0.30444607,98.4354,100.0,
20181227,300450,26073,-0.015646,-0.32109457,98.4354,100.0,
20181227,300450,26074,-0.015646,0.0025610044,98.4354,100.0,
20181227,300450,26075,-0.015646,0.22954717,98.4354,100.0,
20181227,300316,26076,-0.015717,-0.40456676,10.02,10.18,10.02
20181227,300740,26077,-0.023206,0.13072953,18.1,18.53,18.1
20181227,300373,26078,-0.028917,0.43761298,14.44,14.87,14.44
20181227,300623,26079,0.00937,-0.40239102,100.937,100.0,
20181227,300136,26080,0.008329,-0.40239102,100.8329,100.0,
20181227,300450,26081,-0.000691,-0.04716846,99.9309,100.0,
20181227,300451,26082,-0.002089,0.36304146,99.7911,100.0,
20181227,300558,26083,-0.05036,0.26671055,94.964,100.0,
20181227,300232,26084,-0.056604,0.13876042,94.3396,100.0,
20181227,300144,26085,-0.085714,-0.5008977,21.35,20.88,21.35
20190102,300244,26086,0.015884,0.21297011,15.35,15.11,15.35
20190102,300014,26087,0.008799,-0.4928668,16.05,15.91,16.05
20190102,300623,26088,-0.004219,-0.40239102,23.6,23.7,23.6
20190102,300577,26089,-0.009804,-0.40456676,30.3,30.6,30.3
20190102,300144,26090,-0.026639,0.20288786,19.0,19.52,19.0
20190102,300144,26091,-0.026639,0.7102282,19.0,19.52,19.0
20190102,300621,26092,-0.026721,0.23757812,9.47,9.73,9.47
20190102,300571,26093,-0.049568,0.704373,41.8,43.98,41.8
20190103,300098,26094,0.041854,0.03309562,6.97,6.69,6.97
20190103,300001,26095,0.03066,-0.2698269,17.48,16.96,17.48
20190103,300212,26096,0.029028,0.40979227,21.27,20.67,21.27
20190103,300021,26097,0.021951,0.7102282,4.19,4.1,4.19
20190103,300124,26098,0.017017,-0.43510136,20.32,19.98,20.32
20190103,300483,26099,0.014608,0.6138972,31.95,31.49,31.95
20190103,300178,26100,0.012687,-0.30444607,8.78,8.67,8.78
20190103,300476,26101,0.012579,0.47791612,11.27,11.13,11.27
20190103,300529,26102,0.004634,0.2772282,41.19,41.0,41.19
20190103,300571,26103,-0.000957,-0.26179597,41.76,41.8,41.76
20190103,300577,26104,-0.011551,-0.41042194,29.95,30.3,29.95
20190104,300124,26105,0.050689,0.3193165,21.35,20.32,21.35
20190104,300575,26106,0.047506,0.2805966,44.1,42.1,44.1
20190104,300070,26107,0.0125,-0.16817887,8.1,8.0,8.1
20190104,300017,26108,0.004762,-0.25894085,8.44,8.4,8.44
20190104,300347,26109,-0.024457,0.78617626,39.09,40.07,39.09
20190104,300347,26110,-0.024457,-0.30444607,39.09,40.07,39.09
20190104,300347,26111,-0.024457,0.35100055,39.09,40.07,39.09
20190104,300347,26112,-0.024457,0.7102282,39.09,40.07,39.09
20190104,300347,26113,-0.024457,0.03309562,39.09,40.07,39.09
20190107,300623,26114,0.001987,-0.30606002,25.21,25.16,25.21
20190107,300408,26115,-0.00827,-0.39653584,15.59,15.72,15.59
20190107,300408,26116,-0.00827,-0.29641512,15.59,15.72,15.59
20190107,300487,26117,-0.013037,0.1010677,25.74,26.08,25.74
20190107,300498,26118,-0.015124,-0.40456676,27.35,27.77,27.35
20190108,300258,26119,0.040309,0.40979227,12.13,11.66,12.13
20190108,300258,26120,0.040309,-0.40239102,12.13,11.66,12.13
20190108,300498,26121,0.007678,-0.31409097,27.56,27.35,27.56
20190108,300347,26122,0.002552,0.17623475,39.29,39.19,39.29
20190108,300319,26123,-0.001613,0.7102282,6.19,6.2,6.19
20190108,300053,26124,-0.00344,0.7102282,8.69,8.72,8.69
20190108,300271,26125,-0.007002,0.2772282,15.6,15.71,15.6
20190108,300271,26126,-0.007002,0.22706044,15.6,15.71,15.6
20190108,300628,26127,-0.022426,0.27966645,76.72,78.48,76.72
20190108,300735,26128,-0.023256,0.46636683,16.8,17.2,16.8
20190108,300207,26129,-0.040481,-0.32861868,8.77,9.14,8.77
20190108,300073,26130,-0.047786,-0.31409097,27.1,28.46,27.1
20190108,300073,26131,-0.047786,0.13321623,27.1,28.46,27.1
20190108,300073,26132,-0.047786,-0.16260985,27.1,28.46,27.1
20190108,300248,26133,-0.052696,0.12357137,7.73,8.16,7.73
20190109,300413,26134,0.009526,0.17623475,38.15,37.79,38.15
20190109,300408,26135,0.006369,0.5066205,15.8,15.7,15.8
20190109,300271,26136,-0.000641,0.26671055,15.59,15.6,15.59
20190109,300271,26137,-0.000641,0.13160232,15.59,15.6,15.59
20190109,300271,26138,-0.000641,-0.30444607,15.59,15.6,15.59
20190109,300450,26139,-0.001818,0.6560504,27.45,27.5,27.45
20190109,300149,26140,-0.008655,-0.39492187,14.89,15.02,14.89
20190109,300637,26141,-0.013196,0.71240395,26.92,27.28,26.92
20190110,300066,26142,0.038567,0.14124718,3.77,3.63,3.77
