Sampling Rate,Model,Value
50%,LambdaMART,7.098360482
50%,LambdaMART,6.940173516
50%,LambdaMART,6.761090002
50%,LambdaMART,6.468981767
50%,LambdaMART,6.164737961
50%,LambdaMART,5.955781498
50%,LambdaMART,5.934137207
50%,LambdaMART,5.088874919
50%,LambdaMART,4.891174232
50%,LambdaMART,4.586876667
50%,LambdaMART,4.391312485
50%,LambdaMART,4.344155043
50%,LambdaMART,4.069688953
50%,LambdaMART,4.062809586
50%,LambdaMART,4.038117814
50%,LambdaMART,3.944787457
50%,LambdaMART,3.92505286
50%,LambdaMART,3.815156125
50%,LambdaMART,3.80818953
50%,LambdaMART,3.780460386
50%,LambdaMART,3.399100105
50%,LambdaMART,3.395450867
50%,LambdaMART,3.388818852
50%,LambdaMART,3.329295133
50%,LambdaMART,3.225448815
50%,LambdaMART,3.105029071
50%,LambdaMART,3.0731012
50%,LambdaMART,3.053922576
50%,LambdaMART,3.0221925
50%,LambdaMART,2.928428326
50%,LambdaMART,2.908901554
50%,LambdaMART,2.847163464
50%,LambdaMART,2.84499118
50%,LambdaMART,2.777702449
50%,LambdaMART,2.734465707
50%,LambdaMART,2.684184329
50%,LambdaMART,2.665193591
50%,LambdaMART,2.580456395
50%,LambdaMART,2.552381451
50%,LambdaMART,2.428794365
50%,LambdaMART,2.413559057
50%,LambdaMART,2.331236868
50%,LambdaMART,2.187243672
50%,LambdaMART,2.134829962
50%,LambdaMART,2.121092296
50%,LambdaMART,2.112877025
50%,LambdaMART,2.04362363
50%,LambdaMART,1.998145687
50%,LambdaMART,1.96843849
50%,LambdaMART,1.938539372
50%,LambdaMART,1.925927129
50%,LambdaMART,1.890411094
50%,LambdaMART,1.886178088
50%,LambdaMART,1.877075965
50%,LambdaMART,1.812075453
50%,LambdaMART,1.804880164
50%,LambdaMART,1.752099538
50%,LambdaMART,1.712057699
50%,LambdaMART,1.709245724
50%,LambdaMART,1.68665583
50%,LambdaMART,1.67562514
50%,LambdaMART,1.643955629
50%,LambdaMART,1.562872787
50%,LambdaMART,1.550502839
50%,LambdaMART,1.532624748
50%,LambdaMART,1.527077765
50%,LambdaMART,1.505180214
50%,LambdaMART,1.487279237
50%,LambdaMART,1.453261617
50%,LambdaMART,1.428612896
50%,LambdaMART,1.406991061
50%,LambdaMART,1.394744559
50%,LambdaMART,1.357015325
50%,LambdaMART,1.337953378
50%,LambdaMART,1.332207805
50%,LambdaMART,1.312882196
50%,LambdaMART,1.289352633
50%,LambdaMART,1.240397611
50%,LambdaMART,1.236346188
50%,LambdaMART,1.229627864
50%,LambdaMART,1.223530779
50%,LambdaMART,1.220322024
50%,LambdaMART,1.218641277
50%,LambdaMART,1.177001189
50%,LambdaMART,1.12619084
50%,LambdaMART,1.067610418
50%,LambdaMART,1.060634239
50%,LambdaMART,1.054964685
50%,LambdaMART,1.03895945
50%,LambdaMART,1.036996157
50%,LambdaMART,0.977011652
50%,LambdaMART,0.956356092
50%,LambdaMART,0.955996002
50%,LambdaMART,0.948474085
50%,LambdaMART,0.932505601
50%,LambdaMART,0.892624424
50%,LambdaMART,0.891172121
50%,LambdaMART,0.881986266
50%,LambdaMART,0.879567814
50%,LambdaMART,0.869313358
50%,LambdaMART,0.85285621
50%,LambdaMART,0.843970531
50%,LambdaMART,0.829448937
50%,LambdaMART,0.821164922
50%,LambdaMART,0.816082579
50%,LambdaMART,0.783009199
50%,LambdaMART,0.757185675
50%,LambdaMART,0.750761639
50%,LambdaMART,0.731215826
50%,LambdaMART,0.722641132
50%,LambdaMART,0.718612311
50%,LambdaMART,0.715826037
50%,LambdaMART,0.703365254
50%,LambdaMART,0.695098909
50%,LambdaMART,0.693184695
50%,LambdaMART,0.679740516
50%,LambdaMART,0.658145192
50%,LambdaMART,0.640148342
50%,LambdaMART,0.637255188
50%,LambdaMART,0.618972705
50%,LambdaMART,0.585936408
50%,LambdaMART,0.583367552
50%,LambdaMART,0.578768265
50%,LambdaMART,0.562697361
50%,LambdaMART,0.553848392
50%,LambdaMART,0.549032065
50%,LambdaMART,0.548563919
50%,LambdaMART,0.547098656
50%,LambdaMART,0.524598917
50%,LambdaMART,0.505313163
50%,LambdaMART,0.477347286
50%,LambdaMART,0.463054495
50%,LambdaMART,0.459199423
50%,LambdaMART,0.453232184
50%,LambdaMART,0.430447943
50%,LambdaMART,0.426336023
50%,LambdaMART,0.425269538
50%,LambdaMART,0.421177044
50%,LambdaMART,0.40634824
50%,LambdaMART,0.405388163
50%,LambdaMART,0.402651748
50%,LambdaMART,0.376149804
50%,LambdaMART,0.367659316
50%,LambdaMART,0.357883318
50%,LambdaMART,0.349657754
50%,LambdaMART,0.34057978
50%,LambdaMART,0.323041512
50%,LambdaMART,0.32087204
50%,LambdaMART,0.31752393
50%,LambdaMART,0.311190991
50%,LambdaMART,0.303118356
50%,LambdaMART,0.296277289
50%,LambdaMART,0.294741738
50%,LambdaMART,0.289398246
50%,LambdaMART,0.282064454
50%,LambdaMART,0.271076413
50%,LambdaMART,0.27056616
50%,LambdaMART,0.259895045
50%,LambdaMART,0.252391655
50%,LambdaMART,0.242958763
50%,LambdaMART,0.23750758
50%,LambdaMART,0.224214007
50%,LambdaMART,0.222869344
50%,LambdaMART,0.220706
50%,LambdaMART,0.212216677
50%,LambdaMART,0.209689773
50%,LambdaMART,0.205552375
50%,LambdaMART,0.205269937
50%,LambdaMART,0.196298122
50%,LambdaMART,0.194565741
50%,LambdaMART,0.186081616
50%,LambdaMART,0.172786636
50%,LambdaMART,0.168077078
50%,LambdaMART,0.164316031
50%,LambdaMART,0.151129825
50%,LambdaMART,0.135938292
50%,LambdaMART,0.126564662
50%,LambdaMART,0.121414238
50%,LambdaMART,0.109457925
50%,LambdaMART,0.099970419
50%,LambdaMART,0.09691497
50%,LambdaMART,0.085055872
50%,LambdaMART,0.077970555
50%,LambdaMART,0.077257705
50%,LambdaMART,0.072175456
50%,LambdaMART,0.069772319
50%,LambdaMART,0.06218858
50%,LambdaMART,0.060564437
50%,LambdaMART,0.05883045
50%,LambdaMART,0.057945479
50%,LambdaMART,0.057145635
50%,LambdaMART,0.055891657
