Sampling Rate,Model,Value
50%,LambdaMART,6.993234895
50%,LambdaMART,6.789095292
50%,LambdaMART,6.751779277
50%,LambdaMART,6.533069237
50%,LambdaMART,6.461846045
50%,LambdaMART,6.430471775
50%,LambdaMART,6.251022816
50%,LambdaMART,5.636318385
50%,LambdaMART,5.421471269
50%,LambdaMART,5.358420893
50%,LambdaMART,5.257195573
50%,LambdaMART,4.910927471
50%,LambdaMART,4.867534003
50%,LambdaMART,4.508381495
50%,LambdaMART,4.50183501
50%,LambdaMART,4.414136806
50%,LambdaMART,4.394451216
50%,LambdaMART,4.288437115
50%,LambdaMART,4.042525545
50%,LambdaMART,4.021754681
50%,LambdaMART,3.939961572
50%,LambdaMART,3.932295406
50%,LambdaMART,3.910908183
50%,LambdaMART,3.813867221
50%,LambdaMART,3.810493992
50%,LambdaMART,3.752689407
50%,LambdaMART,3.699522037
50%,LambdaMART,3.675288199
50%,LambdaMART,3.641952103
50%,LambdaMART,3.583371611
50%,LambdaMART,3.531163932
50%,LambdaMART,3.447493828
50%,LambdaMART,3.254398916
50%,LambdaMART,3.253702848
50%,LambdaMART,3.222681154
50%,LambdaMART,3.221353091
50%,LambdaMART,3.199990249
50%,LambdaMART,3.176903954
50%,LambdaMART,2.975255999
50%,LambdaMART,2.966634149
50%,LambdaMART,2.960935171
50%,LambdaMART,2.92865404
50%,LambdaMART,2.894178589
50%,LambdaMART,2.890688438
50%,LambdaMART,2.830144171
50%,LambdaMART,2.810668698
50%,LambdaMART,2.731456089
50%,LambdaMART,2.687884959
50%,LambdaMART,2.669014496
50%,LambdaMART,2.639946452
50%,LambdaMART,2.593561466
50%,LambdaMART,2.593544753
50%,LambdaMART,2.587288336
50%,LambdaMART,2.518897024
50%,LambdaMART,2.501199857
50%,LambdaMART,2.453709299
50%,LambdaMART,2.453382148
50%,LambdaMART,2.425027077
50%,LambdaMART,2.392017635
50%,LambdaMART,2.38879761
50%,LambdaMART,2.331800793
50%,LambdaMART,2.27234116
50%,LambdaMART,2.27015382
50%,LambdaMART,2.25559457
50%,LambdaMART,2.244421097
50%,LambdaMART,2.224469944
50%,LambdaMART,2.219720925
50%,LambdaMART,2.217749312
50%,LambdaMART,2.194246999
50%,LambdaMART,2.156950147
50%,LambdaMART,2.123930785
50%,LambdaMART,2.108173432
50%,LambdaMART,2.097802193
50%,LambdaMART,2.094610702
50%,LambdaMART,2.090162246
50%,LambdaMART,2.088805053
50%,LambdaMART,2.083628632
50%,LambdaMART,2.070871229
50%,LambdaMART,2.045628754
50%,LambdaMART,2.033415777
50%,LambdaMART,2.030696964
50%,LambdaMART,2.012306159
50%,LambdaMART,2.009059601
50%,LambdaMART,2.006361609
50%,LambdaMART,1.982618195
50%,LambdaMART,1.951824342
50%,LambdaMART,1.905554907
50%,LambdaMART,1.897034617
50%,LambdaMART,1.883503088
50%,LambdaMART,1.842524444
50%,LambdaMART,1.835272231
50%,LambdaMART,1.822899089
50%,LambdaMART,1.817913787
50%,LambdaMART,1.817349539
50%,LambdaMART,1.808626177
50%,LambdaMART,1.80743411
50%,LambdaMART,1.787422514
50%,LambdaMART,1.779516779
50%,LambdaMART,1.757212209
50%,LambdaMART,1.749747487
50%,LambdaMART,1.746464904
50%,LambdaMART,1.742091865
50%,LambdaMART,1.733722489
50%,LambdaMART,1.718334854
50%,LambdaMART,1.709105361
50%,LambdaMART,1.700894229
50%,LambdaMART,1.691187389
50%,LambdaMART,1.690292537
50%,LambdaMART,1.679713668
50%,LambdaMART,1.674919643
50%,LambdaMART,1.663088203
50%,LambdaMART,1.660806606
50%,LambdaMART,1.653272764
50%,LambdaMART,1.650111446
50%,LambdaMART,1.647234036
50%,LambdaMART,1.642666964
50%,LambdaMART,1.625490777
50%,LambdaMART,1.625336657
50%,LambdaMART,1.624103908
50%,LambdaMART,1.606007917
50%,LambdaMART,1.597566321
50%,LambdaMART,1.57224957
50%,LambdaMART,1.563981361
50%,LambdaMART,1.545366002
50%,LambdaMART,1.543154023
50%,LambdaMART,1.526798803
50%,LambdaMART,1.515054638
50%,LambdaMART,1.514320333
50%,LambdaMART,1.512195871
50%,LambdaMART,1.509534264
50%,LambdaMART,1.48552394
50%,LambdaMART,1.480071493
50%,LambdaMART,1.471564726
50%,LambdaMART,1.456276799
50%,LambdaMART,1.433508315
50%,LambdaMART,1.409692973
50%,LambdaMART,1.404787733
50%,LambdaMART,1.357086437
50%,LambdaMART,1.349258342
50%,LambdaMART,1.347665204
50%,LambdaMART,1.332949331
50%,LambdaMART,1.306817135
50%,LambdaMART,1.301610267
50%,LambdaMART,1.298431244
50%,LambdaMART,1.2866392
50%,LambdaMART,1.281702274
50%,LambdaMART,1.274115307
50%,LambdaMART,1.270760518
50%,LambdaMART,1.24075053
50%,LambdaMART,1.237743029
50%,LambdaMART,1.237574631
50%,LambdaMART,1.229570263
50%,LambdaMART,1.22850986
50%,LambdaMART,1.218894481
50%,LambdaMART,1.216471691
50%,LambdaMART,1.198968736
50%,LambdaMART,1.194726123
50%,LambdaMART,1.180532468
50%,LambdaMART,1.170663808
50%,LambdaMART,1.167969995
50%,LambdaMART,1.141793943
50%,LambdaMART,1.139870653
50%,LambdaMART,1.106450821
50%,LambdaMART,1.1057208
50%,LambdaMART,1.096903323
50%,LambdaMART,1.089776645
50%,LambdaMART,1.081177139
50%,LambdaMART,1.07676908
50%,LambdaMART,1.06504194
50%,LambdaMART,1.064748393
50%,LambdaMART,1.045917988
50%,LambdaMART,1.044758442
50%,LambdaMART,1.044434432
50%,LambdaMART,1.029173491
50%,LambdaMART,1.018358635
50%,LambdaMART,1.011669295
50%,LambdaMART,1.003944666
50%,LambdaMART,0.982641685
50%,LambdaMART,0.978770455
50%,LambdaMART,0.97498481
50%,LambdaMART,0.973830341
50%,LambdaMART,0.970618443
50%,LambdaMART,0.967233685
50%,LambdaMART,0.963256405
50%,LambdaMART,0.955486641
50%,LambdaMART,0.950993634
50%,LambdaMART,0.903340374
50%,LambdaMART,0.893321539
50%,LambdaMART,0.893128512
50%,LambdaMART,0.892995558
50%,LambdaMART,0.891113767
50%,LambdaMART,0.890226273
50%,LambdaMART,0.881556257
50%,LambdaMART,0.874040728
50%,LambdaMART,0.873283171
50%,LambdaMART,0.854945742
50%,LambdaMART,0.851522418
50%,LambdaMART,0.850729686
50%,LambdaMART,0.839746049
50%,LambdaMART,0.837804792
50%,LambdaMART,0.837183446
50%,LambdaMART,0.829449114
50%,LambdaMART,0.815900941
50%,LambdaMART,0.808343873
50%,LambdaMART,0.804976674
50%,LambdaMART,0.802329045
50%,LambdaMART,0.79172846
50%,LambdaMART,0.781147985
50%,LambdaMART,0.778278691
50%,LambdaMART,0.774242136
50%,LambdaMART,0.764782495
50%,LambdaMART,0.762677724
50%,LambdaMART,0.753350879
50%,LambdaMART,0.751971886
50%,LambdaMART,0.74991025
50%,LambdaMART,0.737311971
50%,LambdaMART,0.724405032
50%,LambdaMART,0.722266317
50%,LambdaMART,0.712842887
50%,LambdaMART,0.712681594
50%,LambdaMART,0.687672571
50%,LambdaMART,0.687639774
50%,LambdaMART,0.684767676
50%,LambdaMART,0.677615384
50%,LambdaMART,0.676244828
50%,LambdaMART,0.676231554
50%,LambdaMART,0.671521306
50%,LambdaMART,0.664041696
50%,LambdaMART,0.662482553
50%,LambdaMART,0.646295118
50%,LambdaMART,0.63882515
50%,LambdaMART,0.635130271
50%,LambdaMART,0.635046944
50%,LambdaMART,0.634778775
50%,LambdaMART,0.634336636
50%,LambdaMART,0.632552208
50%,LambdaMART,0.630831488
50%,LambdaMART,0.629975323
50%,LambdaMART,0.628508729
50%,LambdaMART,0.624952606
50%,LambdaMART,0.616837749
50%,LambdaMART,0.611980104
50%,LambdaMART,0.606996657
50%,LambdaMART,0.590197236
50%,LambdaMART,0.578954923
50%,LambdaMART,0.572551992
50%,LambdaMART,0.56120203
50%,LambdaMART,0.557430041
50%,LambdaMART,0.557094373
50%,LambdaMART,0.554104411
50%,LambdaMART,0.550551243
50%,LambdaMART,0.542438782
50%,LambdaMART,0.527595833
50%,LambdaMART,0.525701623
50%,LambdaMART,0.513029233
50%,LambdaMART,0.506846714
50%,LambdaMART,0.503995081
50%,LambdaMART,0.500268162
50%,LambdaMART,0.499395968
50%,LambdaMART,0.491203216
50%,LambdaMART,0.48977996
50%,LambdaMART,0.489367538
50%,LambdaMART,0.487500748
50%,LambdaMART,0.475702694
50%,LambdaMART,0.475387656
50%,LambdaMART,0.468962935
50%,LambdaMART,0.466905227
50%,LambdaMART,0.464985069
50%,LambdaMART,0.461309098
50%,LambdaMART,0.459047903
50%,LambdaMART,0.455731166
50%,LambdaMART,0.455145201
50%,LambdaMART,0.453584121
50%,LambdaMART,0.439112514
50%,LambdaMART,0.431533021
50%,LambdaMART,0.430397769
50%,LambdaMART,0.421848763
50%,LambdaMART,0.417846946
