qid,qid,qid_date,LambdaRank,LambdaMART,"3bps,10bps",51rank,51mart,"5bps,10bps",11rank,11mart,"1bp,10bps",0rank,0mart,"0bp,10bps",kong,Main Index,Main Index,Main All Report,number of stocks,,,,
2021/Q4,2021/12/6,20211206,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5000000,1000000,1000000,1000000,0,,1,1,1
,2021/12/7,20211207,1031612.049,1031612.049,1000000,1031205.999,1031205.999,1000000,1032018.127,1032018.127,1000000,1033253,1033253,1000000,20211207,1014983,1014983,1008972.293,0,0,1,1,1
,2021/12/8,20211208,1023468.021,1030912.381,1000592.53,1022649.897,1030092.76,999952.1508,1024276.921,1031725.638,1001278.937,1026735.4,1034203.8,1001659.162,20211208,1031779.954,1031779.954,1018433.947,2,592.533,0.99936,1.000686,1.001066
,2021/12/9,20211209,1032879.153,1058969.746,1000592.53,1031669.008,1057724.672,999952.1508,1034124.154,1060240.496,1001278.937,1037840.4,1064083.2,1001659.162,20211209,1026973.923,1026973.923,1022339.062,1,0,0.99936,1.000686,1.001066
,2021/12/10,20211210,1025633.536,1073672.642,977323.4253,1024035.36,1072020.592,976072.4513,1027295.082,1075454.758,978664.313,1032225.4,1080632.4,979407.0788,20211210,1032784.541,1032784.541,1030418.877,1,-23269.0837,0.99872,1.001372,1.002132
,2021/12/13,20211213,1032149.844,1081566.666,947099.8197,1030122.846,1079468.702,945584.46,1034238.256,1083810.978,948724.0959,1040460,1090306.8,949623.8407,20211213,1025839.065,1025839.065,1033659.389,1,20493.9683,0.9984,1.001715,1.002665
,2021/12/14,20211214,1060579.604,1111360.471,1040744.559,1058087.44,1108760.756,1038746.329,1063147.778,1114103.422,1042886.411,1070836.4,1122127.8,1044072.86,20211214,1016925.549,1016925.549,1049149.569,1,98659.4414,0.99808,1.002058,1.003198
,2021/12/15,20211215,1074144.955,1106817.684,1041430.044,1071214.831,1103816.611,1039097.241,1077194.814,1110022.698,1043930.518,1086267.2,1119337.6,1045315.62,20211215,1022766.77,1022766.77,1046870.793,1,722.194,0.99776,1.002401,1.003731
,2021/12/16,20211216,1071509.054,1097915.261,1026101.744,1068153.566,1094489.475,1023474.923,1074965.168,1101522.497,1028917.367,1085313.8,1112100.6,1030477.041,20211216,1006504.778,1006504.778,1033420.591,2,-16149.265,0.99744,1.002744,1.004264
,2021/12/17,20211217,1059382.708,1089501.574,1007495.391,1055648.267,1085662.001,1004593.804,1063236.854,1093512.208,1010605.529,1074760.8,1105336.8,1012328.347,20211217,991387.0764,991387.0764,1013837.301,2,-22506.841,0.99712,1.003087,1.004797
,2021/12/20,20211220,1089484.296,1125326.956,1071979.422,1085228.866,1120919.662,1068549.088,1093914.208,1129937.099,1075656.312,1107070.4,1143545.2,1077693.073,20211220,998087.8616,998087.8616,1019095.277,1,51329.23,0.9968,1.00343,1.00533
,2021/12/21,20211221,1098850.764,1146182.561,1071979.422,1094159.38,1141262.194,1068549.088,1103777.324,1151352.899,1075656.312,1118371.6,1166589.6,1077693.073,20211221,998268.5156,998268.5155,1026004.531,0,0,0.9968,1.00343,1.00533
,2021/12/22,20211222,1121262.038,1200120.76,1071979.422,1116024.07,1194534.386,1067863.021,1126734.321,1206038.26,1076391.69,1143008.8,1223450.8,1078835.803,20211222,1005216.464,1005216.464,1042084.116,0,55810.806,0.99616,1.004116,1.006396
,2021/12/23,20211223,1136833.205,1216804.857,1071979.422,1131067.894,1210657.907,1067519.988,1142838.886,1223286.583,1076759.379,1160733.6,1242419,1079407.168,20211223,999635.5026,999635.5026,1031939.579,1,114784.938,0.99584,1.004459,1.006929
,2021/12/24,20211224,1130724.253,1237013.837,1032660.175,1124568.46,1230279.542,1028033.858,1137185.747,1244106.849,1037619.009,1156367.2,1265055.2,1040365.886,20211224,999208.6582,999208.6582,1022750.684,1,38292.957,0.99552,1.004802,1.007462
,2021/12/27,20211227,1126058.609,1223206.859,996453.4844,1119473.622,1216067.77,991670.5077,1132944.374,1230718.917,1001580.238,1153456,1252943.8,1004420.13,20211227,1006634.777,1006634.777,1018736.745,1,-24242.371,0.9952,1.005145,1.007995
,2021/12/28,20211228,1136513.146,1240814.15,1093931.327,1129398.88,1233051.831,1088330.399,1143916.983,1248955.17,1099934.822,1166052.2,1273035.4,1103260.373,20211228,991895.6306,991895.6306,1007901.003,2,47489.552,0.99488,1.005488,1.008528
,2021/12/29,20211229,1144482.578,1249518.346,1090365.588,1136855.432,1241206.09,1084434,1152394.707,1258205.759,1096723.51,1176107,1284008.4,1100245.391,20211229,999604.6434,999604.6434,1019386.526,2,-4374.418,0.99456,1.005831,1.009061
,2021/12/30,20211230,1143292.571,1237998.631,1090365.588,1135216.025,1229267.659,1084085.083,1151653.234,1247104.214,1097097.506,1176764.4,1274215.6,1100826.556,20211230,1003420.134,1003420.134,1021079.558,1,-10569.12,0.99424,1.006174,1.009594
,2021/12/31,20211231,1119282.071,1236849.735,1090365.588,1110982.072,1227659.426,1084085.083,1127845.784,1246414.656,1097097.506,1153955.4,1274904.4,1100826.556,20211231,998812.429,998812.4291,1009739.203,0,0,0.99424,1.006174,1.009594
,2022/1/4,20220104,1094882.044,1219782.857,1090365.588,1086343.22,1210136.121,1083387.249,1103715.628,1229804.203,1097845.496,1130586.2,1259655.6,1101988.886,20220104,988713.4366,988713.4366,996402.8885,0,-19716.797,0.9936,1.00686,1.01066
,2022/1/5,20220105,1112648.278,1227320.008,1107802.48,1103534.114,1217024.576,1100358.048,1122088.766,1237972.699,1115781.982,1150785.8,1269786.8,1120202.114,20220105,978565.2818,978565.2819,997248.3361,0,-29037.694,0.99328,1.007203,1.011193
,2022/1/6,20220106,1101447.17,1210703.372,1097877.644,1091996.25,1200069.472,1090148.586,1111242.348,1221708.356,1106162.229,1141017.4,1254607.4,1110751.357,20220106,979390.2124,979390.2124,989589.7888,1,-11800.03,0.99296,1.007546,1.011726
,2022/1/7,20220107,1094144.783,1244959.523,1138114.784,1084325.999,1233531.731,1129738.259,1104316.465,1256868.452,1147093.372,1135269,1292250.8,1152066.933,20220107,983776.9012,983776.9012,993188.4042,1,32453.791,0.99264,1.007889,1.012259
