qid,qid,qid_date,LambdaRank,LambdaMART,"3bps,10bps",51rank,51mart,"5bps,10bps",11rank,11mart,"1bp,10bps",00rank,00mart,"0bp,10bps",kong,ChiNext Index,ChiNext Index,ChiNext All Report,number of stocks,,,,
2021/Q4,2021/12/6,5000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5000000,1000000,1000000,1000000,0,,1,1,1
,2021/12/7,20211207,1043474.41,1002175.746,1002213.705,1043066.703,1001782.382,1001879.968,1043882.116,1002575.238,1002614.591,1045127.8,1003775.6,1002781.56,20211207,1016583,1016583,1002107.672,2,5.691,0.999667,1.0004,1.0005666
,2021/12/8,20211208,1000915.125,961298.8224,957836.8002,1000100.778,960514.7604,957198.8809,1001729.472,962036.6114,958603.0697,1004059.6,964396.4,958922.2209,20211208,1026841.339,1026841.339,962296.5185,2,-41125.7808,0.999334,1.0008,1.0011332
,2021/12/9,20211209,994876.8182,989360.9638,985864.3822,993719.2648,988187.4912,984879.5036,996089.098,990488.163,987047.4194,999610.8,994049.8,987540.1544,20211209,1029044.941,1029044.941,961812.0108,2,28060.6114,0.999001,1.0012,1.0016998
,2021/12/10,20211210,1033085.946,991866.3892,988222.3845,1031510.968,990251.3286,986906.0723,1034761.787,993392.6402,989803.5403,1039654.2,998014,990462.0917,20211210,1037982.196,1037982.196,964558.215,2,2359.1344,0.998668,1.0016,1.0022664
,2021/12/13,20211213,1008489.312,987062.6996,983396.1532,1006580.639,985030.9618,982086.2695,1010560.186,988999.8182,984969.5871,1016517.8,994745.6,985624.9222,20211213,1037400.926,1037400.926,958575.6051,0,0,0.998668,1.0016,1.0022664
,2021/12/14,20211214,1009834.958,988360.3086,1002493.222,1007532.051,985934.2478,1000490.24,1012304.088,990725.678,1004899.206,1019504,997641.8,1005901.298,20211214,1028390.061,1028390.061,959719.8162,1,19211.389,0.998002,1.0024,1.0033996
,2021/12/15,20211215,1002999.465,991452.6012,1005710.998,1000318.614,988634.9638,1003701.588,1005858.78,994227.532,1008124.705,1014215,1002365.4,1009130.013,20211215,1035999.119,1035999.119,975080.5035,0,0,0.998002,1.0024,1.0033996
,2021/12/16,20211216,976223.8818,972164.0834,988365.6285,973159.0942,968999.0032,986390.874,979346.9168,975212.1148,990737.706,988735.8,984445.8,991725.6763,20211216,1019328.858,1019328.858,957178.8158,0,0,0.998002,1.0024,1.0033996
,2021/12/17,20211217,992016.1082,963894.1664,1041075.158,988529.5292,960310.5104,1037955.056,995561.7928,967298.375,1044823.028,1006407,977699.2,1046384.016,20211217,989117.989,989117.989,929729.3583,1,53783.849,0.997003,1.0036,1.0050994
,2021/12/20,20211220,1001804.645,981407.1018,1041075.158,997869.7998,977340.5286,1037608.378,1005788.81,985227.971,1045239.458,1017908.2,997056.4,1046973.89,20211220,994391.966,994391.9661,941883.0376,1,49384.638,0.99667,1.004,1.005666
,2021/12/21,20211221,1002291.911,959536.1478,1041075.158,997947.6006,955137.5762,1037261.7,1006653.83,963625.631,1045655.889,1020028.6,976364,1047563.763,20211221,999798.4752,999798.4752,937454.6997,3,-24854.088,0.996337,1.0044,1.0062326
,2021/12/22,20211222,980825.5766,938972.3456,1018740.204,976167.0922,934306.525,1014669.319,985475.5466,943379.011,1023630.157,999771.8,956986.8,1025666.823,20211222,1001267.179,1001267.179,918228.2416,3,-23316.538,0.996004,1.0048,1.0067992
,2021/12/23,20211223,954328.8618,926587.9748,1020132.361,949422.8928,921615.744,1015716.208,959246.94,931302.4058,1025437.049,974312.6,945876.4,1027646.452,20211223,978518.3888,978518.3888,906342.5101,1,1453.334,0.995671,1.0052,1.0073658
,2021/12/24,20211224,963012.5284,938517.9184,1033302.371,957675.588,933116.5924,1028485.115,968409.2718,943705.0948,1039088.864,984762.4,959646.6,1041498.939,20211224,977525.1926,977525.1927,919866.1636,3,13748.197,0.995338,1.0056,1.0079324
,2021/12/27,20211227,990791.813,947563.884,1042448.904,984883.3578,941749.847,1037589.007,996764.8704,953191.7006,1048286.618,1014766.6,970446,1050718.025,20211227,987821.4656,987821.4655,935536.2977,0,0,0.995338,1.0056,1.0079324
,2021/12/28,20211228,986810.22,942451.0014,1046970.496,980494.925,936276.4926,1041392.238,993181.3306,948428.5116,1053671.108,1012410.6,966751.6,1056461.912,20211228,973957.3912,973957.3913,925420.6016,1,-10532.254,0.994672,1.0064,1.0090656
,2021/12/29,20211229,1006544.612,964066.3222,1077007.653,999594.6828,957371.575,1071269.356,1013454.455,970572.1696,1083900.502,1034226.2,990496.2,1086771.373,20211229,986079.265,986079.265,939880.5778,0,0,0.994672,1.0064,1.0090656
,2021/12/30,20211230,991293.9262,952247.6766,1045564.537,983980.5798,945204.7594,1039993.769,998467.01,959093.7612,1052256.15,1020159.8,979894.6,1055043.207,20211230,986027.0028,986027.0028,934315.8324,0,0,0.994672,1.0064,1.0090656
,2021/12/31,20211231,958448.8206,924130.9658,1013457.473,951040.4612,916823.6118,1007045.327,965793.6702,931321.0862,1021159.749,987947.6,952026.6,1024367.748,20211231,964492.173,964492.173,899685.3359,2,-33926.59,0.993673,1.0076,1.0107654
,2022/1/4,20220104,924385.0426,906126.9824,993654.984,916858.1878,898607.4662,987037.2418,931861.7978,913511.962,1001604.224,954396.2,934957.2,1004915.082,20220104,938169.2526,938169.2526,879657.9237,1,-7987.073,0.99334,1.008,1.011332
,2022/1/5,20220105,938577.4626,914610.008,993654.984,930567.101,906707.957,986706.3547,946501.5972,922425.4418,1002001.686,970452.6,945268.2,1005478.087,20220105,928056.7262,928056.7263,877788.5092,3,9598.928,0.993007,1.0084,1.0118986
,2022/1/6,20220106,925011.8966,913933.3196,985637.5908,916743.4228,905644.002,978745.0271,933147.2592,922083.299,993916.9465,957967.6,946078.6,997365.2982,20220106,918961.7704,918961.7703,862213.5711,0,0,0.993007,1.0084,1.0118986
,2022/1/7,20220107,973679.8112,937872.3338,1025180.162,964466.623,928942.7006,1018011.077,982580.8408,946574.442,1033791.676,1009898.2,972473.8,1037378.371,20220107,918593.2666,918593.2667,883798.9944,0,0,0.993007,1.0084,1.0118986
,2022/1/10,20220110,934054.235,911054.4606,982702.6245,924763.9784,902073.0684,975830.5851,943014.9622,919885.9496,990957.3266,970345.4,946196,994395.41,20220110,906847.2146,906847.2146,860401.7551,0,0,0.993007,1.0084,1.0118986
,2022/1/11,20220111,941292.9922,933325.0348,999296.141,931555.6058,923766.9852,992308.0631,950690.6114,942800.6942,1007690.229,979387.2,970910,1011186.366,20220111,930729.036,930729.036,872841.2985,0,0,0.993007,1.0084,1.0118986
,2022/1/12,20220112,932232.5174,911561.9826,1001055.262,922177.2744,902113.6562,992388.1255,941896.9498,921357.2674,1011466.237,971500.4,950093.2,1015802.408,20220112,914826.5996,914826.5997,862171.194,1,-24251.347,0.991342,1.0104,1.0147316
