Feature,SHAP_Importance (mean |SHAP|)
page,0.0004121977201732302
advance_reaction,0.0006292313797654559
star_analyst,0.00027630777647854856
title_len,0.0
num_sentence,0.0
avg_sentence_len,0.0
sd_sentence_len,0.0
num_authors,0.00011931925823156303
analyst_coverage,0.0009093501649940874
rm_rf,5.365303136355124e-05
smb,4.2841146339303236e-05
hml,0.0006230268226570982
rmw,0.0001912610512242976
cma,0.0
broker_size,0.00022226258305752694
listed,6.060250070469628e-05
prior_performance_avg,4.9892139207195267e-05
prior_performance_sd,2.9788262622682244e-06
broker_status,6.985910064818233e-05
ind_1,0.00011349291329820694
ind_2,0.0
ind_3,2.7464496086091948e-05
ind_4,0.0
ind_5,0.0001860352783621131
ind_6,0.0
