,Features,VarImp
1,advance_reaction,0.03272348
8,analyst_coverage,0.15013719
5,avg_sentence_len,0.033113662
14,broker_size,0.029540142
18,broker_status,0.040362325
13,cma,0.032908756
11,hml,0.05289363
19,ind_1,0.04757972
20,ind_2,0.023687094
21,ind_3,0.032957297
22,ind_4,0.037351325
23,ind_5,0.042698905
24,ind_6,0.033801027
15,listed,0.019131828
7,num_authors,0.03286082
4,num_sentence,0.032207936
0,page,0.069906294
16,prior_performance_avg,0.028243553
17,prior_performance_sd,0.037733797
9,rm_rf,0.031781405
12,rmw,0.02977209
6,sd_sentence_len,0.030759709
10,smb,0.027336083
2,star_analyst,0.032127585
3,title_len,0.038384404
