Features,LTR-DQN,LR,XGBoost_R
advance_reaction,0.0,0.18294958201510098,0.29381567
analyst_coverage,0.9209858,0.5069091359882679,0.30306265
avg_sentence_len,0.6541546,0.9809254357345719,0.14451674
broker_size,0.7246749,0.14621682423766272,0.10708199
broker_status,0.0,0.0,0.16983156
cma,0.0,0.2190663507286437,0.26157048
hml,0.0,0.0,0.3308496
ind_1,0.0,0.0,0.40618303
ind_2,0.0,0.0,0.8211957
ind_3,0.0,0.0,0.5541723
ind_4,0.0,0.08463920946256774,0.0
ind_5,0.0,0.0,0.23338084
ind_6,0.0,0.0,0.2505456
listed,0.0,0.07060884530084427,0.32150745
num_authors,0.0,0.20517151879914353,0.24886276
num_sentence,1.0,0.0,0.16853021
page,0.7665181,1.0,0.09323769
prior_performance_avg,0.0,0.024231212075003093,0.2101773
prior_performance_sd,0.0,0.0,0.21523154
rm_rf,0.0,0.0,0.2462665
rmw,0.0,0.869564897161562,1.0
sd_sentence_len,0.50880724,0.0,0.19136536
smb,0.0,0.3761819871844398,0.32060686
star_analyst,0.74051917,0.10578635624582779,0.017308144
title_len,0.5867537,0.34718920849262797,0.1615714
