,Features,VarImp,LTR-DQN
0,page,0.1298652,0.7665181
1,advance_reaction,0.0,0.0
2,star_analyst,0.1254604,0.74051917
3,title_len,0.09940912,0.5867537
4,num_sentence,0.16942222,1.0
5,avg_sentence_len,0.110828325,0.6541546
6,sd_sentence_len,0.086203255,0.50880724
7,num_authors,0.0,0.0
8,analyst_coverage,0.15603547,0.9209858
9,rm_rf,0.0,0.0
10,smb,0.0,0.0
11,hml,0.0,0.0
12,rmw,0.0,0.0
13,cma,0.0,0.0
14,broker_size,0.12277603,0.7246749
15,listed,0.0,0.0
16,prior_performance_avg,0.0,0.0
17,prior_performance_sd,0.0,0.0
18,broker_status,0.0,0.0
19,ind_1,0.0,0.0
20,ind_2,0.0,0.0
21,ind_3,0.0,0.0
22,ind_4,0.0,0.0
23,ind_5,0.0,0.0
24,ind_6,0.0,0.0
