qid_date,stock_code,Unnamed: 0,real_return,prediction,close,pclose,new_close
20201204,157,146233,0.058708,2.608805,10.82,10.22,10.82
20201204,603613,146234,0.039647,-1.6679876,96.5,92.82,96.5
20201204,603613,146235,0.039647,-1.3181154,96.5,92.82,96.5
20201204,600845,146236,0.035778,-1.4940902,63.98,61.77,63.98
20201204,2594,146237,0.019958,0.897293,175.29,171.86,175.29
20201204,603096,146238,0.011321,-0.73100024,53.6,53.0,53.6
20201204,603128,146239,0.010088,-1.9032807,8.01,7.93,8.01
20201204,603755,146240,0.009742,-0.85784495,71.52,70.83,71.52
20201204,998,146241,0.007222,0.057704587,18.13,18.0,18.13
20201204,600066,146242,0.000561,-1.922282,17.83,17.82,17.83
20201204,600066,146243,0.000561,-1.9186515,17.83,17.82,17.83
20201204,603816,146244,-0.000776,-2.8287487,77.22,77.28,77.22
20201204,603444,146245,-0.001991,-2.3350687,401.0,401.8,401.0
20201204,601233,146246,-0.003561,-2.700798,19.59,19.66,19.59
20201204,2472,146247,-0.005384,-3.0200148,7.39,7.43,7.39
20201204,605003,146248,-0.005978,-2.409896,34.92,35.13,34.92
20201204,2389,146249,-0.007497,-3.1823907,27.8,28.01,27.8
20201204,661,146250,-0.007992,-1.5081574,387.28,390.4,387.28
20201204,601168,146251,-0.010949,-3.058017,13.55,13.7,13.55
20201204,2153,146252,-0.015737,-2.4149666,34.4,34.95,34.4
20201204,2,146253,-0.019667,-3.1435504,29.41,30.0,29.41
20201204,2258,146254,-0.022155,-2.1411462,22.51,23.02,22.51
20201204,600383,146255,-0.023304,-3.2329504,14.25,14.59,14.25
20201204,961,146256,-0.030272,-2.5890174,9.61,9.91,9.61
20201204,2571,146257,0.074109,3.5940213,11.45,10.66,11.45
20201204,603279,146258,0.02182,-0.020283256,22.01,21.54,22.01
20201204,2938,146259,0.005415,-2.8566103,55.7,55.4,55.7
20201204,601233,146260,-0.003561,-2.685935,19.59,19.66,19.59
20201204,513,146261,-0.005414,-3.0158792,44.09,44.33,44.09
20201204,601155,146262,-0.016996,-2.9011881,35.28,35.89,35.28
20201204,2,146263,-0.019667,-2.7223191,29.41,30.0,29.41
20201204,600383,146264,-0.023304,-2.1931372,14.25,14.59,14.25
20201204,961,146265,-0.030272,-3.1699617,9.61,9.91,9.61
20201204,600104,146266,-0.035658,-0.84503,24.34,25.24,24.34
20201204,600104,146267,-0.035658,-2.5857825,24.34,25.24,24.34
20201207,625,146268,0.057047,4.4946303,25.2,23.84,25.2
20201207,2643,146269,0.018344,-0.4468959,20.54,20.17,20.54
20201207,2594,146270,0.015289,-2.4635365,177.97,175.29,177.97
20201207,600887,146271,0.012444,-1.0748844,40.68,40.18,40.68
20201207,603369,146272,0.011126,-1.9306418,51.8,51.23,51.8
20201207,547,146273,0.00308,-0.06359886,22.8,22.73,22.8
20201207,600104,146274,0.000822,-1.4571642,24.36,24.34,24.36
20201207,526,146275,0.0,-3.549971,57.6,57.6,57.6
20201207,600704,146276,0.0,-1.9871714,4.55,4.55,4.55
20201207,2563,146277,-0.005176,-1.184847,9.61,9.66,9.61
20201207,605338,146278,-0.006211,-2.9453688,44.8,45.08,44.8
20201207,2522,146279,-0.008086,-0.39583042,7.36,7.42,7.36
20201207,2940,146280,-0.00851,-1.1864463,45.44,45.83,45.44
20201207,600009,146281,-0.009666,-3.0804927,78.89,79.66,78.89
20201207,26,146282,-0.010293,-1.5144653,12.5,12.63,12.5
20201207,600760,146283,-0.010831,-2.5732574,62.1,62.78,62.1
20201207,603970,146284,-0.013825,-2.8453712,21.4,21.7,21.4
20201207,600031,146285,-0.014093,-0.41618106,31.48,31.93,31.48
20201207,2773,146286,-0.014352,-1.1806283,42.58,43.2,42.58
20201207,2773,146287,-0.014352,-3.9620974,42.58,43.2,42.58
20201207,603056,146288,-0.018222,-1.208165,13.47,13.72,13.47
20201207,582,146289,-0.021218,-1.2899203,10.61,10.84,10.61
20201207,605108,146290,-0.027574,-1.3696809,26.45,27.2,26.45
20201207,603392,146291,-0.030818,-1.1410112,182.4,188.2,182.4
